Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
31,Hubert Hurkacz[POL],15,7-8,46.7%,69.5%,64.9%,173,16.1%,18,1.7%,4.7%,64.3%,77.8%,54.4%,57.1%,87.6%,5.8,1.8,15,32.7%,32.6%,7.5%,3.7%,24.7%,45.1%,12.0%,6.2,2.0,35.0,41.2,15,32.8%,22,67,0.36,1.8,4.5,0.59,1.5,67.6%,48,71,0.38,1.9,4.7,0.62,1.5,15,1.07,2212,50.6%,5,3-2,60.0%,13.5%,37,19-18,51.4%,370,185-185,50.0%,1:43,41.8,41.9
32,Alex Michelsen[USA],23,13-10,56.5%,63.7%,63.6%,106,6.1%,58,3.3%,10.0%,66.8%,70.6%,49.7%,55.3%,79.6%,6.5,2.4,23,37.2%,38.3%,7.2%,2.6%,30.0%,49.5%,21.4%,6.7,2.5,64.0,93.7,23,35.2%,58,165,0.61,2.9,7.2,1.02,2.5,58.6%,78,133,0.49,2.3,5.8,0.96,2.4,23,1.02,3552,50.2%,17,9-8,52.9%,29.8%,57,31-26,54.4%,540,272-268,50.4%,1:51,44.8,43.1
33,Sebastian Baez[ARG],23,13-10,56.5%,59.3%,59.6%,34,2.0%,33,1.9%,6.8%,72.1%,62.7%,50.5%,54.2%,70.1%,6.4,2.6,23,42.4%,41.7%,3.9%,4.0%,36.2%,51.8%,32.7%,6.5,2.7,78.0,80.3,23,44.1%,90,204,0.74,3.4,8.9,1.50,3.9,56.5%,105,186,0.69,3.1,8.1,1.35,3.5,23,1.04,3511,50.7%,4,3-1,75.0%,6.7%,60,33-27,55.0%,546,280-266,51.3%,1:54,43.7,44.8
34,Flavio Cobolli[ITA],20,9-11,45.0%,60.2%,60.8%,67,4.8%,56,4.0%,8.6%,53.5%,65.9%,53.7%,58.7%,73.7%,6.6,2.6,20,37.2%,38.6%,7.8%,2.7%,31.8%,47.2%,21.6%,6.6,2.5,61.5,91.0,20,32.4%,47,145,0.67,3.2,7.3,1.04,2.4,54.5%,67,123,0.58,2.7,6.2,1.24,2.8,20,0.94,2842,48.6%,9,6-3,66.7%,20.0%,45,21-24,46.7%,431,204-227,47.3%,1:41,45.0,42.7
35,Tallon Griekspoor[NED],27,17-10,63.0%,67.1%,66.1%,236,9.7%,82,3.4%,9.9%,65.8%,75.0%,52.0%,57.8%,87.5%,6.7,2.2,27,31.4%,31.8%,9.4%,3.7%,23.2%,45.0%,13.2%,6.2,1.9,44.0,63.5,27,37.9%,47,124,0.35,1.8,4.6,0.69,1.7,74.6%,132,177,0.49,2.6,6.6,0.66,1.7,27,0.95,4629,50.1%,25,17-8,68.0%,36.8%,68,39-29,57.4%,715,362-353,50.6%,2:03,49.0,43.1
36,Giovanni Mpetshi Perricard[FRA],14,6-8,42.9%,68.9%,67.2%,171,16.1%,56,5.3%,15.4%,65.7%,75.9%,55.6%,65.8%,91.1%,6.7,2.1,14,25.0%,25.0%,10.8%,3.6%,18.2%,36.6%,3.8%,5.9,1.5,48.0,83.5,14,20.7%,6,29,0.18,0.9,2.1,0.19,0.4,78.1%,50,64,0.41,2.1,4.6,0.45,1.0,14,0.81,2002,48.3%,14,7-7,50.0%,45.2%,31,13-18,41.9%,317,150-167,47.3%,1:34,42.2,39.2
37,Matteo Arnaldi[ITA],22,12-10,54.5%,63.7%,62.8%,144,8.0%,60,3.4%,7.6%,55.7%,71.5%,53.8%,58.3%,80.3%,6.5,2.4,22,36.1%,36.3%,6.7%,3.4%,29.7%,47.9%,20.5%,6.3,2.3,51.0,77.5,22,40.7%,55,135,0.50,2.5,6.1,1.00,2.5,65.4%,102,156,0.57,2.8,7.1,0.98,2.5,22,0.99,3477,50.3%,9,5-4,55.6%,16.4%,55,30-25,54.5%,542,275-267,50.7%,2:00,48.2,45.7
38,Jiri Lehecka[CZE],22,14-8,63.6%,66.2%,64.6%,145,9.6%,42,2.8%,7.0%,60.6%,75.1%,52.6%,56.6%,85.8%,6.3,2.1,22,35.8%,37.3%,7.9%,2.4%,28.8%,48.6%,21.1%,6.2,2.2,30.5,69.5,22,45.5%,50,110,0.46,2.1,5.0,0.94,2.3,69.1%,76,110,0.46,2.1,5.0,0.64,1.5,22,1.06,2978,51.3%,6,2-4,33.3%,11.3%,53,33-20,62.3%,477,256-221,53.7%,1:35,39.2,41.9
39,Alexandre Muller[FRA],24,14-10,58.3%,61.7%,61.4%,83,4.2%,42,2.1%,6.6%,68.2%,67.4%,49.5%,53.0%,75.9%,6.7,2.6,24,37.3%,37.6%,6.7%,3.6%,28.1%,52.5%,21.9%,6.4,2.4,51.5,68.8,24,40.3%,64,159,0.54,2.6,6.6,1.05,2.7,59.6%,106,178,0.60,2.9,7.4,1.18,3.0,24,0.97,3863,49.9%,12,7-5,58.3%,19.7%,61,31-30,50.8%,591,291-300,49.2%,1:56,45.8,43.4
40,Nuno Borges[POR],27,15-12,55.6%,64.3%,63.5%,139,6.7%,55,2.6%,8.0%,66.9%,70.1%,52.5%,57.1%,80.2%,6.3,2.3,27,37.0%,38.2%,8.0%,2.9%,29.3%,49.8%,20.1%,6.7,2.5,51.0,56.2,27,34.9%,66,189,0.57,2.6,7.0,0.92,2.4,59.6%,96,161,0.49,2.2,6.0,0.90,2.4,27,1.04,4282,50.3%,14,8-6,57.1%,19.4%,72,37-35,51.4%,658,330-328,50.2%,1:50,41.3,41.7
