Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
32,Alex Michelsen[USA],9,8-1,88.9%,67.3%,67.1%,59,7.6%,27,3.5%,11.1%,68.7%,71.2%,58.8%,66.2%,85.8%,6.1,2.0,32,Alex Michelsen[USA],9,36.2%,37.2%,8.4%,3.3%,29.1%,47.2%,21.6%,6.1,2.2,79.0,70.1,32,Alex Michelsen[USA],9,52.9%,27,51,0.41,2.0,5.7,1.08,3.0,52.6%,20,38,0.30,1.5,4.2,0.72,2.0,32,Alex Michelsen[USA],9,1.11,1543,51.8%,6,4-2,66.7%,24.0%,25,17-8,68.0%,252,136-116,54.0%,2:01,43.7,42.5
33,Sebastian Baez[ARG],2,1-1,50.0%,63.2%,63.3%,5,3.2%,3,1.9%,7.0%,72.3%,60.7%,69.8%,75.0%,70.8%,6.5,2.4,33,Sebastian Baez[ARG],2,34.9%,34.7%,4.2%,2.6%,31.9%,42.6%,24.0%,7.6,2.6,33.0,33.0,33,Sebastian Baez[ARG],2,25.0%,6,24,0.96,4.8,12.0,1.20,3.0,61.1%,11,18,0.75,3.6,9.0,1.40,3.5,33,Sebastian Baez[ARG],2,0.95,344,47.7%,0,0-0,-,0.0%,5,2-3,40.0%,49,23-26,46.9%,1:20,32.0,27.9
34,Flavio Cobolli[ITA],5,4-1,80.0%,65.2%,65.9%,22,5.1%,16,3.7%,8.2%,55.3%,72.1%,56.7%,61.8%,83.8%,6.4,2.2,34,Flavio Cobolli[ITA],5,39.6%,41.6%,7.5%,1.8%,34.3%,49.7%,29.2%,6.8,2.7,109.0,123.4,34,Flavio Cobolli[ITA],5,40.4%,19,47,0.72,3.6,9.4,1.46,3.8,52.2%,12,23,0.34,1.8,4.6,0.85,2.2,34,Flavio Cobolli[ITA],5,1.14,876,52.3%,5,1-4,20.0%,38.5%,13,8-5,61.5%,133,76-57,57.1%,2:05,48.2,42.9
35,Tallon Griekspoor[NED],9,5-4,55.6%,68.0%,67.1%,76,10.2%,27,3.6%,9.5%,61.8%,76.1%,54.9%,60.7%,85.0%,6.2,2.0,35,Tallon Griekspoor[NED],9,30.3%,30.2%,11.1%,5.0%,20.9%,45.4%,13.6%,5.9,1.8,21.0,46.3,35,Tallon Griekspoor[NED],9,42.1%,16,38,0.32,1.6,4.2,0.67,1.8,61.7%,29,47,0.39,2.0,5.2,0.75,2.0,35,Tallon Griekspoor[NED],9,0.95,1444,49.7%,5,3-2,60.0%,20.8%,24,12-12,50.0%,238,118-120,49.6%,1:46,39.6,39.5
36,Giovanni Mpetshi Perricard[FRA],4,1-3,25.0%,69.3%,67.8%,68,16.5%,23,5.6%,16.4%,65.9%,77.1%,54.3%,65.0%,91.5%,7.0,2.1,36,Giovanni Mpetshi Perricard[FRA],4,24.1%,23.1%,7.5%,3.6%,18.9%,32.8%,3.4%,6.2,1.5,62.5,96.5,36,Giovanni Mpetshi Perricard[FRA],4,28.6%,2,7,0.12,0.6,1.8,0.18,0.5,84.4%,27,32,0.54,2.9,8.0,0.45,1.3,36,Giovanni Mpetshi Perricard[FRA],4,0.79,772,48.2%,6,1-5,16.7%,54.5%,11,3-8,27.3%,117,56-61,47.9%,1:60,43.5,37.2
37,Matteo Arnaldi[ITA],5,2-3,40.0%,58.8%,59.5%,31,5.2%,28,4.7%,10.6%,55.8%,66.4%,49.2%,55.1%,72.8%,7.4,3.0,37,Matteo Arnaldi[ITA],5,37.3%,37.1%,5.1%,3.3%,30.1%,48.5%,24.4%,6.5,2.4,94.0,77.2,37,Matteo Arnaldi[ITA],5,40.4%,19,47,0.60,2.9,9.4,1.19,3.8,71.1%,54,76,0.94,4.8,15.2,1.38,4.4,37,Matteo Arnaldi[ITA],5,0.91,1106,48.9%,3,0-3,0.0%,18.8%,16,7-9,43.8%,159,78-81,49.1%,2:06,39.3,34.1
38,Jiri Lehecka[CZE],7,5-2,71.4%,67.7%,67.2%,46,9.7%,19,4.0%,10.4%,61.4%,79.0%,49.7%,55.5%,88.3%,6.2,2.0,38,Jiri Lehecka[CZE],7,32.8%,34.7%,10.9%,2.9%,25.6%,44.7%,19.0%,5.7,1.9,16.0,54.6,38,Jiri Lehecka[CZE],7,51.7%,15,29,0.37,1.8,4.1,0.94,2.1,76.3%,29,38,0.49,2.4,5.4,0.56,1.3,38,Jiri Lehecka[CZE],7,1.02,925,50.7%,1,1-0,100.0%,6.3%,16,11-5,68.8%,156,83-73,53.2%,1:33,40.6,42.2
39,Alexandre Muller[FRA],2,1-1,50.0%,59.4%,58.0%,6,4.3%,1,0.7%,2.2%,66.7%,64.1%,50.0%,51.1%,76.2%,6.6,2.7,39,Alexandre Muller[FRA],2,36.0%,38.3%,11.2%,3.2%,28.8%,46.2%,20.0%,6.3,2.3,68.0,68.0,39,Alexandre Muller[FRA],2,30.8%,4,13,0.65,3.3,6.5,1.00,2.0,58.3%,7,12,0.57,3.0,6.0,1.25,2.5,39,Alexandre Muller[FRA],2,0.89,263,48.3%,0,0-0,-,0.0%,4,2-2,50.0%,41,20-21,48.8%,1:35,47.3,43.1
40,Nuno Borges[POR],4,1-3,25.0%,59.9%,60.8%,8,3.1%,9,3.5%,10.7%,67.3%,61.3%,57.1%,64.0%,66.7%,6.1,2.5,40,Nuno Borges[POR],4,34.2%,34.7%,10.2%,4.7%,23.4%,49.2%,11.9%,7.0,2.4,46.5,64.8,40,Nuno Borges[POR],4,21.7%,5,23,0.55,2.6,5.8,0.56,1.3,39.1%,9,23,0.55,2.6,5.8,1.56,3.5,40,Nuno Borges[POR],4,0.85,552,46.2%,2,1-1,50.0%,22.2%,9,2-7,22.2%,84,33-51,39.3%,1:34,41.7,40.8
41,Jordan Thompson[AUS],6,3-3,50.0%,68.0%,66.9%,23,6.1%,5,1.3%,3.2%,58.7%,73.6%,60.0%,62.0%,81.3%,5.9,1.9,41,Jordan Thompson[AUS],6,34.4%,35.5%,10.6%,4.2%,26.8%,47.0%,16.7%,6.6,2.3,29.5,26.0,41,Jordan Thompson[AUS],6,28.2%,11,39,0.59,2.8,6.5,0.79,1.8,58.6%,17,29,0.45,2.1,4.8,0.86,2.0,41,Jordan Thompson[AUS],6,1.08,808,50.0%,2,2-0,100.0%,14.3%,14,8-6,57.1%,130,63-67,48.5%,1:39,42.4,44.1
