Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
31,Hubert Hurkacz[POL],8,2-6,25.0%,67.2%,61.4%,109,16.3%,6,0.9%,2.7%,66.7%,75.4%,50.7%,52.1%,87.7%,6.3,2.1,31,Hubert Hurkacz[POL],8,28.3%,28.1%,7.2%,3.2%,19.7%,42.7%,6.5%,6.2,1.8,5.0,6.0,31,Hubert Hurkacz[POL],8,24.1%,7,29,0.27,1.5,3.6,0.35,0.9,68.3%,28,41,0.39,2.1,5.1,0.65,1.6,31,Hubert Hurkacz[POL],8,0.86,1334,47.8%,8,2-6,25.0%,40.0%,20,6-14,30.0%,213,100-113,46.9%,1:38,39.1,35.2
32,Alex Michelsen[USA],5,0-5,0.0%,55.9%,55.1%,17,5.2%,9,2.7%,7.4%,62.9%,67.1%,36.9%,39.8%,63.3%,6.7,3.0,32,Alex Michelsen[USA],5,30.1%,30.3%,7.8%,3.1%,22.5%,39.0%,10.0%,6.4,1.9,4.0,4.0,32,Alex Michelsen[USA],5,22.7%,5,22,0.44,2.0,4.4,0.45,1.0,55.0%,22,40,0.82,3.6,8.0,1.64,3.6,32,Alex Michelsen[USA],5,0.68,648,43.2%,3,0-3,0.0%,27.3%,11,0-11,0.0%,99,36-63,36.4%,1:33,42.2,43.0
33,Sebastian Baez[ARG],2,0-2,0.0%,54.9%,54.7%,3,2.3%,2,1.5%,6.5%,76.7%,60.8%,35.5%,37.9%,61.9%,6.3,2.9,33,Sebastian Baez[ARG],2,35.0%,36.8%,7.3%,1.5%,30.9%,41.1%,13.6%,6.2,2.2,4.0,4.0,33,Sebastian Baez[ARG],2,42.9%,3,7,0.32,1.4,3.5,0.60,1.5,42.9%,6,14,0.67,2.8,7.0,1.60,4.0,33,Sebastian Baez[ARG],2,0.78,270,44.8%,0,0-0,-,0.0%,5,1-4,20.0%,43,16-27,37.2%,1:38,39.0,43.3
34,Flavio Cobolli[ITA],8,1-7,12.5%,56.7%,56.7%,26,4.8%,20,3.7%,8.1%,54.1%,66.7%,44.9%,48.9%,68.4%,6.8,2.9,34,Flavio Cobolli[ITA],8,31.5%,31.8%,10.3%,4.3%,22.6%,45.5%,14.8%,6.0,1.9,7.0,7.0,34,Flavio Cobolli[ITA],8,36.4%,12,33,0.41,1.8,4.1,0.67,1.5,66.7%,50,75,0.95,4.2,9.4,1.39,3.1,34,Flavio Cobolli[ITA],8,0.73,1024,44.7%,3,0-3,0.0%,16.7%,18,3-15,16.7%,160,66-94,41.3%,1:31,40.5,42.7
35,Tallon Griekspoor[NED],16,3-13,18.8%,62.4%,62.0%,105,7.7%,54,3.9%,11.6%,65.9%,71.1%,45.6%,51.6%,78.0%,6.7,2.5,35,Tallon Griekspoor[NED],16,29.4%,30.8%,10.7%,2.7%,24.0%,40.4%,9.6%,6.2,1.8,3.0,4.1,35,Tallon Griekspoor[NED],16,28.2%,20,71,0.34,1.7,4.4,0.48,1.3,63.4%,78,123,0.60,2.9,7.7,1.07,2.8,35,Tallon Griekspoor[NED],16,0.78,2654,46.4%,14,6-8,42.9%,33.3%,42,12-30,28.6%,414,180-234,43.5%,1:45,40.1,38.1
36,Giovanni Mpetshi Perricard[FRA],2,0-2,0.0%,63.6%,67.3%,10,7.8%,12,9.3%,21.4%,56.6%,72.6%,51.8%,65.9%,80.0%,6.5,2.4,36,Giovanni Mpetshi Perricard[FRA],2,20.2%,20.9%,10.6%,1.9%,17.2%,23.9%,0.0%,5.2,1.1,4.5,4.5,36,Giovanni Mpetshi Perricard[FRA],2,0.0%,0,3,0.15,0.8,1.5,0.00,0.0,66.7%,8,12,0.60,3.0,6.0,1.00,2.0,36,Giovanni Mpetshi Perricard[FRA],2,0.55,233,44.2%,0,0-0,-,0.0%,4,0-4,0.0%,40,16-24,40.0%,1:22,40.8,42.0
37,Matteo Arnaldi[ITA],8,3-5,37.5%,61.7%,59.7%,45,6.6%,8,1.2%,2.8%,58.8%,67.2%,53.9%,55.5%,75.7%,6.6,2.5,37,Matteo Arnaldi[ITA],8,36.1%,36.3%,7.3%,4.0%,27.2%,50.4%,18.6%,6.4,2.3,6.0,6.1,37,Matteo Arnaldi[ITA],8,43.2%,19,44,0.43,2.1,5.5,0.90,2.4,63.8%,44,69,0.67,3.3,8.6,1.19,3.1,37,Matteo Arnaldi[ITA],8,0.94,1340,49.2%,3,2-1,66.7%,14.3%,21,10-11,47.6%,205,97-108,47.3%,1:26,32.9,30.9
38,Jiri Lehecka[CZE],6,3-3,50.0%,62.9%,62.1%,44,8.6%,20,3.9%,9.0%,56.4%,72.7%,50.2%,55.2%,82.4%,6.9,2.6,38,Jiri Lehecka[CZE],6,29.0%,28.2%,11.2%,5.5%,19.4%,43.4%,11.8%,5.8,1.7,5.5,5.3,38,Jiri Lehecka[CZE],6,34.6%,9,26,0.34,1.9,4.3,0.64,1.5,69.8%,30,43,0.58,3.1,7.2,0.93,2.2,38,Jiri Lehecka[CZE],6,0.78,950,47.3%,3,1-2,33.3%,21.4%,14,5-9,35.7%,150,70-80,46.7%,1:56,49.8,44.0
39,Alexandre Muller[FRA],4,0-4,0.0%,56.8%,56.4%,11,2.7%,6,1.5%,4.2%,64.7%,63.7%,44.1%,46.0%,69.1%,7.4,3.2,39,Alexandre Muller[FRA],4,29.3%,31.2%,12.0%,2.8%,21.2%,42.1%,7.4%,6.0,1.8,4.5,4.8,39,Alexandre Muller[FRA],4,30.8%,4,13,0.24,1.2,3.3,0.36,1.0,62.2%,28,45,0.82,4.1,11.3,1.55,4.3,39,Alexandre Muller[FRA],4,0.68,729,44.6%,3,1-2,33.3%,27.3%,11,1-10,9.1%,109,42-67,38.5%,2:05,45.3,41.0
40,Nuno Borges[POR],6,0-6,0.0%,55.2%,55.1%,26,5.8%,20,4.5%,11.8%,62.1%,63.1%,42.4%,48.0%,58.5%,6.9,3.1,40,Nuno Borges[POR],6,28.9%,29.7%,11.0%,3.4%,19.1%,45.1%,6.0%,6.1,1.8,6.0,6.3,40,Nuno Borges[POR],6,19.0%,4,21,0.31,1.4,3.5,0.27,0.7,51.8%,29,56,0.86,3.7,9.3,1.80,4.5,40,Nuno Borges[POR],6,0.64,858,42.7%,2,1-1,50.0%,13.3%,15,1-14,6.7%,132,42-90,31.8%,1:35,37.9,39.8
