Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
31,Hubert Hurkacz[POL],27,15-12,55.6%,68.8%,64.5%,316,15.6%,38,1.9%,5.1%,62.9%,77.6%,53.9%,56.8%,88.4%,6.2,1.9,31,Hubert Hurkacz[POL],27,31.7%,32.3%,8.6%,3.2%,22.9%,45.8%,12.2%,6.1,1.9,44.0,42.6,31,Hubert Hurkacz[POL],27,33.9%,39,115,0.36,1.8,4.3,0.61,1.4,75.0%,114,152,0.46,2.4,5.6,0.59,1.4,31,Hubert Hurkacz[POL],27,1.02,3981,50.6%,15,9-6,60.0%,23.4%,64,35-29,54.7%,647,329-318,50.9%,1:43,43.3,41.8
32,Alex Michelsen[USA],54,31-23,57.4%,64.8%,64.6%,234,5.9%,112,2.8%,8.7%,67.8%,71.0%,51.9%,56.9%,82.7%,6.5,2.3,32,Alex Michelsen[USA],54,37.4%,38.2%,8.2%,3.7%,29.3%,51.1%,21.7%,6.6,2.5,66.0,113.5,32,Alex Michelsen[USA],54,37.7%,133,353,0.57,2.8,6.5,1.06,2.5,63.7%,186,292,0.48,2.3,5.4,0.84,2.0,32,Alex Michelsen[USA],54,1.06,8018,51.0%,35,16-19,45.7%,27.8%,126,69-57,54.8%,1227,640-587,52.2%,1:45,45.2,42.6
33,Sebastian Baez[ARG],45,22-23,48.9%,59.8%,60.2%,85,2.6%,77,2.3%,8.4%,72.2%,63.6%,49.9%,54.5%,71.5%,6.5,2.6,33,Sebastian Baez[ARG],45,39.6%,39.8%,5.6%,3.5%,33.3%,49.8%,27.2%,6.5,2.6,64.0,66.7,33,Sebastian Baez[ARG],45,40.0%,140,350,0.68,3.2,7.8,1.28,3.1,58.3%,201,345,0.68,3.2,7.7,1.32,3.2,33,Sebastian Baez[ARG],45,0.99,6621,49.7%,9,7-2,77.8%,8.3%,109,53-56,48.6%,1019,501-518,49.2%,1:40,41.1,40.6
34,Flavio Cobolli[ITA],51,28-23,54.9%,62.9%,63.2%,237,6.3%,159,4.2%,9.5%,55.6%,71.9%,51.6%,57.0%,78.5%,6.5,2.4,34,Flavio Cobolli[ITA],51,35.5%,36.1%,8.1%,3.7%,27.8%,49.3%,20.5%,6.3,2.2,44.0,71.5,34,Flavio Cobolli[ITA],51,37.5%,119,317,0.55,2.6,6.2,0.99,2.3,59.9%,185,309,0.53,2.6,6.1,1.03,2.4,34,Flavio Cobolli[ITA],51,0.96,7429,49.4%,30,17-13,56.7%,25.0%,120,63-57,52.5%,1158,573-585,49.5%,1:42,43.5,42.1
35,Tallon Griekspoor[NED],57,32-25,56.1%,67.9%,66.8%,501,10.8%,169,3.6%,10.6%,65.6%,76.2%,52.1%,58.2%,87.2%,6.4,2.1,35,Tallon Griekspoor[NED],57,31.2%,32.0%,9.8%,3.3%,23.8%,44.4%,13.1%,6.2,1.9,43.5,58.9,35,Tallon Griekspoor[NED],57,35.6%,94,264,0.37,1.9,4.6,0.66,1.6,67.6%,194,287,0.39,2.0,5.0,0.65,1.6,35,Tallon Griekspoor[NED],57,0.97,9106,49.9%,48,27-21,56.3%,33.8%,142,77-65,54.2%,1447,728-719,50.3%,1:51,44.7,41.8
36,Giovanni Mpetshi Perricard[FRA],35,19-16,54.3%,70.4%,67.8%,532,20.7%,154,6.0%,17.1%,64.9%,79.4%,53.8%,64.9%,90.6%,6.4,1.9,36,Giovanni Mpetshi Perricard[FRA],35,27.1%,27.5%,9.7%,3.1%,21.6%,36.6%,8.1%,6.1,1.6,46.0,77.4,36,Giovanni Mpetshi Perricard[FRA],35,32.3%,32,99,0.25,1.3,2.8,0.42,0.9,71.4%,95,133,0.33,1.7,3.8,0.49,1.1,36,Giovanni Mpetshi Perricard[FRA],35,0.91,4987,49.4%,31,16-15,51.6%,40.3%,77,39-38,50.6%,801,398-403,49.7%,1:33,42.5,39.3
37,Matteo Arnaldi[ITA],39,20-19,51.3%,62.4%,61.6%,256,8.2%,116,3.7%,8.4%,55.7%,71.2%,51.5%,56.2%,78.7%,6.5,2.4,37,Matteo Arnaldi[ITA],39,36.1%,36.2%,5.6%,3.1%,30.3%,46.8%,19.7%,6.4,2.3,49.0,80.0,37,Matteo Arnaldi[ITA],39,39.6%,93,235,0.50,2.4,6.0,0.97,2.4,61.4%,162,264,0.55,2.8,6.8,1.06,2.6,37,Matteo Arnaldi[ITA],39,0.96,6151,49.4%,19,11-8,57.9%,19.8%,96,49-47,51.0%,950,469-481,49.4%,1:55,46.8,43.8
38,Jiri Lehecka[CZE],38,22-16,57.9%,65.4%,63.7%,267,10.2%,81,3.1%,7.8%,60.4%,74.8%,51.2%,55.6%,84.1%,6.4,2.2,38,Jiri Lehecka[CZE],38,33.8%,35.0%,8.8%,2.9%,26.5%,46.3%,17.4%,6.2,2.1,38.5,60.3,38,Jiri Lehecka[CZE],38,39.7%,71,179,0.44,2.1,4.7,0.83,1.9,66.3%,128,193,0.47,2.2,5.1,0.76,1.7,38,Jiri Lehecka[CZE],38,0.98,5141,49.9%,15,9-6,60.0%,17.4%,86,49-37,57.0%,816,415-401,50.9%,1:35,41.8,42.0
39,Alexandre Muller[FRA],37,20-17,54.1%,61.8%,61.7%,111,4.0%,62,2.2%,6.8%,67.1%,67.8%,49.6%,53.2%,75.7%,6.5,2.5,39,Alexandre Muller[FRA],37,37.6%,38.1%,7.4%,3.8%,27.2%,53.3%,22.6%,6.4,2.4,62.0,89.6,39,Alexandre Muller[FRA],37,40.0%,94,235,0.56,2.7,6.4,1.08,2.5,59.5%,153,257,0.60,3.0,6.9,1.20,2.8,39,Alexandre Muller[FRA],37,0.99,5460,50.0%,15,8-7,53.3%,17.2%,87,43-44,49.4%,844,418-426,49.5%,1:47,45.6,43.6
40,Nuno Borges[POR],41,21-20,51.2%,63.2%,62.7%,190,6.5%,88,3.0%,8.8%,65.9%,69.4%,51.2%,56.2%,77.8%,6.4,2.4,40,Nuno Borges[POR],41,37.7%,38.3%,6.9%,3.3%,29.5%,51.1%,20.8%,6.7,2.5,51.0,82.1,40,Nuno Borges[POR],41,35.4%,97,274,0.59,2.7,6.7,0.97,2.4,58.2%,142,244,0.53,2.4,6.0,1.02,2.5,40,Nuno Borges[POR],41,1.02,6054,50.1%,20,10-10,50.0%,20.0%,100,47-53,47.0%,925,454-471,49.1%,1:41,41.4,41.0
