Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
33,Sebastian Baez[ARG],3,1-2,33.3%,60.4%,60.5%,4,1.8%,3,1.4%,5.3%,73.7%,61.9%,56.1%,59.3%,70.6%,6.4,2.5,33,Sebastian Baez[ARG],3,43.1%,41.0%,3.4%,6.0%,32.8%,56.4%,32.4%,6.8,2.9,60.0,69.3,33,Sebastian Baez[ARG],3,42.3%,11,26,0.76,3.7,8.7,1.57,3.7,58.3%,14,24,0.71,3.4,8.0,1.43,3.3,33,Sebastian Baez[ARG],3,1.09,449,51.4%,0,0-0,-,0.0%,7,3-4,42.9%,68,35-33,51.5%,1:52,48.1,45.0
34,Flavio Cobolli[ITA],2,1-1,50.0%,56.6%,56.6%,9,6.2%,7,4.8%,9.7%,50.3%,69.9%,43.1%,47.7%,68.2%,6.6,2.9,34,Flavio Cobolli[ITA],2,34.3%,36.4%,5.8%,0.0%,35.0%,32.4%,22.7%,6.2,2.1,29.0,29.0,34,Flavio Cobolli[ITA],2,35.7%,5,14,0.64,2.8,7.0,1.00,2.5,56.3%,9,16,0.73,3.2,8.0,1.40,3.5,34,Flavio Cobolli[ITA],2,0.79,282,45.7%,0,0-0,-,0.0%,5,3-2,60.0%,44,20-24,45.5%,1:40,40.0,42.6
35,Tallon Griekspoor[NED],1,0-1,0.0%,70.4%,72.3%,10,12.3%,6,7.4%,20.0%,63.0%,76.5%,60.0%,75.0%,91.7%,6.8,2.0,35,Tallon Griekspoor[NED],1,30.1%,28.6%,3.6%,3.6%,27.5%,34.4%,8.3%,6.9,2.1,57.0,57.0,35,Tallon Griekspoor[NED],1,25.0%,1,4,0.33,2.0,4.0,0.50,1.0,0.0%,0,1,0.08,0.5,1.0,0.50,1.0,35,Tallon Griekspoor[NED],1,1.02,164,50.0%,2,0-2,0.0%,100.0%,2,0-2,0.0%,24,12-12,50.0%,2:03,61.5,45.0
36,Giovanni Mpetshi Perricard[FRA],2,2-0,100.0%,68.0%,62.1%,33,19.5%,4,2.4%,7.3%,67.5%,73.7%,56.4%,60.8%,80.8%,6.5,2.1,36,Giovanni Mpetshi Perricard[FRA],2,33.9%,35.5%,8.8%,2.3%,30.8%,40.7%,16.0%,6.8,2.3,26.0,26.0,36,Giovanni Mpetshi Perricard[FRA],2,44.4%,4,9,0.36,1.8,4.5,0.80,2.0,64.3%,9,14,0.54,2.8,7.0,1.00,2.5,36,Giovanni Mpetshi Perricard[FRA],2,1.06,340,50.9%,2,2-0,100.0%,40.0%,5,4-1,80.0%,51,25-26,49.0%,1:57,46.8,41.3
38,Jiri Lehecka[CZE],2,1-1,50.0%,58.3%,49.1%,15,20.8%,2,2.8%,9.5%,70.8%,68.6%,33.3%,36.8%,66.7%,6.0,2.5,38,Jiri Lehecka[CZE],2,27.1%,26.3%,1.7%,1.7%,27.7%,25.0%,16.7%,4.9,1.3,176.5,176.5,38,Jiri Lehecka[CZE],2,66.7%,2,3,0.25,1.0,1.5,0.67,1.0,33.3%,2,6,0.50,2.0,3.0,1.33,2.0,38,Jiri Lehecka[CZE],2,0.65,131,44.3%,0,0-0,-,0.0%,3,1-2,33.3%,24,10-14,41.7%,0:44,29.3,40.3
39,Alexandre Muller[FRA],2,1-1,50.0%,58.9%,59.4%,4,2.7%,4,2.7%,10.3%,73.3%,67.3%,35.9%,40.0%,66.7%,7.0,2.9,39,Alexandre Muller[FRA],2,40.2%,42.1%,5.7%,0.8%,35.8%,48.8%,25.0%,6.1,2.5,68.5,68.5,39,Alexandre Muller[FRA],2,38.5%,5,13,0.65,2.6,6.5,1.00,2.5,61.1%,11,18,0.86,3.6,9.0,1.40,3.5,39,Alexandre Muller[FRA],2,0.98,268,50.4%,0,0-0,-,0.0%,5,2-3,40.0%,41,19-22,46.3%,1:35,37.8,42.3
40,Nuno Borges[POR],1,1-0,100.0%,64.2%,64.0%,2,3.8%,1,1.9%,5.0%,62.3%,66.7%,60.0%,63.2%,77.8%,5.9,2.1,40,Nuno Borges[POR],1,55.4%,52.8%,0.0%,5.4%,47.4%,72.2%,62.5%,7.0,3.9,261.0,261.0,40,Nuno Borges[POR],1,41.7%,5,12,1.50,6.0,12.0,2.50,5.0,60.0%,3,5,0.56,2.5,5.0,1.00,2.0,40,Nuno Borges[POR],1,1.54,109,59.6%,0,0-0,-,0.0%,2,2-0,100.0%,17,12-5,70.6%,1:27,43.5,47.9
41,Jordan Thompson[AUS],1,0-1,0.0%,68.6%,61.4%,16,18.6%,0,0.0%,0.0%,70.9%,77.0%,48.0%,48.0%,86.7%,5.7,1.8,41,Jordan Thompson[AUS],1,31.8%,31.5%,0.9%,0.9%,27.0%,41.7%,6.7%,7.3,2.3,86.0,86.0,41,Jordan Thompson[AUS],1,9.1%,1,11,0.73,3.7,11.0,0.33,1.0,66.7%,4,6,0.40,2.0,6.0,0.67,2.0,41,Jordan Thompson[AUS],1,1.01,196,48.0%,1,0-1,0.0%,33.3%,3,1-2,33.3%,30,14-16,46.7%,2:40,53.3,49.0
42,Alejandro Tabilo[CHI],1,1-0,100.0%,69.8%,68.4%,5,7.9%,1,1.6%,3.7%,57.1%,86.1%,48.1%,50.0%,100.0%,6.3,1.9,42,Alejandro Tabilo[CHI],1,36.5%,35.4%,3.8%,3.8%,21.4%,54.2%,22.2%,5.8,2.1,54.0,54.0,42,Alejandro Tabilo[CHI],1,40.0%,2,5,0.56,2.5,5.0,1.00,2.0,100.0%,3,3,0.30,1.5,3.0,0.00,0.0,42,Alejandro Tabilo[CHI],1,1.21,115,54.8%,0,0-0,-,0.0%,2,2-0,100.0%,19,12-7,63.2%,1:14,37.0,38.6
43,Gael Monfils[FRA],1,1-0,100.0%,73.3%,76.9%,4,6.7%,4,6.7%,14.8%,55.0%,87.9%,55.6%,65.2%,100.0%,6.0,1.6,43,Gael Monfils[FRA],1,37.5%,35.6%,3.1%,4.7%,28.6%,54.5%,22.2%,7.1,2.7,66.0,66.0,43,Gael Monfils[FRA],1,40.0%,2,5,0.56,2.5,5.0,1.00,2.0,100.0%,6,6,0.60,3.0,6.0,0.00,0.0,43,Gael Monfils[FRA],1,1.41,124,54.8%,0,0-0,-,0.0%,2,2-0,100.0%,19,12-7,63.2%,1:37,48.5,46.9
