Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
31,Hubert Hurkacz[POL],7,2-5,28.6%,64.3%,61.5%,71,11.3%,15,2.4%,6.0%,60.5%,73.3%,50.6%,53.8%,81.0%,6.3,2.3,31,Hubert Hurkacz[POL],7,32.5%,33.0%,8.5%,3.5%,22.2%,46.8%,13.0%,6.3,2.1,51.0,57.1,31,Hubert Hurkacz[POL],7,30.2%,13,43,0.43,2.3,6.1,0.68,1.9,69.4%,43,62,0.62,3.3,8.9,1.00,2.7,31,Hubert Hurkacz[POL],7,0.91,1265,48.4%,4,1-3,25.0%,21.1%,19,6-13,31.6%,200,94-106,47.0%,1:39,36.4,32.8
32,Alex Michelsen[USA],8,4-4,50.0%,65.7%,64.9%,51,7.6%,19,2.8%,8.5%,66.8%,74.4%,48.2%,52.7%,81.9%,6.4,2.2,32,Alex Michelsen[USA],8,37.1%,37.1%,6.1%,3.6%,29.1%,50.4%,20.6%,6.3,2.3,53.0,152.5,32,Alex Michelsen[USA],8,33.3%,21,63,0.62,3.0,7.9,1.00,2.6,59.6%,28,47,0.45,2.2,5.9,0.90,2.4,32,Alex Michelsen[USA],8,1.08,1318,51.7%,4,2-2,50.0%,19.0%,21,11-10,52.4%,207,107-100,51.7%,1:55,43.8,41.8
33,Sebastian Baez[ARG],8,2-6,25.0%,60.1%,60.2%,21,2.9%,15,2.1%,7.7%,72.7%,64.7%,48.0%,51.9%,71.4%,6.4,2.6,33,Sebastian Baez[ARG],8,37.6%,38.2%,7.3%,3.5%,30.4%,48.2%,22.1%,6.5,2.5,45.5,49.0,33,Sebastian Baez[ARG],8,33.3%,25,75,0.66,3.1,9.4,1.04,3.1,62.4%,53,85,0.76,3.5,10.6,1.33,4.0,33,Sebastian Baez[ARG],8,0.94,1456,48.7%,3,2-1,66.7%,12.5%,24,10-14,41.7%,225,105-120,46.7%,1:28,29.3,28.9
34,Flavio Cobolli[ITA],8,6-2,75.0%,67.1%,67.3%,58,7.1%,30,3.7%,8.0%,54.0%,76.1%,56.5%,61.4%,88.9%,6.5,2.1,34,Flavio Cobolli[ITA],8,36.4%,36.1%,7.7%,4.8%,26.8%,50.3%,23.6%,6.3,2.3,19.0,62.3,34,Flavio Cobolli[ITA],8,46.0%,29,63,0.51,2.5,7.9,1.16,3.6,72.5%,37,51,0.40,2.0,6.4,0.56,1.8,34,Flavio Cobolli[ITA],8,1.11,1584,52.2%,5,1-4,20.0%,20.0%,25,16-9,64.0%,249,141-108,56.6%,1:52,35.8,33.9
35,Tallon Griekspoor[NED],11,6-5,54.5%,65.9%,66.2%,105,11.3%,57,6.1%,17.4%,64.8%,74.9%,49.5%,60.0%,85.1%,6.6,2.2,35,Tallon Griekspoor[NED],11,34.2%,35.1%,8.2%,3.2%,26.8%,46.4%,18.6%,6.3,2.1,34.0,32.3,35,Tallon Griekspoor[NED],11,36.6%,26,71,0.51,2.4,6.5,0.87,2.4,72.0%,54,75,0.53,2.5,6.8,0.70,1.9,35,Tallon Griekspoor[NED],11,1.01,1804,50.6%,6,4-2,66.7%,20.0%,30,18-12,60.0%,281,146-135,52.0%,1:35,34.9,34.9
36,Giovanni Mpetshi Perricard[FRA],6,3-3,50.0%,67.8%,65.0%,102,23.4%,36,8.3%,22.2%,62.8%,76.6%,53.1%,68.3%,89.7%,6.4,2.1,36,Giovanni Mpetshi Perricard[FRA],6,27.9%,28.6%,8.2%,2.3%,26.5%,30.3%,14.1%,5.5,1.5,41.0,46.7,36,Giovanni Mpetshi Perricard[FRA],6,60.0%,9,15,0.23,1.2,2.5,0.69,1.5,72.0%,18,25,0.37,1.9,4.2,0.54,1.2,36,Giovanni Mpetshi Perricard[FRA],6,0.87,790,49.9%,5,1-4,20.0%,38.5%,13,6-7,46.2%,132,70-62,53.0%,1:24,38.6,38.1
37,Matteo Arnaldi[ITA],11,7-4,63.6%,61.5%,60.6%,68,7.3%,30,3.2%,6.9%,53.2%,72.1%,49.5%,53.2%,77.3%,6.6,2.5,37,Matteo Arnaldi[ITA],11,40.7%,39.9%,4.0%,4.0%,35.2%,49.6%,29.7%,6.6,2.7,37.0,58.4,37,Matteo Arnaldi[ITA],11,41.4%,41,99,0.72,3.4,9.0,1.41,3.7,61.9%,52,84,0.60,2.9,7.6,1.10,2.9,37,Matteo Arnaldi[ITA],11,1.06,1834,51.3%,3,2-1,66.7%,10.3%,29,19-10,65.5%,279,150-129,53.8%,1:43,39.0,37.0
38,Jiri Lehecka[CZE],9,5-4,55.6%,65.9%,65.6%,75,10.3%,36,4.9%,11.0%,55.1%,76.9%,52.4%,58.9%,82.9%,6.2,2.1,38,Jiri Lehecka[CZE],9,35.0%,35.6%,6.4%,2.6%,28.4%,46.2%,15.9%,6.7,2.4,63.0,68.2,38,Jiri Lehecka[CZE],9,32.1%,18,56,0.50,2.3,6.2,0.75,2.0,63.0%,34,54,0.46,2.3,6.0,0.83,2.2,38,Jiri Lehecka[CZE],9,1.03,1492,50.1%,5,3-2,60.0%,20.8%,24,14-10,58.3%,230,115-115,50.0%,1:53,42.2,40.7
39,Alexandre Muller[FRA],8,4-4,50.0%,60.6%,60.5%,24,3.4%,14,2.0%,6.0%,66.4%,65.4%,51.3%,54.5%,76.5%,6.8,2.7,39,Alexandre Muller[FRA],8,35.6%,36.9%,9.1%,3.3%,27.5%,48.4%,19.0%,6.6,2.4,23.0,35.6,39,Alexandre Muller[FRA],8,33.9%,19,56,0.56,2.7,7.0,0.90,2.4,63.1%,41,65,0.64,3.1,8.1,1.14,3.0,39,Alexandre Muller[FRA],8,0.91,1358,48.5%,5,2-3,40.0%,23.8%,21,9-12,42.9%,202,97-105,48.0%,1:42,38.7,35.9
40,Nuno Borges[POR],9,5-4,55.6%,65.4%,64.0%,57,8.5%,18,2.7%,8.3%,67.8%,70.4%,54.8%,59.8%,84.8%,6.4,2.2,40,Nuno Borges[POR],9,38.2%,37.8%,6.0%,4.2%,27.5%,54.0%,19.6%,6.4,2.5,29.0,34.6,40,Nuno Borges[POR],9,34.4%,21,61,0.57,2.7,6.8,0.91,2.3,69.2%,36,52,0.50,2.3,5.8,0.70,1.8,40,Nuno Borges[POR],9,1.10,1362,51.6%,1,0-1,0.0%,4.3%,23,13-10,56.5%,212,110-102,51.9%,1:35,37.3,37.8
