Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time
21‑Feb‑2022,Dubai,Hard,R16,10,89,(4)Sinnerd.(WC)Andy Murray[GBR],7-5 6-2,,1.51,7.0%,1.8%,70.2%,82.5%,41.2%,0/0,1:43
21‑Feb‑2022,Dubai,Hard,R32,10,43,(4)Sinnerd.Alejandro Davidovich Fokina[ESP],4-6 7-6(6) 6-3,,1.26,5.4%,2.2%,63.4%,78.0%,58.8%,0/2,2:31
17‑Jan‑2022,Australian Open,Hard,QF,10,4,(4)Stefanos Tsitsipas[GRE]d.(11)Sinner,6-3 6-4 6-2,(ch),0.77,6.1%,1.5%,63.6%,71.4%,54.2%,0/4,2:06
17‑Jan‑2022,Australian Open,Hard,R16,10,42,(11)Sinnerd.(32)Alex De Minaur[AUS],7-6(3) 6-3 6-4,,1.22,8.1%,0.0%,62.2%,75.4%,61.9%,7/8,2:35
17‑Jan‑2022,Australian Open,Hard,R32,10,120,(11)Sinnerd.(Q)Taro Daniel[JPN],6-4 1-6 6-3 6-1,,1.23,10.5%,2.1%,73.7%,74.3%,32.0%,2/6,2:41
17‑Jan‑2022,Australian Open,Hard,R64,10,104,(11)Sinnerd.Steve Johnson[USA],6-2 6-4 6-3,(ch),1.90,15.5%,2.8%,63.4%,82.2%,69.2%,1/1,1:41
17‑Jan‑2022,Australian Open,Hard,R128,10,140,(11)Sinnerd.(LL)Joao Sousa[POR],6-4 7-5 6-1,,1.54,3.4%,2.3%,64.8%,73.7%,58.1%,0/2,2:07
3‑Jan‑2022,Atp Cup,Hard,RR,10,167,Sinnerd.Roman Safiullin[RUS],7-6(6) 6-3,(ch),1.02,12.2%,2.2%,61.1%,70.9%,48.6%,11/12,1:56
3‑Jan‑2022,Atp Cup,Hard,RR,10,58,Sinnerd.Arthur Rinderknech[FRA],6-3 7-6(3),,1.59,4.9%,4.9%,57.4%,85.7%,61.5%,1/2,1:36
3‑Jan‑2022,Atp Cup,Hard,RR,10,176,Sinnerd.Max Purcell[AUS],6-1 6-3,,2.25,14.6%,0.0%,73.2%,83.3%,54.5%,0/1,1:03
29‑Nov‑2021,Davis Cup Finals QF: ITA vs CRO,Hard,RR,10,30,Sinnerd.Marin Cilic[CRO],3-6 7-6(4) 6-3,,1.19,3.3%,2.2%,62.6%,68.4%,52.9%,4/8,2:41
27‑Nov‑2021,Davis Cup Finals RR: ITA vs COL,Hard,RR,10,111,Sinnerd.Daniel Elahi Galan[COL],7-5 6-0,(ch),1.58,2.0%,0.0%,49.0%,72.0%,57.7%,0/2,1:18
26‑Nov‑2021,Davis Cup Finals RR: USA vs ITA,Hard,RR,10,24,Sinnerd.John Isner[USA],6-2 6-0,,3.90,2.9%,5.9%,70.6%,87.5%,80.0%,3/3,1:02
15‑Nov‑2021,Tour Finals,Hard,RR,11,9,(9)Sinnerd.(7)Hubert Hurkacz[POL],6-2 6-2,(ch),1.41,7.2%,0.0%,56.5%,74.4%,50.0%,5/5,1:25
15‑Nov‑2021,Tour Finals,Hard,RR,11,2,(2)Daniil Medvedev[RUS]d.(9)Sinner,6-0 6-7(5) 7-6(8),(ch),0.78,4.8%,1.9%,61.5%,71.9%,50.0%,6/11,2:29
8‑Nov‑2021,Stockholm,Hard,R16,10,143,(WC)Andy Murray[GBR]d.(1)Sinner,7-6(4) 6-3,,0.78,8.0%,1.3%,48.0%,75.0%,51.3%,4/6,2:15
1‑Nov‑2021,Paris Masters,Hard,R32,9,35,Carlos Alcaraz[ESP]d.(8)Sinner,7-6(1) 7-5,(ch),0.76,5.9%,2.4%,63.5%,61.1%,58.1%,9/11,2:07
25‑Oct‑2021,Vienna,Hard,SF,11,49,(Q)Frances Tiafoe[USA]d.(7)Sinner,3-6 7-5 6-2,(ch),0.94,9.4%,3.5%,63.5%,68.5%,41.9%,5/9,2:18
25‑Oct‑2021,Vienna,Hard,QF,11,8,(7)Sinnerd.(4)Casper Ruud[NOR],7-5 6-1,(ch),1.37,16.1%,0.0%,67.7%,76.2%,40.0%,4/5,1:37
25‑Oct‑2021,Vienna,Hard,R16,11,116,(7)Sinnerd.(WC)Dennis Novak[AUT],6-4 6-2,,1.19,3.4%,5.1%,62.7%,75.7%,54.5%,6/6,1:16
25‑Oct‑2021,Vienna,Hard,R32,11,27,(7)Sinnerd.Reilly Opelka[USA],6-4 6-2,(ch),2.80,2.4%,2.4%,69.0%,93.1%,69.2%,0/0,1:03
18‑Oct‑2021,Antwerp,Hard,F,16,13,(1)Sinnerd.(2)Diego Schwartzman[ARG],6-2 6-2,(ch),2.33,18.2%,4.5%,52.3%,91.3%,61.9%,2/2,1:16
18‑Oct‑2021,Antwerp,Hard,SF,16,32,(1)Sinnerd.(7)Lloyd Harris[RSA],6-2 6-2,,1.76,3.5%,0.0%,61.4%,77.1%,59.1%,3/3,1:26
18‑Oct‑2021,Antwerp,Hard,QF,16,65,(1)Sinnerd.Arthur Rinderknech[FRA],6-4 6-2,(ch),2.01,8.9%,2.2%,64.4%,82.8%,68.8%,2/3,1:18
18‑Oct‑2021,Antwerp,Hard,R16,16,69,(1)Sinnerd.Lorenzo Musetti[ITA],7-5 6-2,,1.87,3.8%,1.9%,47.2%,80.0%,75.0%,1/1,1:34
4‑Oct‑2021,Indian Wells Masters,Hard,R16,14,39,(31)Taylor Fritz[USA]d.(10)Sinner,6-4 6-3,,0.83,0.0%,6.2%,50.8%,60.6%,34.4%,7/12,1:40
4‑Oct‑2021,Indian Wells Masters,Hard,R32,14,23,(10)Sinnerd.(20)John Isner[USA],W/O,,,,,,,,,
4‑Oct‑2021,Indian Wells Masters,Hard,R64,14,90,(10)Sinnerd.John Millman[AUS],6-2 6-2,,2.55,7.5%,2.5%,52.5%,85.7%,73.7%,0/0,1:14
27‑Sep‑2021,Sofia,Hard,F,14,20,(1)Sinnerd.(2)Gael Monfils[FRA],6-3 6-4,(ch),1.50,3.7%,1.9%,50.0%,92.6%,63.0%,2/2,1:17
27‑Sep‑2021,Sofia,Hard,SF,14,37,(1)Sinnerd.(5)Filip Krajinovic[SRB],6-3 7-5,,1.54,12.5%,1.8%,53.6%,76.7%,61.5%,1/3,1:46
27‑Sep‑2021,Sofia,Hard,QF,14,56,(1)Sinnerd.James Duckworth[AUS],7-6(4) 6-4,,1.09,6.9%,4.6%,56.3%,75.5%,36.8%,2/5,1:54
27‑Sep‑2021,Sofia,Hard,R16,14,112,(1)Sinnerd.(Q)Egor Gerasimov[BLR],6-2 7-6(3),,1.47,6.0%,3.0%,53.7%,80.6%,58.1%,7/8,1:41
30‑Aug‑2021,US Open,Hard,R16,16,4,(4)Alexander Zverev[GER]d.(13)Sinner,6-4 6-4 7-6(7),(ch),0.89,4.7%,1.9%,60.4%,73.4%,50.0%,8/11,2:25
30‑Aug‑2021,US Open,Hard,R32,16,20,(13)Sinnerd.(17)Gael Monfils[FRA],7-6(1) 6-2 4-6 4-6 6-4,(ch),1.12,3.0%,3.0%,56.0%,68.8%,54.8%,12/18,3:42
30‑Aug‑2021,US Open,Hard,R64,16,716,(13)Sinnerd.(WC)Zachary Svajda[USA],6-3 7-6(2) 6-7(6) 6-4,,1.10,5.1%,1.9%,56.1%,78.4%,46.4%,7/10,3:34
30‑Aug‑2021,US Open,Hard,R128,16,191,(13)Sinnerd.(WC)Max Purcell[AUS],6-4 6-2 4-6 6-2,,1.36,11.1%,3.7%,53.7%,75.9%,60.0%,5/7,2:33
16‑Aug‑2021,Cincinnati Masters,Hard,R32,15,26,John Isner[USA]d.(11)Sinner,5-7 7-6(4) 6-4,,1.13,11.1%,2.0%,53.5%,84.9%,58.7%,3/4,2:35
16‑Aug‑2021,Cincinnati Masters,Hard,R64,15,48,(11)Sinnerd.Federico Delbonis[ARG],6-2 7-5,,1.32,9.0%,0.0%,64.2%,74.4%,45.8%,4/6,1:38
9‑Aug‑2021,Canada Masters,Hard,R32,15,85,(Q)James Duckworth[AUS]d.(16)Sinner,6-3 6-4,,0.69,5.0%,3.3%,63.3%,76.3%,40.9%,2/4,1:16
