Elo Rank,Player,Age,Elo,Unnamed: 4,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Unnamed: 11,Peak Elo,Peak Month,Unnamed: 14,ATP Rank,Log diff
245,Martin Klizan,35.7,1517.5,,231,1484.1,203,1513.0,343,1400.2,,1897.2,2015-01,,325.0,-0.28
246,Rei Sakamoto,18.8,1517.3,,238,1479.5,352,1368.7,242,1458.7,,1612.5,2024-12,,282.0,-0.14
247,Riccardo Bonadio,31.0,1514.5,,285,1429.0,216,1494.8,319,1413.6,,1587.2,2023-04,,583.0,-0.86
248,Beibit Zhukayev,24.4,1512.5,,239,1479.3,310,1402.2,184,1503.9,,1640.2,2023-11,,220.0,0.12
249,Dmitry Popko,28.4,1512.0,,218,1500.9,268,1439.5,340,1400.7,,1631.7,2020-01,,163.0,0.42
250,Max Hans Rehberg,21.5,1507.1,,245,1473.3,283,1427.3,372,1386.5,,1575.0,2025-02,,245.0,0.02
251,Zachary Svajda,22.3,1504.4,,252,1463.6,271,1437.4,193,1498.0,,1769.0,2023-10,,229.0,0.09
252,Dennis Novak,31.5,1503.6,,229,1485.6,227,1479.7,136,1548.0,,1758.9,2019-11,,385.0,-0.42
253,Arthur Fery,22.6,1502.4,,222,1497.2,360,1361.2,378,1381.2,,1663.0,2023-10,,460.0,-0.6
254,Javier Barranco Cosano,26.3,1501.1,,261,1454.9,248,1456.2,244,1454.5,,1581.0,2024-07,,279.0,-0.09
255,Stefano Travaglia,33.3,1500.8,,240,1478.5,221,1483.7,312,1417.4,,1793.8,2021-02,,309.0,-0.19
256,Yu Hsiou Hsu,26.0,1499.2,,243,1475.0,397,1330.2,437,1351.0,,1648.0,2023-11,,237.0,0.08
257,Dimitar Kuzmanov,31.7,1498.9,,209,1507.4,264,1442.0,259,1444.3,,1640.1,2021-05,,269.0,-0.05
258,Philip Sekulic,21.2,1498.8,,236,1480.2,398,1328.2,322,1411.2,,1533.1,2024-07,,389.0,-0.41
259,Aziz Dougaz,28.0,1498.3,,264,1451.2,219,1486.6,282,1434.8,,1555.3,2020-02,,198.0,0.27
260,Nicolas Mejia,25.1,1497.0,,313,1400.0,212,1502.5,248,1448.5,,1536.3,2021-07,,227.0,0.14
261,Federico Arnaboldi,24.8,1494.9,,348,1370.5,220,1486.3,253,1447.5,,1623.0,2024-08,,194.0,0.3
262,Manuel Guinard,29.3,1493.8,,249,1469.3,259,1446.2,356,1392.7,,1664.3,2022-03,,397.0,-0.42
263,Yuta Shimizu,25.8,1493.7,,253,1462.8,424,1297.5,216,1479.3,,1590.8,2024-05,,193.0,0.31
264,Sandro Kopp,24.9,1492.6,,350,1370.3,235,1469.4,254,1446.3,,1492.6,2025-04,,391.0,-0.39
265,Pol Martin Tiffon,25.6,1490.4,,294,1415.7,243,1459.5,257,1445.2,,1512.6,2025-03,,203.0,0.27
266,Marc Polmans,27.7,1490.0,,255,1461.1,276,1434.9,213,1480.7,,1618.1,2019-10,,421.0,-0.46
267,Sho Shimabukuro,27.7,1489.3,,272,1447.5,273,1436.5,179,1509.2,,1692.5,2023-09,,185.0,0.37
268,Maxime Cressy,27.9,1489.2,,234,1481.3,344,1376.1,206,1485.0,,1836.1,2022-08,,444.0,-0.5
269,Henrique Rocha,21.0,1488.6,,244,1473.7,251,1451.2,272,1439.1,,1637.6,2024-09,,195.0,0.32
270,Maximus Jones,20.6,1488.5,,241,1477.9,353,1368.2,260,1444.3,,1524.4,2025-04,,425.0,-0.45
271,Bernabe Zapata Miralles,28.2,1487.0,,288,1423.3,228,1476.0,237,1460.5,,1779.9,2023-05,,330.0,-0.2
272,Edas Butvilas,20.7,1486.1,,220,1498.2,290,1420.6,239,1459.9,,1672.0,2024-09,,213.0,0.24
273,Maks Kasnikowski,21.6,1485.4,,286,1425.2,207,1507.0,197,1492.7,,1652.1,2024-06,,244.0,0.11
274,Andrea Collarini,33.2,1485.3,,382,1339.4,229,1474.7,403,1368.6,,1572.5,2019-09,,207.0,0.28
275,Clement Chidekh,23.8,1484.9,,258,1458.0,363,1358.4,262,1442.4,,1695.5,2024-03,,290.0,-0.05
276,Eliakim Coulibaly,22.9,1484.7,,251,1465.1,325,1391.2,263,1442.4,,1484.7,2025-04,,271.0,0.02
277,Bernard Tomic,32.4,1483.5,,270,1448.4,279,1430.4,198,1491.3,,1947.4,2015-03,,231.0,0.18
278,Geoffrey Blancaneaux,26.7,1483.2,,276,1446.6,249,1453.1,352,1395.3,,1591.5,2023-05,,272.0,0.02
279,Tung Lin Wu,26.9,1482.4,,271,1447.6,244,1459.3,341,1400.6,,1605.0,2023-04,,260.0,0.07
280,Andrew Paulson,22.8,1482.3,,347,1370.8,254,1449.8,266,1441.2,,1560.3,2024-08,,506.0,-0.59
281,Santiago Fa Rodriguez Taverna,25.7,1478.8,,318,1397.6,230,1473.1,265,1441.8,,1672.6,2022-01,,196.0,0.36
282,Marco Cecchinato,32.4,1478.0,,315,1398.9,240,1460.7,363,1389.3,,1838.6,2018-07,,365.0,-0.26
283,Gabriel Debru,19.1,1475.4,,376,1342.3,224,1480.6,273,1437.7,,1596.1,2023-08,,253.0,0.11
284,Matteo Martineau,26.2,1473.6,,248,1471.2,369,1354.6,270,1439.8,,1624.5,2024-02,,267.0,0.06
285,Alex Barrena,22.5,1473.0,,370,1346.5,242,1460.0,274,1436.5,,1513.6,2025-04,,379.0,-0.29
286,Andrej Martin,35.4,1472.3,,343,1373.9,263,1443.1,442,1348.5,,1674.7,2014-08,,324.0,-0.12
