Date,Tournament,Surface,Rd,Rk,vRk,,Score,More,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,TP,Aces,DFs,SP,1SP,2SP,vA
17‑Jan‑2022,Australian Open,Hard,R128,99,54,Soon Woo Kwon[KOR]d.Rune,3-6 6-4 3-6 6-3 6-2,,0.93,9.0%,6.0%,64.2%,69.8%,37.5%,7/14,3:05,48.2%,39.0%,10.3%,27.0%,57.9%,6/12,280,12,8,134,86,48,15
10‑Jan‑2022,Adelaide 2,Hard,Q1,102,115,(7)Corentin Moutet[FRA]d.Rune,7-5 6-3,,0.71,5.6%,8.5%,63.4%,64.4%,46.2%,1/4,1:45,44.8%,30.2%,0.0%,28.9%,32.0%,0/1,134,4,6,71,45,26,0
3‑Jan‑2022,Adelaide 1,Hard,R32,103,92,Corentin Moutet[FRA]d.(Q)Rune,7-6(6) 6-4,,1.12,4.7%,6.3%,56.3%,80.6%,53.6%,1/3,1:48,50.4%,35.1%,2.6%,26.8%,57.1%,1/4,141,3,4,64,36,28,2
3‑Jan‑2022,Adelaide 1,Hard,Q2,103,129,(2)Runed.(8)Juan Pablo Varillas[PER],6-2 6-3,,2.15,8.7%,6.5%,52.2%,83.3%,77.3%,0/0,1:17,60.4%,42.0%,4.0%,37.0%,47.8%,3/6,96,4,3,46,24,22,2
3‑Jan‑2022,Adelaide 1,Hard,Q1,103,184,(2)Runed.Ramkumar Ramanathan[IND],6-4 7-6(7),,1.26,8.3%,4.2%,61.1%,84.1%,60.7%,2/2,1:25,53.5%,31.4%,14.3%,19.0%,50.0%,1/2,142,6,3,72,44,28,10
22‑Nov‑2021,Bari CH,Hard,R32,103,265,Andrea Arnaboldi[ITA]d.(2)Rune,6-4 1-0 RET,,0.73,6.3%,15.6%,46.9%,53.3%,29.4%,1/5,0:45,42.0%,43.2%,0.0%,40.9%,46.7%,2/2,69,2,5,32,15,17,0
15‑Nov‑2021,Pau CH,Hard,SF,108,159,Jiri Lehecka[CZE]d.(2)Rune,3-6 6-3 6-4,,1.07,2.6%,1.3%,53.8%,73.8%,63.9%,6/8,2:06,49.4%,33.0%,4.3%,26.6%,46.7%,1/4,172,2,1,78,42,36,4
15‑Nov‑2021,Pau CH,Hard,QF,108,124,(2)Runed.(6)Maxime Cressy[USA],6-2 6-2,,1.67,4.1%,6.1%,65.3%,75.0%,52.9%,2/3,1:10,60.4%,54.4%,12.3%,42.5%,82.4%,5/8,106,2,3,49,32,17,7
15‑Nov‑2021,Pau CH,Hard,R16,108,402,(2)Runed.(Q)Sebastian Fanselow[GER],6-2 6-2,,2.05,4.7%,2.3%,65.1%,82.1%,60.0%,0/0,0:58,63.5%,52.4%,2.4%,40.0%,70.6%,4/4,85,2,1,43,28,15,1
15‑Nov‑2021,Pau CH,Hard,R32,108,822,(2)Runed.(Alt)Julien Cagnina[BEL],6-0 7-5,,2.13,2.2%,0.0%,60.9%,85.7%,61.1%,2/3,1:10,61.9%,50.8%,8.5%,37.5%,60.0%,5/15,105,1,0,46,28,18,5
8‑Nov‑2021,NextGen Finals,Hard,RR,109,91,(7)Runed.(5)Juan Manuel Cerundolo[ARG],4-1 4-2 1-4 4-1,,1.56,7.0%,8.8%,56.1%,90.6%,52.0%,1/2,1:16,56.8%,41.0%,1.6%,40.9%,41.2%,3/14,118,4,5,57,32,25,1
8‑Nov‑2021,NextGen Finals,Hard,RR,109,63,(4)Brandon Nakashima[USA]d.(7)Rune,3-4(3) 4-1 4-1 4-3(1),(ch),0.72,12.3%,12.3%,54.8%,70.0%,33.3%,2/8,1:38,43.7%,33.3%,7.2%,20.0%,58.3%,3/6,142,9,9,73,40,33,5
8‑Nov‑2021,NextGen Finals,Hard,RR,109,32,(1)Carlos Alcaraz[ESP]d.(7)Rune,4-3(6) 4-2 4-0,(ch),0.54,3.8%,1.9%,62.3%,57.6%,50.0%,4/7,1:15,40.2%,24.5%,18.4%,12.5%,47.1%,0/0,102,2,1,53,33,20,9
1‑Nov‑2021,Bergamo CH,Hard,F,118,158,(3)Runed.Cem Ilkel[TUR],7-5 7-6(6),,1.02,8.0%,3.4%,54.0%,72.3%,60.0%,3/4,2:11,50.9%,34.1%,7.3%,25.5%,48.4%,2/7,169,7,3,87,47,40,6
1‑Nov‑2021,Bergamo CH,Hard,SF,118,114,(3)Runed.(1)Alex Molcan[SVK],7-5 1-6 6-4,,1.00,6.3%,2.5%,61.3%,65.3%,64.5%,4/7,2:12,49.1%,35.2%,6.6%,30.0%,45.2%,3/11,171,5,2,80,49,31,6
1‑Nov‑2021,Bergamo CH,Hard,QF,118,143,(3)Runed.(8)Damir Dzumhur[BIH],7-6(9) 2-6 6-1,,0.94,6.1%,2.4%,61.0%,64.0%,40.6%,1/7,2:00,48.8%,42.3%,1.3%,42.9%,41.7%,6/7,160,5,2,82,50,32,1
1‑Nov‑2021,Bergamo CH,Hard,R16,118,197,(3)Runed.Filip Horansky[SVK],5-7 6-4 6-2,,1.20,6.8%,4.5%,64.8%,78.9%,45.2%,5/7,1:57,52.7%,39.6%,6.3%,36.6%,48.0%,4/9,184,6,4,88,57,31,6
1‑Nov‑2021,Bergamo CH,Hard,R32,118,223,(3)Runed.Mathias Bourgue[FRA],6-3 6-4,,1.26,7.8%,4.7%,67.2%,79.1%,47.6%,4/4,1:24,53.3%,39.4%,8.5%,31.4%,60.0%,2/7,135,5,3,64,43,21,6
25‑Oct‑2021,Brest CH,Hard,R16,121,103,(7)Henri Laaksonen[SUI]d.Rune,6-4 6-4,,0.72,5.6%,4.4%,65.6%,69.5%,38.7%,10/12,1:36,47.0%,29.5%,21.3%,18.9%,45.8%,0/2,151,5,4,90,59,31,13
25‑Oct‑2021,Brest CH,Hard,R32,121,138,Runed.Zdenek Kolar[CZE],6-3 6-3,,1.97,10.2%,0.0%,67.3%,75.8%,81.3%,3/3,1:08,60.4%,44.2%,7.7%,30.0%,63.6%,3/4,101,5,0,49,33,16,4
18‑Oct‑2021,Antwerp,Hard,Q1,123,97,(6)Pierre Hugues Herbert[FRA]d.Rune,6-3 6-4,,0.73,1.9%,3.8%,73.6%,64.1%,50.0%,2/5,1:05,44.4%,29.1%,16.4%,15.4%,41.4%,1/4,108,1,2,53,39,14,9
4‑Oct‑2021,Indian Wells Masters,Hard,R128,124,178,(Q)Ernesto Escobedo[MEX]d.(WC)Rune,6-4 6-1,,0.67,7.1%,4.8%,59.5%,60.0%,41.2%,2/6,1:12,41.1%,32.1%,3.8%,30.2%,40.0%,1/2,95,3,2,42,25,17,2
27‑Sep‑2021,Orleans CH,Hard,QF,124,118,Henri Laaksonen[SUI]d.Rune,6-3 6-4,,0.77,1.6%,6.3%,54.0%,70.6%,41.4%,1/4,1:20,45.2%,32.8%,11.5%,25.6%,45.5%,1/4,124,1,4,63,34,29,7
27‑Sep‑2021,Orleans CH,Hard,R16,124,106,Runed.Ricardas Berankis[LTU],6-2 6-4,,1.31,9.7%,9.7%,51.6%,78.1%,53.3%,2/2,1:19,55.3%,44.3%,9.8%,37.5%,57.1%,3/6,123,6,6,62,32,30,6
