Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2023 Dubai R16,W vsBublik,1.12,3.90,42.4,2.3,13.0%,87.0%,11.1%,88.9%,35.7%,50.0%
2023 Dubai R32,W vsArnaldi,1.11,1.64,42.3,2.3,6.3%,81.3%,13.3%,56.7%,51.5%,38.7%
2023 Doha F,W vsMurray,1.53,1.58,46.1,2.0,10.3%,56.4%,5.3%,65.8%,41.4%,39.3%
2023 Doha SF,W vsAuger Aliassime,1.07,1.43,61.1,2.2,5.7%,74.3%,12.9%,67.7%,30.8%,47.1%
2023 Doha QF,W vsOconnell,1.11,1.41,54.0,2.5,4.5%,79.5%,5.1%,64.1%,34.1%,36.1%
2023 Doha R16,W vsBroady,1.01,1.44,48.8,2.7,12.9%,74.2%,8.0%,56.0%,45.5%,51.5%
2023 Rotterdam F,W vsSinner,1.01,1.30,52.8,4.2,4.5%,65.9%,4.8%,64.3%,44.0%,45.7%
2023 Rotterdam SF,W vsDimitrov,1.01,1.61,41.3,2.1,14.3%,64.3%,14.8%,59.3%,61.5%,60.0%
2023 Rotterdam QF,W vsAuger Aliassime,1.13,1.76,42.8,2.1,11.1%,77.8%,4.5%,63.6%,39.3%,50.0%
2023 Rotterdam R16,W vsVan De Zandschulp,1.09,1.69,40.6,2.1,3.3%,60.0%,17.9%,75.0%,50.0%,51.6%
2023 Rotterdam R32,W vsDavidovich Fokina,0.93,1.17,56.8,4.6,14.0%,62.8%,7.9%,52.6%,55.3%,51.1%
2023 Australian Open R32,L vsKorda,0.87,0.81,38.8,2.4,3.2%,58.7%,11.9%,57.6%,38.3%,39.7%
2023 Australian Open R64,W vsMillman,1.30,1.78,32.7,2.4,9.8%,64.7%,10.6%,57.4%,55.8%,50.0%
2023 Australian Open R128,W vsGiron,1.07,2.14,23.8,2.0,10.5%,65.8%,14.3%,80.0%,61.1%,48.5%
2023 Adelaide 1 SF,L vsDjokovic,0.78,0.62,43.9,2.0,7.7%,73.1%,13.6%,59.1%,40.6%,10.3%
2023 Adelaide 1 QF,W vsKhachanov,0.95,1.56,51.7,2.5,11.1%,66.7%,12.5%,75.0%,50.0%,46.4%
2023 Adelaide 1 R16,W vsKecmanovic,1.08,2.02,42.8,2.0,14.8%,74.1%,12.5%,66.7%,52.2%,57.9%
2022 Tour Finals RR,L vsDjokovic,1.08,0.89,92.0,9.7,9.4%,62.5%,16.1%,59.7%,26.5%,38.1%
2022 Tour Finals RR,L vsRublev,1.06,0.80,85.1,5.1,17.5%,69.8%,21.7%,65.0%,20.4%,29.5%
2022 Tour Finals RR,L vsTsitsipas,0.93,0.82,78.0,17.0,13.2%,71.7%,18.8%,72.9%,24.1%,24.5%
2022 Vienna F,W vsShapovalov,1.10,1.31,49.0,5.1,12.0%,62.0%,0.0%,59.6%,48.8%,45.0%
2022 Vienna SF,W vsDimitrov,1.10,2.74,38.9,2.2,12.5%,83.3%,15.0%,80.0%,48.5%,42.4%
2022 Vienna QF,W vsSinner,1.29,2.12,33.8,2.0,11.5%,69.2%,17.4%,78.3%,40.6%,46.7%
2022 Vienna R16,W vsThiem,1.15,1.73,43.5,2.2,10.3%,75.9%,11.1%,66.7%,43.8%,41.9%
2022 Vienna R32,W vsBasilashvili,1.05,2.48,35.1,2.1,18.2%,72.7%,31.6%,84.2%,50.0%,54.5%
2022 Astana QF,W vsBautista Agut,1.08,2.66,27.5,2.0,11.1%,61.1%,22.2%,88.9%,56.5%,66.7%
2022 Metz R16,L vsWawrinka,1.00,0.81,72.9,2.2,9.3%,70.4%,8.0%,56.0%,28.3%,31.1%
2022 US Open R16,L vsKyrgios,0.89,0.79,44.0,2.6,15.6%,60.9%,19.0%,63.5%,34.4%,32.1%
2022 US Open R32,W vsWu,1.08,1.52,31.1,2.2,12.8%,66.0%,13.3%,64.4%,45.7%,52.4%
2022 US Open R64,W vsRinderknech,1.11,1.85,27.5,2.0,4.7%,72.1%,15.4%,74.4%,44.6%,45.1%
2022 US Open R128,W vsKozlov,0.87,1.64,30.5,2.3,13.9%,72.2%,15.6%,65.6%,50.0%,67.6%
2022 Cincinnati SF,L vsTsitsipas,0.90,0.78,59.8,3.0,3.6%,67.9%,2.0%,56.0%,26.1%,40.0%
2022 Cincinnati QF,W vsFritz,1.25,1.24,54.5,2.7,25.0%,63.6%,17.5%,75.0%,31.3%,30.0%
2022 Cincinnati R16,W vsShapovalov,0.96,1.42,63.6,2.6,2.7%,64.9%,9.7%,80.6%,46.8%,35.6%
2022 Cincinnati R32,W vsVan De Zandschulp,1.02,1.44,51.9,2.1,5.9%,61.8%,12.5%,78.1%,46.3%,38.9%
2022 Canada R32,L vsKyrgios,0.92,0.74,55.6,4.2,8.0%,66.0%,20.5%,70.5%,30.4%,20.5%
2022 Los Cabos F,W vsNorrie,0.92,1.62,43.6,2.5,7.7%,69.2%,13.0%,65.2%,66.7%,48.1%
2022 Los Cabos R16,W vsHijikata,1.15,1.91,47.8,2.0,13.8%,86.2%,7.7%,65.4%,38.7%,40.0%
2022 Halle F,L vsHurkacz,0.69,0.40,28.7,2.0,0.0%,50.0%,8.3%,62.5%,25.9%,25.0%
2022 Halle QF,W vsBautista Agut,1.19,1.46,52.7,2.6,14.7%,58.8%,9.4%,75.0%,41.4%,40.7%
2022 Halle R32,W vsGoffin,1.60,2.00,32.1,2.0,12.9%,71.0%,6.9%,65.5%,34.6%,45.5%
2022 s Hertogenbosch F,L vsVan Rijthoven,1.10,0.46,36.5,2.1,10.7%,46.4%,12.0%,52.0%,21.7%,21.1%
2022 s Hertogenbosch R16,W vsSimon,1.11,1.42,48.5,3.7,7.5%,72.5%,7.9%,65.8%,35.9%,43.2%
2022 Roland Garros R16,L vsCilic,0.66,0.37,19.6,2.0,5.1%,61.5%,5.6%,52.8%,13.2%,37.5%
2022 Roland Garros R32,W vsKecmanovic,1.34,1.97,24.4,2.3,12.2%,70.7%,5.3%,73.7%,37.5%,44.7%
2022 Roland Garros R64,W vsDjere,1.08,1.34,34.9,2.6,11.3%,67.9%,2.0%,51.0%,44.6%,54.8%
2022 Miami QF,L vsHurkacz,0.97,0.72,58.4,2.3,2.1%,62.5%,2.2%,56.5%,38.2%,20.0%
2022 Miami R16,W vsBrooksby,1.16,1.90,35.0,3.6,15.6%,71.9%,11.5%,69.2%,45.8%,50.0%
2022 Miami R64,W vsMurray,1.15,2.07,38.7,2.2,11.5%,80.8%,4.2%,70.8%,38.5%,48.0%
2022 Indian Wells R32,L vsMonfils,0.84,0.76,50.4,5.0,6.8%,47.7%,5.0%,67.5%,38.6%,39.5%
2022 Acapulco SF,L vsNadal,0.87,0.67,45.6,2.2,15.2%,66.7%,12.9%,41.9%,40.0%,30.0%
