Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2021 Tokyo Olympics SF,L vsZverev,0.95,0.75,56.0,9.5,2.4%,48.8%,7.9%,50.0%,39.5%,41.2%
2021 Tokyo Olympics QF,W vsNishikori,1.13,2.52,30.6,2.2,9.1%,90.9%,5.0%,55.0%,48.0%,69.6%
2021 Tokyo Olympics R16,W vsDavidovich Fokina,1.01,1.89,40.1,2.4,24.0%,76.0%,13.0%,69.6%,40.6%,61.3%
2021 Tokyo Olympics R64,W vsDellien,1.24,5.78,33.9,2.0,22.2%,88.9%,16.7%,88.9%,50.0%,53.6%
2021 Wimbledon F,W vsBerrettini,1.06,1.35,35.2,3.4,3.2%,66.7%,5.1%,71.2%,36.7%,42.7%
2021 Wimbledon SF,W vsShapovalov,1.23,1.44,34.6,2.9,5.2%,69.0%,9.3%,74.1%,34.5%,32.1%
2021 Wimbledon QF,W vsFucsovics,1.17,1.63,28.3,2.1,0.0%,60.4%,8.9%,77.8%,50.0%,36.7%
2021 Wimbledon R16,W vsGarin,0.97,2.41,28.7,2.0,16.7%,77.8%,9.7%,83.9%,57.8%,37.5%
2021 Wimbledon R32,W vsKudla,1.12,1.52,34.3,2.1,12.5%,75.0%,4.5%,65.9%,32.0%,47.8%
2021 Wimbledon R64,W vsAnderson,1.13,2.39,27.4,2.1,10.5%,81.6%,14.7%,76.5%,46.3%,41.7%
2021 Wimbledon R128,W vsDraper,0.84,2.11,32.3,3.2,31.0%,88.1%,30.8%,76.9%,47.3%,39.2%
2021 Roland Garros F,W vsTsitsipas,0.94,1.25,44.3,8.3,1.4%,62.9%,6.3%,78.1%,38.0%,41.2%
2021 Roland Garros SF,W vsNadal,1.02,1.19,48.9,3.2,4.4%,58.8%,4.6%,60.0%,47.1%,47.6%
2021 Roland Garros QF,W vsBerrettini,0.96,1.41,37.7,2.2,10.3%,80.9%,4.7%,65.6%,33.3%,44.9%
2021 Roland Garros R32,W vsBerankis,1.43,2.77,18.6,2.0,8.1%,75.7%,6.7%,73.3%,56.4%,41.7%
2021 Roland Garros R64,W vsCuevas,1.23,1.78,26.9,2.5,10.0%,72.0%,11.4%,65.9%,47.5%,41.2%
2021 Roland Garros R128,W vsSandgren,1.04,1.98,25.3,2.0,7.3%,70.7%,3.1%,81.3%,44.9%,48.9%
2021 Belgrade 2 F,W vsMolcan,0.90,1.21,54.3,2.9,3.7%,59.3%,4.5%,59.1%,50.0%,60.0%
2021 Rome F,L vsNadal,0.88,0.85,63.6,2.8,6.3%,60.4%,6.4%,57.4%,38.0%,41.3%
2021 Rome SF,W vsSonego,0.92,1.32,67.6,3.1,4.0%,72.0%,6.7%,73.3%,40.4%,38.3%
2021 Belgrade SF,L vsKaratsev,0.88,0.88,88.0,4.1,0.0%,60.0%,3.6%,51.8%,55.9%,31.3%
2021 Monte Carlo R16,L vsEvans,0.79,0.74,59.4,2.1,5.9%,67.6%,3.2%,35.5%,41.7%,46.8%
2021 Australian Open F,W vsMedvedev,1.28,1.77,28.1,2.1,7.1%,64.3%,0.0%,72.2%,47.5%,40.5%
2021 Australian Open SF,W vsKaratsev,1.28,1.99,25.1,2.1,20.9%,60.5%,21.1%,76.3%,51.4%,48.4%
2021 Australian Open QF,W vsZverev,1.17,1.16,49.5,3.5,15.7%,65.1%,12.7%,64.6%,40.9%,28.3%
2021 Australian Open R16,W vsRaonic,1.11,1.38,43.0,2.3,9.1%,74.2%,7.3%,69.1%,35.4%,34.5%
2021 Australian Open R32,W vsFritz,1.20,1.20,36.1,2.3,10.8%,68.7%,7.9%,64.5%,29.1%,37.8%
2021 Australian Open R64,W vsTiafoe,0.98,1.43,46.0,2.2,21.0%,77.4%,22.4%,70.7%,33.8%,42.3%
2021 Australian Open R128,W vsChardy,1.34,4.25,17.5,2.0,16.1%,93.5%,15.4%,73.1%,52.2%,47.5%
2020 Tour Finals SF,L vsThiem,0.93,0.91,86.1,12.1,4.8%,77.4%,3.8%,63.5%,25.8%,31.0%
