Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2022 Antwerp R16,W vsDraper,0.91,1.36,65.3,2.3,21.2%,80.8%,23.4%,66.0%,39.7%,38.6%
2022 Astana QF,L vsTsitsipas,1.16,0.50,67.5,3.5,11.4%,61.4%,17.1%,63.4%,18.8%,13.3%
2022 Astana R16,W vsBublik,1.23,1.63,39.6,2.2,16.1%,67.7%,10.7%,67.9%,48.7%,36.1%
2022 Astana R32,W vsCerundolo,1.11,1.80,47.4,2.2,22.6%,71.0%,14.8%,85.2%,30.3%,43.3%
2022 Metz SF,L vsSonego,0.85,0.63,51.2,2.3,2.9%,64.7%,13.3%,73.3%,24.2%,21.9%
2022 Metz QF,W vsRinderknech,1.11,1.92,40.3,2.0,25.0%,78.6%,22.2%,66.7%,52.0%,41.7%
2022 Metz R16,W vsThiem,1.26,1.93,42.5,2.3,33.3%,70.4%,11.1%,81.5%,44.8%,28.0%
2022 US Open R64,L vsIvashka,0.81,0.88,48.1,2.7,9.5%,68.3%,11.9%,67.8%,36.5%,32.8%
2022 US Open R128,W vsOtte,1.20,2.22,24.0,2.2,25.0%,82.5%,23.5%,73.5%,38.8%,41.3%
2022 Cincinnati R32,L vsIsner,0.89,0.81,64.5,2.3,13.8%,74.1%,12.0%,62.0%,28.6%,28.8%
2022 Canada F,L vsCarreno Busta,0.83,0.65,43.3,4.4,17.9%,64.1%,32.4%,64.9%,29.7%,25.8%
2022 Canada SF,W vsRuud,1.38,1.36,49.2,7.5,23.5%,64.7%,12.5%,60.4%,35.0%,38.9%
2022 Canada QF,W vsKyrgios,1.04,1.40,59.0,2.3,26.9%,76.9%,12.8%,76.6%,26.8%,36.7%
2022 Canada R16,W vsRamos,1.16,1.24,75.1,5.7,26.3%,66.7%,15.7%,62.7%,37.0%,38.1%
2022 Canada R32,W vsRuusuvuori,1.05,1.24,62.1,2.5,15.1%,69.8%,16.0%,70.0%,28.6%,43.2%
2022 Washington R32,L vsRuusuvuori,0.82,0.73,52.1,2.4,8.6%,68.6%,23.3%,73.3%,36.8%,14.3%
2022 Halle F,W vsMedvedev,1.45,2.51,28.7,2.0,25.9%,74.1%,8.3%,75.0%,50.0%,37.5%
2022 Halle SF,W vsKyrgios,1.13,1.41,74.2,5.7,21.2%,76.9%,34.8%,80.4%,22.8%,31.3%
2022 Halle QF,W vsAuger Aliassime,1.52,1.13,52.9,2.3,6.5%,78.3%,7.5%,62.5%,22.2%,20.7%
2022 Halle R16,W vsHumbert,1.09,1.37,63.5,3.2,10.5%,71.1%,18.2%,69.7%,27.9%,47.5%
2022 Halle R32,W vsCressy,1.10,1.35,69.9,2.6,15.2%,69.6%,18.4%,76.3%,22.4%,45.5%
2022 Roland Garros R16,L vsRuud,0.92,0.69,29.6,2.0,8.8%,56.1%,5.6%,59.3%,26.4%,38.6%
2022 Roland Garros R32,W vsGoffin,1.10,1.90,28.5,2.2,9.5%,73.8%,13.2%,76.3%,40.0%,46.3%
2022 Roland Garros R64,W vsCecchinato,1.43,3.32,18.3,2.0,5.9%,76.5%,9.7%,83.9%,38.5%,56.3%
2022 Roland Garros R128,W vsZeppieri,1.09,2.14,31.0,2.3,14.0%,79.1%,10.5%,81.6%,35.2%,42.3%
2022 Rome R64,L vsGoffin,0.90,0.80,71.8,3.2,4.2%,60.4%,9.3%,69.8%,28.0%,34.8%
2022 Madrid QF,L vsDjokovic,0.79,0.51,38.5,2.0,6.9%,65.5%,3.8%,61.5%,23.3%,24.0%
2022 Madrid R16,W vsLajovic,1.19,1.44,53.8,2.7,26.3%,78.9%,17.6%,58.8%,32.4%,41.2%
2022 Madrid R32,W vsDavidovich Fokina,1.12,1.20,83.9,2.6,16.1%,66.1%,8.2%,65.3%,38.9%,34.0%
2022 Madrid R64,W vsDellien,1.00,1.21,79.1,3.7,15.1%,64.2%,12.8%,68.1%,47.8%,33.9%
2022 Monte Carlo QF,L vsDimitrov,1.05,0.86,85.6,17.0,13.0%,72.2%,8.5%,55.3%,26.7%,32.5%
2022 Monte Carlo R16,W vsRamos,1.22,2.46,40.9,2.2,25.0%,90.6%,20.0%,68.0%,31.4%,46.9%
2022 Monte Carlo R32,W vsMartinez,1.01,1.42,54.3,2.1,16.3%,81.4%,13.5%,70.3%,27.3%,40.0%
2022 Monte Carlo R64,W vsDellien,1.02,1.42,55.9,2.4,11.1%,69.4%,19.4%,71.0%,55.3%,26.5%
2022 Miami SF,L vsAlcaraz,0.92,0.72,63.7,2.9,13.0%,65.2%,17.5%,72.5%,25.0%,24.3%
2022 Miami QF,W vsMedvedev,1.03,1.40,58.4,2.3,2.9%,61.8%,13.3%,80.0%,37.5%,43.5%
2022 Miami R16,W vsHarris,0.93,1.49,55.5,2.5,12.5%,65.6%,17.9%,78.6%,36.4%,54.8%
2022 Miami R32,W vsKaratsev,1.08,1.37,53.5,2.5,36.2%,70.2%,16.7%,78.6%,32.7%,33.3%
2022 Miami R64,W vsRinderknech,1.09,1.65,48.6,2.9,24.2%,72.7%,30.0%,80.0%,27.5%,44.7%
2022 Indian Wells R16,L vsRublev,1.01,0.72,65.0,2.5,12.2%,63.4%,10.5%,57.9%,37.1%,18.2%
2022 Indian Wells R32,W vsJohnson,1.21,1.46,57.9,2.9,16.2%,70.3%,20.6%,73.5%,25.0%,43.3%
2022 Indian Wells R64,W vsOtte,1.03,1.41,58.7,4.7,14.6%,70.7%,27.0%,73.0%,41.5%,35.1%
2022 Dubai SF,L vsRublev,0.86,0.82,86.3,4.7,31.5%,75.9%,20.4%,71.4%,22.4%,27.9%
2022 Dubai QF,W vsSinner,1.30,2.04,38.1,2.2,18.5%,59.3%,4.5%,90.9%,45.2%,37.9%
2022 Dubai R16,W vsMolcan,1.17,1.72,42.8,2.2,17.9%,71.4%,7.4%,66.7%,51.7%,38.5%
2022 Dubai R32,W vsBublik,1.24,2.11,34.5,2.0,4.2%,66.7%,9.1%,77.3%,44.8%,51.9%
2022 Rotterdam R16,L vsMusetti,0.84,0.82,59.5,2.3,13.3%,68.9%,16.7%,64.3%,40.0%,24.4%
2022 Rotterdam R32,W vsTsonga,1.17,1.71,61.0,2.3,12.1%,78.8%,16.1%,83.9%,25.7%,29.0%
2022 Australian Open R64,L vsMannarino,0.90,0.63,28.9,2.3,16.7%,50.0%,6.8%,54.5%,39.6%,26.8%
2022 Australian Open R128,W vsGerasimov,1.15,1.27,33.6,2.2,12.7%,58.2%,8.2%,68.5%,38.0%,43.9%
2022 Atp Cup SF,L vsBautista Agut,0.87,0.74,88.8,3.0,12.7%,66.7%,28.1%,70.2%,23.5%,31.1%
2022 Atp Cup RR,W vsMetreveli,0.83,1.57,53.2,4.0,17.1%,65.9%,25.7%,91.4%,42.3%,41.7%
2022 Atp Cup RR,W vsSchwartzman,1.04,1.75,54.0,2.0,20.7%,72.4%,25.0%,70.8%,54.5%,40.0%
2022 Atp Cup RR,W vsThanos,1.13,2.97,29.5,2.0,10.0%,70.0%,16.7%,88.9%,53.8%,56.5%
2021 Tour Finals RR,L vsZverev,0.94,0.49,39.5,2.0,31.0%,55.2%,8.0%,56.0%,28.0%,17.4%
2021 Tour Finals RR,L vsMedvedev,0.96,0.70,49.6,4.1,20.0%,71.1%,4.7%,67.4%,23.4%,21.4%
2021 Tour Finals RR,L vsSinner,0.79,0.56,38.8,2.4,8.0%,52.0%,9.1%,45.5%,37.1%,35.3%
2021 Paris SF,L vsDjokovic,1.09,0.79,92.8,4.0,16.7%,61.1%,6.0%,56.0%,31.0%,28.6%
2021 Paris QF,W vsDuckworth,0.93,1.43,67.4,2.3,28.9%,80.0%,9.8%,73.2%,35.7%,35.8%
2021 Paris R16,W vsKoepfer,0.98,1.28,56.4,9.4,25.5%,70.2%,16.7%,61.9%,50.9%,36.2%
2021 Paris R32,W vsPaul,1.08,1.33,58.1,2.4,15.0%,60.0%,20.6%,70.6%,45.5%,41.5%
2021 Vienna R32,L vsMurray,0.95,0.87,76.2,4.3,14.3%,75.5%,11.1%,60.0%,28.3%,30.0%
2021 Indian Wells QF,L vsDimitrov,0.90,0.88,76.0,6.9,11.1%,74.1%,12.0%,56.0%,34.6%,33.3%
2021 Indian Wells R16,W vsKaratsev,0.93,1.79,38.7,2.2,4.3%,69.6%,23.8%,71.4%,65.4%,48.0%
2021 Indian Wells R32,W vsTiafoe,1.09,2.07,39.5,2.3,25.0%,83.3%,4.2%,70.8%,46.4%,40.7%
2021 Indian Wells R64,W vsPopyrin,1.08,1.53,48.7,2.0,5.7%,74.3%,12.5%,56.3%,53.1%,43.3%
