Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2021 Tour Finals RR,W vsRublev,1.37,1.05,82.9,10.7,13.3%,61.7%,8.9%,58.9%,38.3%,22.2%
2021 Paris QF,L vsZverev,0.81,0.53,47.5,2.4,5.4%,59.5%,3.0%,72.7%,29.0%,14.8%
2021 Paris R16,W vsGiron,1.03,2.23,38.6,2.2,12.5%,83.3%,9.5%,66.7%,57.7%,48.0%
2021 Paris R32,W vsBublik,0.86,1.31,50.8,3.2,7.4%,74.1%,0.0%,50.0%,62.9%,50.0%
2021 Vienna QF,L vsSinner,0.85,0.62,40.3,2.4,0.0%,39.4%,6.5%,64.5%,31.3%,40.0%
2021 San Diego F,W vsNorrie,1.23,2.44,35.8,2.0,0.0%,71.4%,5.0%,70.0%,63.2%,52.9%
2021 US Open R64,L vsVan De Zandschulp,0.89,0.80,45.1,3.4,3.3%,68.3%,3.6%,56.4%,34.4%,33.3%
2021 US Open R128,W vsSugita,1.34,2.57,20.3,2.0,29.3%,70.7%,19.4%,83.3%,45.9%,43.3%
2021 Cincinnati QF,L vsZverev,1.19,0.48,35.2,2.0,8.3%,54.2%,0.0%,38.1%,15.0%,29.4%
2021 Cincinnati R16,W vsSchwartzman,1.25,2.44,39.6,2.2,16.0%,84.0%,4.2%,79.2%,32.1%,40.0%
2021 Canada QF,L vsTsitsipas,0.88,0.46,41.6,2.0,8.3%,66.7%,0.0%,50.0%,19.2%,23.8%
2021 Canada R16,W vsLajovic,1.16,1.89,44.0,2.1,14.3%,78.6%,3.8%,69.2%,37.5%,47.6%
2021 Kitzbuhel F,W vsMartinez,0.97,1.39,46.1,2.3,2.8%,66.7%,5.9%,67.6%,42.0%,53.3%
2021 Gstaad F,W vsGaston,1.08,1.41,48.6,2.4,2.8%,50.0%,5.6%,72.2%,48.8%,52.6%
2021 Gstaad QF,W vsPaire,1.00,1.40,52.6,2.0,20.9%,72.1%,10.0%,75.0%,36.2%,38.6%
2021 Bastad F,W vsCoria,1.13,2.31,29.1,2.1,8.3%,79.2%,4.3%,69.6%,57.6%,46.9%
2021 Wimbledon R128,L vsThompson,0.85,0.84,43.1,2.6,9.8%,67.1%,2.7%,65.8%,32.5%,33.8%
2021 Roland Garros R32,L vsDavidovich Fokina,0.84,0.96,71.7,3.2,3.6%,60.7%,3.7%,61.7%,42.2%,46.8%
2021 Roland Garros R64,W vsMajchrzak,1.14,1.63,29.4,2.1,6.7%,62.2%,4.8%,71.4%,38.6%,57.5%
2021 Roland Garros R128,W vsPaire,1.03,1.23,51.5,4.7,1.4%,63.8%,3.0%,65.2%,38.5%,46.7%
