Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2023 Monte Carlo R16,W vsHurkacz,1.12,1.44,59.4,8.3,0.0%,63.8%,7.1%,71.4%,36.2%,47.4%
2023 Miami F,L vsMedvedev,1.05,0.66,48.3,2.9,17.6%,52.9%,0.0%,51.7%,29.4%,31.0%
2023 Miami SF,W vsAlcaraz,0.97,1.20,65.0,7.2,7.3%,70.9%,8.2%,55.1%,39.0%,51.9%
2023 Miami QF,W vsRuusuvuori,1.09,2.41,34.3,2.4,4.5%,77.3%,15.0%,80.0%,42.9%,51.9%
2023 Miami R16,W vsRublev,1.34,2.43,33.6,2.2,24.0%,76.0%,9.5%,81.0%,32.1%,46.4%
2023 Miami R32,W vsDimitrov,1.16,1.41,53.1,2.2,3.6%,60.7%,4.0%,60.0%,40.0%,57.1%
2023 Miami R64,W vsDjere,0.96,1.39,51.1,3.3,3.7%,63.0%,8.7%,65.2%,45.5%,59.4%
2023 Indian Wells SF,L vsAlcaraz,0.82,0.76,51.9,2.7,2.6%,60.5%,8.8%,64.7%,37.8%,31.4%
2023 Indian Wells R32,W vsMannarino,1.00,1.69,62.5,2.6,3.0%,81.8%,17.9%,78.6%,28.2%,39.4%
2023 Indian Wells R64,W vsGasquet,1.14,1.64,48.2,3.1,8.8%,70.6%,18.8%,75.0%,25.7%,54.8%
2023 Rotterdam F,L vsMedvedev,0.99,0.77,52.8,4.2,4.0%,56.0%,0.0%,54.3%,34.1%,35.7%
2023 Rotterdam SF,W vsGriekspoor,1.29,1.49,54.6,2.3,12.5%,77.5%,5.7%,68.6%,35.9%,25.0%
2023 Rotterdam QF,W vsWawrinka,1.21,2.14,41.1,2.1,14.8%,63.0%,0.0%,72.0%,58.3%,56.3%
2023 Rotterdam R16,W vsTsitsipas,1.24,3.27,34.5,2.2,4.3%,82.6%,9.5%,85.7%,31.3%,53.3%
2023 Montpellier F,W vsCressy,1.16,1.90,49.7,2.7,9.4%,81.3%,3.4%,79.3%,29.4%,35.7%
2023 Montpellier SF,W vsFils,1.05,1.84,46.5,3.1,13.8%,86.2%,3.8%,65.4%,52.8%,29.4%
2023 Australian Open R16,L vsTsitsipas,0.80,0.85,40.7,2.1,4.3%,58.6%,12.1%,72.7%,39.3%,33.8%
2023 Australian Open R32,W vsFucsovics,0.99,1.26,33.8,9.9,7.2%,63.8%,1.5%,57.6%,47.5%,52.6%
2023 Australian Open R64,W vsEtcheverry,1.61,3.37,17.9,2.0,5.6%,80.6%,12.5%,75.0%,47.2%,44.8%
2023 Australian Open R128,W vsEdmund,1.16,1.99,21.6,2.1,4.7%,62.8%,10.3%,74.4%,57.1%,51.3%
2023 Adelaide 1 QF,L vsKorda,0.94,0.60,47.6,2.7,25.9%,63.0%,3.8%,46.2%,29.6%,28.0%
2023 Adelaide 1 R16,W vsKokkinakis,1.23,1.33,51.4,2.7,4.9%,70.7%,10.8%,62.2%,35.9%,36.4%
2022 Vienna QF,L vsMedvedev,0.78,0.48,33.8,2.0,9.4%,59.4%,3.3%,53.3%,30.8%,21.7%
2022 Vienna R32,W vsGarin,0.92,2.56,44.1,2.0,27.3%,81.8%,14.3%,85.7%,42.3%,48.0%
2022 US Open QF,L vsAlcaraz,1.10,0.95,62.8,42.2,3.7%,60.6%,4.8%,50.0%,31.5%,46.3%
2022 US Open R16,W vsIvashka,0.89,1.11,51.2,5.7,2.9%,54.3%,4.7%,65.6%,47.1%,53.2%
2022 US Open R32,W vsNakashima,1.02,1.30,38.2,4.1,18.3%,61.7%,8.9%,67.9%,49.2%,40.4%
2022 US Open R64,W vsEubanks,0.98,1.61,34.3,2.1,15.6%,75.6%,11.6%,74.4%,52.7%,28.8%
2022 US Open R128,W vsAltmaier,0.83,1.33,47.1,3.3,17.5%,71.4%,8.6%,72.4%,47.7%,41.9%
2022 Cincinnati R16,L vsAuger Aliassime,0.91,0.80,56.8,20.4,6.4%,61.7%,4.3%,58.7%,32.7%,37.2%
2022 Canada R16,L vsCarreno Busta,0.78,0.49,39.4,2.2,14.3%,50.0%,3.8%,73.1%,30.8%,17.4%
2022 Umag F,W vsAlcaraz,0.97,1.32,55.1,7.7,12.8%,66.0%,0.0%,75.6%,35.9%,44.4%
2022 Umag SF,W vsAgamenone,1.12,1.94,36.6,2.0,0.0%,65.2%,5.0%,75.0%,43.8%,62.1%
2022 Umag QF,W vsCarballes Baena,1.03,1.49,51.9,2.1,5.6%,86.1%,12.5%,56.3%,39.0%,42.1%
2022 Wimbledon QF,L vsDjokovic,0.96,0.76,32.6,8.9,2.9%,59.4%,9.2%,61.5%,27.1%,36.2%
2022 Wimbledon R16,W vsAlcaraz,1.04,1.31,36.4,2.2,4.2%,69.4%,1.4%,71.8%,36.5%,37.9%
2022 Wimbledon R32,W vsIsner,1.13,1.62,38.1,2.2,2.1%,62.5%,2.2%,89.1%,37.7%,31.9%
2022 Wimbledon R64,W vsYmer,0.94,1.38,33.1,2.3,5.3%,64.9%,2.0%,75.5%,45.2%,43.3%
2022 Wimbledon R128,W vsWawrinka,1.02,1.37,37.8,2.1,8.3%,65.0%,7.1%,76.8%,40.6%,38.1%
2022 Eastbourne R16,L vsPaul,0.84,0.85,68.2,2.8,7.3%,63.4%,5.7%,77.1%,31.3%,30.2%
2022 Rome QF,L vsTsitsipas,0.86,0.82,56.5,2.2,5.7%,57.1%,3.0%,60.6%,25.0%,53.2%
2022 Rome R64,W vsMartinez,1.77,2.32,33.6,2.0,10.0%,63.3%,3.7%,74.1%,52.0%,28.6%
2022 Madrid R16,L vsAuger Aliassime,0.95,0.36,33.3,2.2,0.0%,48.4%,3.2%,48.4%,22.7%,15.8%
2022 Madrid R32,W vsDe Minaur,1.22,1.84,42.5,2.0,3.7%,59.3%,0.0%,69.6%,52.0%,56.5%
2022 Madrid R64,W vsPaul,1.04,1.26,58.9,53.0,8.6%,69.0%,6.0%,70.0%,39.7%,34.5%
2022 Monte Carlo R16,W vsRublev,0.87,1.14,62.1,9.1,9.1%,61.4%,4.9%,63.4%,42.3%,56.3%
2022 Monte Carlo R32,W vsRuusuvuori,1.39,1.43,54.5,3.1,0.0%,56.4%,8.1%,59.5%,45.2%,41.4%
2022 Monte Carlo R64,W vsCoric,1.08,1.32,48.8,2.5,6.5%,73.9%,4.5%,56.8%,36.7%,47.8%
2022 Miami R16,W vsKyrgios,1.15,1.45,52.6,2.3,18.9%,73.0%,3.0%,66.7%,41.7%,34.3%
2022 Miami R32,W vsCarreno Busta,1.24,1.22,78.7,28.3,13.9%,61.1%,7.4%,58.8%,35.3%,44.2%
