Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2024 Beijing F,W vsSinner,52% (15/29),20% (3/15),2/5,1/1,67% (4/6),0/1,0/0,58% (7/12),50% (6/12)
2024 Beijing SF,W vsMedvedev,73% (8/11),45% (5/11),2/5,1/4,0% (0/2),0/0,0/0,- (0/0),- (0/0)
2024 Beijing QF,W vsKhachanov,82% (9/11),33% (4/12),2/2,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2024 Beijing R16,W vsGriekspoor,73% (8/11),57% (4/7),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2024 Beijing R32,W vsMpetshi Perricard,63% (10/16),100% (2/2),2/2,1/1,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2024 US Open R64,L vsVan De Zandschulp,80% (8/10),40% (2/5),0/0,0/0,33% (3/9),0/3,0/1,- (0/0),- (0/0)
2024 US Open R128,W vsTu,88% (15/17),37% (7/19),3/7,1/3,67% (4/6),4/5,0/0,- (0/0),- (0/0)
2024 Cincinnati R32,L vsMonfils,79% (15/19),14% (1/7),1/4,0/0,88% (7/8),4/6,1/2,50% (3/6),33% (2/6)
2024 Paris Olympics F,L vsDjokovic,52% (12/23),0% (0/8),0/0,0/0,100% (6/6),1/3,0/1,40% (4/10),11% (1/9)
2024 Paris Olympics SF,W vsAuger Aliassime,64% (7/11),56% (5/9),2/4,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2024 Paris Olympics QF,W vsPaul,77% (10/13),40% (2/5),2/3,1/2,80% (4/5),1/1,0/0,75% (6/8),38% (3/8)
2024 Paris Olympics R32,W vsGriekspoor,63% (10/16),67% (2/3),2/2,1/1,100% (2/2),1/1,0/0,60% (3/5),80% (4/5)
2024 Paris Olympics R64,W vsHabib,62% (8/13),31% (4/13),2/4,1/3,100% (4/4),0/0,0/0,- (0/0),- (0/0)
