Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2021 Cincinnati QF,L vsZverev,60% (3/5),100% (1/1),0/0,0/0,29% (2/7),1/3,0/1,- (0/0),- (0/0)
2021 Cincinnati R16,W vsSchwartzman,77% (10/13),29% (2/7),2/3,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2021 Canada QF,L vsTsitsipas,63% (5/8),0% (0/1),0/0,0/0,57% (4/7),1/3,0/1,- (0/0),- (0/0)
2021 Canada R16,W vsLajovic,64% (9/14),100% (3/3),2/3,1/2,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2021 Kitzbuhel F,W vsMartinez,61% (11/18),50% (5/10),2/3,1/2,0% (0/2),0/1,0/0,- (0/0),- (0/0)
2021 Gstaad F,W vsGaston,62% (8/13),25% (4/16),2/4,1/2,90% (9/10),0/0,0/0,- (0/0),- (0/0)
2021 Gstaad QF,W vsPaire,78% (14/18),38% (3/8),2/3,1/1,75% (3/4),1/2,0/0,- (0/0),- (0/0)
2021 Bastad F,W vsCoria,70% (7/10),63% (5/8),2/6,1/5,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2021 Wimbledon R128,L vsThompson,70% (21/30),28% (5/18),2/5,0/0,57% (4/7),0/3,0/1,58% (7/12),17% (2/12)
2021 Roland Garros R32,L vsDavidovich Fokina,72% (21/29),40% (8/20),2/5,0/0,71% (10/14),6/9,4/5,42% (5/12),33% (4/12)
2021 Roland Garros R64,W vsMajchrzak,67% (12/18),60% (6/10),3/3,1/1,75% (6/8),0/0,0/0,- (0/0),- (0/0)
2021 Roland Garros R128,W vsPaire,65% (17/26),43% (6/14),3/5,1/1,57% (4/7),1/2,0/0,100% (6/6),20% (1/5)
2021 Geneva F,W vsShapovalov,92% (11/12),20% (1/5),2/6,1/1,- (0/0),0/0,0/0,57% (4/7),57% (4/7)
2021 Madrid SF,L vsBerrettini,53% (8/15),- (0/0),0/0,0/0,33% (1/3),1/3,1/2,- (0/0),- (0/0)
2021 Madrid QF,W vsBublik,77% (10/13),33% (3/9),2/5,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2021 Madrid R16,W vsTsitsipas,65% (11/17),100% (1/1),2/3,1/1,- (0/0),0/0,0/0,100% (5/5),33% (2/6)
2021 Madrid R32,W vsNishioka,67% (8/12),80% (4/5),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2021 Madrid R64,W vsAuger Aliassime,56% (9/16),33% (3/9),2/6,1/5,- (0/0),0/0,0/0,- (0/0),- (0/0)
2021 Monte Carlo SF,L vsRublev,71% (5/7),100% (3/3),0/0,0/0,0% (0/5),0/2,0/1,- (0/0),- (0/0)
2021 Monte Carlo R32,W vsSchwartzman,64% (9/14),75% (3/4),2/4,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2021 Acapulco R32,W vsGalan,64% (9/14),75% (3/4),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2021 Australian Open R16,L vsRublev,86% (6/7),67% (2/3),0/0,0/0,60% (6/10),1/3,1/2,40% (2/5),20% (1/5)
2021 Australian Open R32,W vsAlbot,100% (18/18),42% (5/12),3/4,1/2,60% (3/5),1/2,0/0,- (0/0),- (0/0)
2021 Australian Open R64,W vsPaul,65% (17/26),45% (5/11),3/3,1/1,77% (10/13),1/2,0/0,- (0/0),- (0/0)
2020 Roland Garros R32,L vsThiem,78% (7/9),13% (1/8),0/0,0/0,60% (9/15),3/6,1/2,- (0/0),- (0/0)
2020 Roland Garros R64,W vsPaul,57% (16/28),40% (4/10),3/8,1/5,56% (5/9),0/2,0/0,- (0/0),- (0/0)
2020 Roland Garros R128,W vsSugita,65% (11/17),44% (7/16),3/4,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2020 Hamburg SF,L vsRublev,57% (4/7),40% (2/5),0/0,0/0,38% (3/8),1/3,1/2,- (0/0),- (0/0)
2020 Rome SF,L vsDjokovic,37% (7/19),13% (1/8),0/2,0/0,67% (6/9),2/4,2/3,- (0/0),- (0/0)
2020 Rome QF,W vsBerrettini,74% (14/19),22% (2/9),2/3,1/1,67% (4/6),1/2,0/0,67% (4/6),50% (3/6)
2020 US Open R32,L vsBerrettini,71% (10/14),0% (0/5),0/0,0/0,60% (6/10),4/7,4/5,- (0/0),- (0/0)
2020 US Open R128,W vsMcdonald,57% (20/35),25% (6/24),3/5,1/1,56% (5/9),2/4,0/0,- (0/0),- (0/0)
2020 Santiago F,L vsSeyboth Wild,92% (11/12),27% (3/11),1/1,0/0,43% (3/7),0/2,0/1,- (0/0),- (0/0)
2020 Santiago SF,W vsRamos,59% (10/17),25% (2/8),2/5,1/1,- (0/0),0/0,0/0,67% (4/6),50% (3/6)
2020 Santiago R16,W vsTabilo,77% (10/13),50% (3/6),2/3,1/2,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2020 Buenos Aires F,W vsSousa,75% (9/12),75% (3/4),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2020 Buenos Aires SF,W vsLondero,81% (13/16),67% (4/6),2/2,1/1,67% (4/6),0/1,0/0,- (0/0),- (0/0)
2020 Atp Cup RR,W vsFognini,73% (8/11),44% (4/9),2/4,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 US Open R128,L vsStruff,48% (10/21),0% (0/1),0/0,0/0,71% (10/14),2/5,0/1,- (0/0),- (0/0)
2019 Cincinnati R64,L vsPella,70% (7/10),40% (4/10),0/3,0/0,77% (10/13),3/5,0/1,80% (4/5),0% (0/6)
2019 Kitzbuhel QF,W vsCuevas,77% (10/13),67% (2/3),2/4,1/2,0% (0/1),0/0,0/0,50% (3/6),80% (4/5)
2019 Kitzbuhel R32,W vsCarreno Busta,85% (11/13),71% (5/7),2/2,1/1,80% (4/5),0/1,0/0,- (0/0),- (0/0)
2019 Hamburg R16,L vsRublev,63% (12/19),40% (2/5),1/1,0/0,50% (3/6),1/3,0/1,- (0/0),- (0/0)
2019 Hamburg R32,W vsHaase,65% (11/17),67% (4/6),2/2,1/1,71% (5/7),0/1,0/0,- (0/0),- (0/0)
2019 Bastad R32,L vsDzumhur,50% (5/10),25% (1/4),0/0,0/0,60% (6/10),0/2,0/1,- (0/0),- (0/0)
2019 Wimbledon R128,L vsIsner,76% (13/17),0% (0/2),0/2,0/0,33% (1/3),2/5,2/3,70% (7/10),20% (2/10)
2019 Prostejov CH SF,L vsAndujar,56% (5/9),20% (1/5),0/0,0/0,33% (2/6),0/2,0/1,- (0/0),- (0/0)
2019 Prostejov CH QF,W vsGaio,71% (10/14),23% (3/13),2/3,1/2,25% (1/4),0/1,0/0,- (0/0),- (0/0)
2019 Prostejov CH R16,W vsSafranek,78% (7/9),71% (5/7),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2019 Prostejov CH R32,W vsDenolly,57% (12/21),67% (4/6),2/4,1/3,33% (1/3),0/1,0/0,- (0/0),- (0/0)
2019 Roland Garros R32,L vsFederer,60% (9/15),20% (1/5),0/1,0/0,58% (7/12),5/8,3/4,67% (6/9),22% (2/9)
2019 Roland Garros R64,W vsBerrettini,60% (15/25),27% (4/15),3/6,1/1,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2019 Roland Garros R64,W vsBerrettini,60% (15/25),27% (4/15),3/6,1/1,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2019 Roland Garros R128,W vsGulbis,86% (12/14),86% (6/7),3/3,1/1,83% (5/6),0/0,0/0,80% (4/5),75% (3/4)
2019 Rome R16,L vsdel Potro,64% (7/11),50% (1/2),0/0,0/0,57% (4/7),4/6,2/3,- (0/0),- (0/0)
2019 Houston F,L vsGarin,71% (12/17),27% (3/11),1/2,0/0,70% (7/10),0/2,0/1,60% (3/5),17% (1/6)
2019 Houston SF,W vsGalan,69% (9/13),57% (4/7),2/2,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2019 Houston QF,W vsGranollers,64% (7/11),71% (5/7),2/3,1/1,100% (2/2),0/0,0/0,- (0/0),- (0/0)
2019 Houston R16,W vsOpelka,70% (14/20),100% (2/2),2/2,1/1,75% (3/4),0/1,0/0,- (0/0),- (0/0)
2019 Houston R32,W vsDellien,53% (10/19),33% (2/6),2/7,1/5,50% (1/2),1/1,0/0,88% (7/8),25% (2/8)
2019 Monterrey CH R32,L vsGomez,46% (6/13),- (0/0),0/0,0/0,0% (0/3),0/2,0/1,- (0/0),- (0/0)
2019 Miami R128,L vsAuger Aliassime,50% (6/12),50% (3/6),1/2,0/0,54% (7/13),0/2,0/1,- (0/0),- (0/0)
2019 Phoenix CH R16,L vsGoffin,59% (10/17),20% (2/10),0/1,0/0,80% (8/10),0/2,0/1,73% (8/11),0% (0/11)
2019 Phoenix CH R32,W vsYmer,64% (9/14),40% (4/10),2/3,1/1,57% (4/7),0/1,0/0,- (0/0),- (0/0)
2019 Sao Paulo SF,L vsGarin,78% (7/9),33% (1/3),0/0,0/0,50% (3/6),0/2,0/1,- (0/0),- (0/0)
