Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2018 Rotterdam R16,W vsHerbert,78% (14/18),20% (1/5),2/4,1/1,75% (3/4),0/1,0/0,80% (4/5),75% (3/4)
2018 Rotterdam R32,W vsMuller,60% (9/15),21% (3/14),2/9,1/5,82% (9/11),2/2,0/0,60% (6/10),50% (5/10)
2018 Rotterdam Q2,W vsMahut,77% (10/13),40% (2/5),2/3,1/1,100% (6/6),0/0,0/0,- (0/0),- (0/0)
2018 Montpellier R32,L vsGasquet,100% (3/3),- (0/0),0/0,0/0,62% (8/13),1/3,1/2,- (0/0),- (0/0)
2018 Australian Open R64,L vsChung,50% (7/14),33% (1/3),0/2,0/0,50% (6/12),0/3,0/1,80% (4/5),0% (0/6)
2018 Australian Open R128,W vsKokkinakis,80% (20/25),57% (4/7),3/8,1/1,89% (8/9),3/4,0/0,56% (9/16),44% (7/16)
2018 Sydney F,W vsDe Minaur,77% (10/13),40% (4/10),2/4,1/2,44% (4/9),2/3,0/0,- (0/0),- (0/0)
2018 Sydney SF,W vsFognini,63% (10/16),31% (4/13),2/3,1/1,63% (5/8),1/2,0/0,- (0/0),- (0/0)
2018 Sydney QF,W vsLorenzi,80% (8/10),44% (4/9),2/4,1/1,0% (0/1),0/0,0/0,- (0/0),- (0/0)
2018 Sydney R16,W vsDonaldson,82% (14/17),30% (3/10),2/4,1/3,67% (2/3),0/1,0/0,- (0/0),- (0/0)
2018 Sydney R32,W vsKohlschreiber,60% (9/15),60% (3/5),2/5,1/4,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2018 Sydney Q2,W vsSafranek,80% (8/10),80% (4/5),2/3,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2018 Sydney Q1,W vsZhurbin,53% (8/15),57% (4/7),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2018 Playford CH R32,L vsMatosevic,65% (13/20),20% (2/10),1/2,0/0,67% (6/9),1/3,0/1,- (0/0),- (0/0)
2017 Brest CH QF,L vsMaden,71% (10/14),0% (0/4),0/0,0/0,92% (11/12),1/3,1/2,0% (0/4),25% (1/4)
2017 Brest CH R16,W vsBonzi,52% (14/27),33% (1/3),2/3,1/2,86% (6/7),0/1,0/0,80% (4/5),75% (3/4)
2017 Brest CH R32,W vsDonati,52% (12/23),57% (4/7),2/5,1/3,67% (2/3),0/1,0/0,- (0/0),- (0/0)
2017 Moscow QF,L vsBasic,69% (9/13),22% (2/9),1/1,0/0,20% (1/5),1/3,1/2,- (0/0),- (0/0)
2017 Moscow R16,W vsCarreno Busta,100% (8/8),40% (4/10),2/3,1/1,75% (3/4),0/0,0/0,- (0/0),- (0/0)
2017 Moscow R32,W vsKuznetsov,60% (12/20),33% (2/6),2/4,1/3,73% (8/11),3/4,0/0,86% (6/7),29% (2/7)
2017 Shanghai R64,L vsPouille,83% (5/6),50% (1/2),0/0,0/0,43% (3/7),3/5,2/3,- (0/0),- (0/0)
2017 Tokyo R32,L vsDolgopolov,50% (2/4),33% (1/3),0/0,0/0,58% (7/12),1/3,0/1,- (0/0),- (0/0)
2017 St. Petersburg R32,L vsFabbiano,62% (8/13),100% (3/3),0/0,0/0,64% (7/11),0/2,0/1,33% (2/6),40% (2/5)
2017 US Open R128,L vsShapovalov,55% (6/11),50% (2/4),0/0,0/0,42% (5/12),2/5,0/1,- (0/0),- (0/0)
2017 Winston-Salem R32,L vsEdmund,65% (11/17),30% (3/10),1/1,0/0,73% (8/11),5/7,5/6,57% (4/7),29% (2/7)
2017 Cincinnati R64,L vsFognini,70% (7/10),60% (3/5),0/0,0/0,80% (16/20),7/9,7/8,33% (2/6),50% (3/6)
2017 Washington QF,L vsZverev,55% (6/11),0% (0/2),0/0,0/0,40% (2/5),0/2,0/1,- (0/0),- (0/0)
2017 Washington R16,W vsDimitrov,80% (8/10),67% (4/6),2/2,1/1,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2017 Washington R32,W vsJohnson,50% (13/26),33% (2/6),2/2,1/1,71% (5/7),0/1,0/0,100% (4/4),75% (3/4)
2017 Washington R64,W vsOpelka,75% (15/20),50% (3/6),2/3,1/1,80% (4/5),3/4,1/1,81% (13/16),19% (3/16)
2017 Wimbledon R64,L vsBemelmans,57% (17/30),50% (4/8),2/4,0/0,72% (13/18),2/5,0/1,- (0/0),- (0/0)
2017 Wimbledon R128,W vsWawrinka,59% (16/27),45% (5/11),3/7,1/3,67% (4/6),0/1,0/0,- (0/0),- (0/0)
2017 Eastbourne SF,L vsDjokovic,50% (7/14),25% (1/4),0/0,0/0,50% (3/6),1/3,1/2,- (0/0),- (0/0)
2017 Eastbourne QF,W vsJohnson,85% (11/13),43% (3/7),2/2,1/1,33% (1/3),0/1,0/0,- (0/0),- (0/0)
2017 Eastbourne R32,W vsQuerrey,50% (10/20),27% (3/11),2/4,1/3,67% (2/3),0/0,0/0,- (0/0),- (0/0)
2017 Queen's Club QF,L vsDimitrov,56% (9/16),50% (3/6),1/1,0/0,67% (8/12),1/3,1/2,- (0/0),- (0/0)
2017 Queen's Club R16,W vsKokkinakis,89% (8/9),67% (4/6),2/2,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2017 Queen's Club R32,W vsMahut,64% (16/25),33% (2/6),2/5,1/2,100% (3/3),0/1,0/0,40% (2/5),20% (1/5)
2017 s Hertogenbosch QF,L vsKarlovic,57% (8/14),- (0/0),0/0,0/0,33% (1/3),0/2,0/1,- (0/0),- (0/0)
2017 s Hertogenbosch R16,W vsKokkinakis,79% (11/14),20% (1/5),2/6,1/1,- (0/0),0/0,0/0,60% (3/5),80% (4/5)
2017 s Hertogenbosch R32,W vsHaase,64% (14/22),14% (1/7),2/9,1/4,92% (12/13),0/1,0/0,83% (5/6),33% (2/6)
2017 s Hertogenbosch Q2,W vsSmyczek,62% (13/21),50% (4/8),2/6,1/4,70% (7/10),1/2,0/0,- (0/0),- (0/0)
2017 s Hertogenbosch Q1,W vsRam,75% (9/12),100% (3/3),2/2,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2017 Lyon R32,L vsSimon,63% (12/19),13% (1/8),1/4,0/0,56% (5/9),1/3,0/1,67% (4/6),50% (3/6)
2017 Monte Carlo R64,L vsLopez,43% (9/21),50% (2/4),0/0,0/0,73% (8/11),7/9,5/6,29% (2/7),57% (4/7)
2017 Indian Wells R128,L vsYouzhny,43% (6/14),29% (2/7),0/0,0/0,67% (8/12),2/4,0/1,- (0/0),- (0/0)
