Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2011 US Open R64,W vsBerlocq,73% (8/11),50% (10/20),3/8,1/3,50% (2/4),0/0,0/0,- (0/0),- (0/0)
2011 Cincinnati R32,W vsHarrison,58% (7/12),42% (5/12),2/3,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2011 Cincinnati R32,W vsHarrison,58% (7/12),42% (5/12),2/3,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2011 Canada F,W vsFish,50% (12/24),38% (3/8),2/6,1/4,80% (8/10),0/1,0/0,- (0/0),- (0/0)
2011 Canada QF,W vsMonfils,57% (8/14),44% (4/9),2/4,1/2,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2011 Canada R16,W vsCilic,59% (10/17),43% (3/7),2/4,1/3,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2011 Wimbledon F,W vsNadal,100% (14/14),83% (5/6),3/3,1/1,50% (3/6),0/1,0/0,- (0/0),- (0/0)
2011 Wimbledon SF,W vsTsonga,90% (18/20),50% (6/12),3/6,1/3,40% (2/5),2/3,0/0,80% (12/15),25% (4/16)
2011 Wimbledon QF,W vsTomic,80% (16/20),40% (6/15),3/4,1/1,40% (2/5),2/3,0/0,- (0/0),- (0/0)
2011 Wimbledon R16,W vsLlodra,70% (14/20),36% (4/11),3/4,1/1,- (0/0),0/0,0/0,- (0/0),- (0/0)
2011 Wimbledon R32,W vsBaghdatis,68% (19/28),27% (3/11),3/6,1/3,80% (4/5),1/2,0/0,- (0/0),- (0/0)
2011 Wimbledon R64,W vsAnderson,65% (13/20),56% (5/9),3/6,1/1,83% (5/6),0/0,0/0,- (0/0),- (0/0)
2011 Wimbledon R128,W vsChardy,86% (12/14),60% (6/10),3/4,1/1,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2011 Roland Garros SF,L vsFederer,55% (17/31),31% (4/13),1/3,0/0,84% (21/25),7/10,2/3,67% (8/12),17% (2/12)
2011 Roland Garros R16,W vsGasquet,93% (14/15),50% (4/8),3/7,1/5,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2011 Roland Garros R32,W vsdel Potro,80% (16/20),42% (5/12),3/5,1/1,60% (3/5),0/1,0/0,- (0/0),- (0/0)
2011 Roland Garros R128,W vsDe Bakker,92% (12/13),38% (6/16),3/6,1/3,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2011 Rome F,W vsNadal,67% (8/12),36% (4/11),2/5,1/4,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2011 Rome SF,W vsMurray,56% (9/16),46% (6/13),2/2,1/1,50% (5/10),2/3,0/0,100% (5/5),50% (2/4)
2011 Madrid F,W vsNadal,89% (8/9),42% (5/12),2/6,1/2,50% (3/6),0/0,0/0,- (0/0),- (0/0)
2011 Madrid SF,W vsBellucci,75% (12/16),50% (4/8),2/2,1/1,33% (1/3),0/1,0/0,- (0/0),- (0/0)
2011 Miami F,W vsNadal,74% (14/19),22% (2/9),2/4,1/3,50% (2/4),0/1,0/0,50% (3/6),80% (4/5)
2011 Miami SF,W vsFish,73% (8/11),57% (4/7),2/2,1/1,100% (6/6),0/0,0/0,- (0/0),- (0/0)
2011 Indian Wells F,W vsNadal,58% (11/19),63% (5/8),2/7,1/1,67% (6/9),0/1,0/0,- (0/0),- (0/0)
2011 Indian Wells SF,W vsFederer,59% (10/17),50% (5/10),2/4,1/2,67% (6/9),0/1,0/0,- (0/0),- (0/0)
2011 Indian Wells QF,W vsGasquet,54% (7/13),42% (5/12),2/4,1/1,33% (1/3),0/0,0/0,- (0/0),- (0/0)
2011 Dubai F,W vsFederer,89% (8/9),40% (4/10),2/3,1/1,50% (1/2),0/0,0/0,- (0/0),- (0/0)
2011 Australian Open F,W vsMurray,85% (11/13),39% (7/18),3/4,1/1,25% (1/4),0/0,0/0,- (0/0),- (0/0)
2011 Australian Open SF,W vsFederer,50% (14/28),36% (5/14),3/6,1/3,70% (7/10),0/0,0/0,80% (4/5),60% (3/5)
2011 Australian Open QF,W vsBerdych,59% (13/22),50% (5/10),3/4,1/2,50% (1/2),0/0,0/0,83% (5/6),33% (2/6)
2011 Australian Open R16,W vsAlmagro,72% (13/18),38% (5/13),3/3,1/1,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2011 Australian Open R64,W vsDodig,82% (18/22),35% (7/20),3/7,1/2,80% (4/5),2/3,0/0,78% (7/9),11% (1/9)
