Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2018 Tokyo R32,W vsDaniel,73% (8/11),40% (4/10),2/3,1/2,100% (1/1),0/0,0/0,- (0/0),- (0/0)
2018 Shenzhen R16,L vsHerbert,80% (8/10),50% (1/2),0/1,0/0,67% (4/6),0/2,0/1,40% (2/5),33% (2/6)
2018 Metz R16,L vsBerankis,56% (14/25),14% (1/7),1/5,0/1,77% (10/13),1/3,1/2,69% (9/13),31% (4/13)
2018 US Open R64,L vsMedvedev,62% (13/21),38% (3/8),1/1,0/0,50% (6/12),1/4,0/1,- (0/0),- (0/0)
2018 US Open R128,W vsRobredo,60% (15/25),75% (3/4),3/4,1/1,88% (7/8),2/2,0/0,75% (3/4),100% (4/4)
2018 Cincinnati R64,L vsGoffin,88% (7/8),13% (1/8),0/3,0/0,20% (1/5),3/5,0/1,- (0/0),- (0/0)
2018 Canada F,L vsNadal,78% (7/9),33% (1/3),0/1,0/0,50% (3/6),0/2,0/1,60% (3/5),17% (1/6)
2018 Canada SF,W vsAnderson,57% (17/30),33% (1/3),2/4,1/3,100% (4/4),1/2,1/1,62% (8/13),36% (5/14)
2018 Canada QF,W vsZverev,65% (11/17),100% (4/4),2/6,1/1,64% (9/14),2/3,2/2,50% (6/12),58% (7/12)
2018 Canada R16,W vsDjokovic,76% (16/21),20% (2/10),2/2,1/1,100% (2/2),2/3,0/0,83% (5/6),0% (0/6)
2018 Canada R32,W vsThiem,79% (11/14),100% (1/1),2/4,1/3,- (0/0),0/0,0/0,86% (6/7),29% (2/7)
2018 Canada R64,W vsDzumhur,69% (11/16),17% (1/6),2/3,1/2,100% (1/1),0/0,0/0,100% (5/5),40% (2/5)
2018 Washington SF,L vsZverev,38% (6/16),- (0/0),0/0,0/0,57% (4/7),3/5,1/2,- (0/0),- (0/0)
2018 Washington QF,W vsGoffin,83% (10/12),67% (2/3),2/2,1/1,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2018 Washington R16,W vsDuckworth,83% (10/12),67% (2/3),2/3,1/2,- (0/0),0/0,0/0,- (0/0),- (0/0)
2018 Washington R32,W vsDonaldson,77% (10/13),60% (6/10),2/3,1/1,29% (2/7),2/3,2/2,- (0/0),- (0/0)
2018 Wimbledon R16,L vsIsner,70% (16/23),0% (0/1),0/1,0/0,67% (2/3),4/7,2/3,67% (10/15),14% (2/14)
2018 Wimbledon R32,W vsFabbiano,71% (10/14),67% (8/12),3/4,1/1,50% (3/6),0/0,0/0,- (0/0),- (0/0)
2018 Wimbledon R64,W vsDonaldson,74% (20/27),24% (5/21),3/3,1/1,40% (2/5),1/3,0/0,- (0/0),- (0/0)
2018 Wimbledon R128,W vsBarrere,80% (20/25),50% (5/10),3/4,1/2,75% (6/8),1/2,0/0,0% (0/5),60% (3/5)
2018 Halle R16,L vsKudla,44% (7/16),0% (0/4),0/0,0/0,33% (1/3),2/4,2/3,- (0/0),- (0/0)
2018 Halle R32,W vsPouille,91% (10/11),40% (2/5),2/3,1/2,100% (3/3),0/0,0/0,80% (4/5),60% (3/5)
2018 s Hertogenbosch QF,L vsGasquet,67% (12/18),0% (0/4),0/0,0/0,100% (5/5),2/4,2/3,33% (3/9),27% (3/11)
2018 s Hertogenbosch R16,W vsJaziri,68% (13/19),60% (3/5),2/4,1/2,0% (0/2),1/2,1/1,71% (5/7),43% (3/7)
2018 s Hertogenbosch R32,W vsSmith,62% (13/21),100% (2/2),2/4,1/1,50% (1/2),0/1,0/0,- (0/0),- (0/0)
2018 Roland Garros R64,L vsThiem,48% (13/27),38% (3/8),1/1,0/0,62% (8/13),2/5,1/2,- (0/0),- (0/0)
2018 Roland Garros R128,W vsTaberner,57% (20/35),38% (5/13),3/3,1/1,80% (4/5),0/1,0/0,67% (4/6),17% (1/6)
2018 Rome R32,L vsdel Potro,39% (7/18),50% (1/2),0/0,0/0,63% (5/8),4/6,0/1,- (0/0),- (0/0)
2018 Madrid R64,L vsDonskoy,76% (16/21),5% (1/20),1/4,0/0,90% (9/10),2/4,2/3,60% (3/5),0% (0/5)
2018 Estoril SF,L vsSousa,70% (14/20),50% (2/4),1/1,0/0,67% (2/3),3/5,2/3,33% (2/6),40% (2/5)
2018 Estoril QF,W vsCarballes Baena,72% (13/18),83% (5/6),2/2,1/1,25% (1/4),0/1,0/0,40% (4/10),56% (5/9)
2018 Estoril R16,W vsAnderson,75% (15/20),75% (3/4),2/4,1/1,100% (2/2),1/2,0/0,60% (3/5),0% (0/5)
2018 Estoril R32,W vsAndujar,43% (9/21),75% (3/4),2/3,1/1,86% (6/7),0/0,0/0,60% (3/5),100% (4/4)
2018 Barcelona F,L vsNadal,100% (3/3),0% (0/3),0/0,0/0,50% (5/10),3/5,2/3,- (0/0),- (0/0)
