Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Rk,Player,M,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Rk,Player,M,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Rk,Player,M,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
31,Hubert Hurkacz[POL],4,3-1,75.0%,68.3%,64.9%,54,14.9%,10,2.8%,7.8%,64.7%,76.6%,53.1%,57.6%,89.3%,6.5,2.1,31,Hubert Hurkacz[POL],4,35.8%,36.1%,6.7%,3.4%,27.7%,46.2%,15.7%,6.4,2.3,72.5,70.8,31,Hubert Hurkacz[POL],4,40.0%,8,20,0.39,1.8,5.0,0.73,2.0,82.9%,29,35,0.63,3.2,8.8,0.55,1.5,31,Hubert Hurkacz[POL],4,1.13,690,52.9%,2,2-0,100.0%,18.2%,11,7-4,63.6%,107,58-49,54.2%,1:16,27.7,26.5
32,Alex Michelsen[USA],9,6-3,66.7%,65.9%,64.9%,47,8.1%,17,2.9%,9.6%,69.3%,70.9%,54.5%,60.2%,80.4%,6.0,2.0,32,Alex Michelsen[USA],9,38.4%,39.3%,7.0%,3.1%,32.6%,49.1%,25.8%,6.3,2.4,63.0,76.4,32,Alex Michelsen[USA],9,39.7%,25,63,0.65,2.9,7.0,1.14,2.8,58.7%,27,46,0.47,2.1,5.1,0.86,2.1,32,Alex Michelsen[USA],9,1.13,1194,51.8%,5,3-2,60.0%,22.7%,22,14-8,63.6%,194,103-91,53.1%,1:34,38.3,42.4
33,Sebastian Baez[ARG],5,2-3,40.0%,61.6%,61.8%,15,3.7%,11,2.7%,8.1%,66.7%,68.3%,48.1%,52.4%,76.7%,6.8,2.6,33,Sebastian Baez[ARG],5,39.3%,38.1%,4.6%,4.8%,34.4%,45.5%,28.3%,6.6,2.6,78.0,105.0,33,Sebastian Baez[ARG],5,40.5%,17,42,0.70,3.5,8.4,1.42,3.4,65.0%,26,40,0.67,3.3,8.0,1.17,2.8,33,Sebastian Baez[ARG],5,1.02,800,50.6%,2,0-2,0.0%,16.7%,12,6-6,50.0%,120,63-57,52.5%,1:39,41.4,37.3
34,Flavio Cobolli[ITA],7,5-2,71.4%,69.2%,69.7%,53,8.0%,27,4.1%,9.5%,56.8%,78.1%,57.5%,63.6%,89.0%,6.1,1.9,34,Flavio Cobolli[ITA],7,33.0%,33.9%,9.9%,3.7%,23.6%,49.8%,17.4%,6.1,2.0,15.0,105.0,34,Flavio Cobolli[ITA],7,47.5%,19,40,0.37,1.9,5.7,0.90,2.7,66.7%,24,36,0.33,1.7,5.1,0.57,1.7,34,Flavio Cobolli[ITA],7,1.07,1329,51.0%,7,3-4,42.9%,33.3%,21,12-9,57.1%,218,116-102,53.2%,2:12,44.0,41.8
35,Tallon Griekspoor[NED],8,6-2,75.0%,71.5%,71.0%,57,9.9%,19,3.3%,10.3%,67.9%,79.3%,55.1%,61.4%,92.7%,6.0,1.7,35,Tallon Griekspoor[NED],8,31.2%,31.9%,10.4%,3.9%,24.5%,42.4%,15.1%,6.0,1.9,70.0,84.6,35,Tallon Griekspoor[NED],8,43.8%,14,32,0.34,1.7,4.0,0.74,1.8,75.0%,21,28,0.29,1.5,3.5,0.37,0.9,35,Tallon Griekspoor[NED],8,1.10,1133,51.7%,4,2-2,50.0%,21.1%,19,12-7,63.2%,189,103-86,54.5%,1:38,41.1,41.3
36,Giovanni Mpetshi Perricard[FRA],5,5-0,100.0%,75.0%,71.6%,105,26.8%,23,5.9%,17.0%,65.6%,82.5%,60.7%,73.2%,95.5%,5.9,1.5,36,Giovanni Mpetshi Perricard[FRA],5,34.8%,35.0%,7.2%,3.5%,28.0%,47.8%,19.0%,6.3,2.2,81.0,66.3,36,Giovanni Mpetshi Perricard[FRA],5,46.2%,12,26,0.41,2.0,5.2,0.92,2.4,80.0%,12,15,0.22,1.2,3.0,0.23,0.6,36,Giovanni Mpetshi Perricard[FRA],5,1.39,792,54.7%,4,3-1,75.0%,30.8%,13,11-2,84.6%,130,76-54,58.5%,1:34,36.3,35.8
37,Matteo Arnaldi[ITA],5,3-2,60.0%,62.1%,59.7%,51,10.7%,15,3.1%,7.6%,58.8%,71.2%,49.2%,53.3%,78.3%,6.9,2.6,37,Matteo Arnaldi[ITA],5,31.5%,31.8%,5.6%,2.1%,29.1%,36.8%,13.0%,6.2,2.0,70.0,50.0,37,Matteo Arnaldi[ITA],5,32.1%,9,28,0.41,2.0,5.6,0.64,1.8,66.7%,30,45,0.65,3.2,9.0,1.07,3.0,37,Matteo Arnaldi[ITA],5,0.83,907,47.6%,5,4-1,80.0%,35.7%,14,7-7,50.0%,138,63-75,45.7%,1:59,42.4,39.2
38,Jiri Lehecka[CZE],8,2-6,25.0%,61.3%,59.6%,52,9.1%,19,3.3%,7.8%,56.9%,71.9%,47.3%,51.3%,74.4%,6.3,2.4,38,Jiri Lehecka[CZE],8,33.7%,34.3%,7.3%,2.8%,24.5%,49.8%,14.8%,6.4,2.2,73.0,55.3,38,Jiri Lehecka[CZE],8,32.5%,13,40,0.45,2.0,5.0,0.65,1.6,60.3%,35,58,0.64,2.9,7.3,1.15,2.9,38,Jiri Lehecka[CZE],8,0.87,1133,47.6%,2,0-2,0.0%,10.0%,20,7-13,35.0%,178,80-98,44.9%,1:36,38.4,40.7
39,Alexandre Muller[FRA],3,3-0,100.0%,62.7%,61.2%,20,6.4%,5,1.6%,6.6%,75.8%,64.7%,56.6%,60.6%,78.7%,6.7,2.5,39,Alexandre Muller[FRA],3,40.7%,41.2%,5.1%,2.7%,29.9%,54.6%,28.3%,6.5,2.6,71.0,84.0,39,Alexandre Muller[FRA],3,52.0%,13,25,0.54,2.8,8.3,1.44,4.3,64.3%,18,28,0.60,3.1,9.3,1.11,3.3,39,Alexandre Muller[FRA],3,1.09,611,52.0%,4,3-1,75.0%,44.4%,9,7-2,77.8%,93,50-43,53.8%,2:18,46.0,40.7
40,Nuno Borges[POR],6,3-3,50.0%,64.7%,63.6%,49,9.5%,19,3.7%,10.4%,64.9%,71.7%,51.6%,57.7%,81.0%,6.6,2.3,40,Nuno Borges[POR],6,38.0%,37.2%,4.9%,4.2%,28.9%,51.6%,19.5%,6.7,2.5,55.5,83.2,40,Nuno Borges[POR],6,31.4%,16,51,0.62,3.0,8.5,0.94,2.7,65.1%,28,43,0.54,2.5,7.2,0.88,2.5,40,Nuno Borges[POR],6,1.08,1068,50.9%,4,2-2,50.0%,23.5%,17,8-9,47.1%,161,80-81,49.7%,2:00,42.4,40.4
