Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
37,Matteo Arnaldi,9,22.2,59.1,57.5,6.8,2.1,5.2,58.9,66.7,48.3,51.0,70.2,6.6,35.4,35.3,6.2,3.5,27.1,48.9,6.7,6.0,6.7,30.3,66,0.55,2.5,7.3,0.77,2.2,57.6,0.7,3.3,9.4,1.38,4.0,47.2,66.7,34.6
38,Jiri Lehecka,8,37.5,64.8,63.5,9.4,3.3,8.3,60.5,74.5,50.0,54.5,80.7,6.6,29.1,28.9,9.5,4.1,20.7,41.6,6.1,4.5,4.1,27.6,29,0.32,1.6,3.6,0.44,1.0,65.3,0.56,2.7,6.1,0.94,2.1,47.3,60.0,38.9
39,Alexandre Muller,5,20.0,58.6,58.1,3.5,1.7,4.6,63.8,64.9,47.4,49.7,72.5,7.0,32.0,33.3,10.2,3.1,23.0,46.1,6.2,6.0,5.6,29.0,31,0.46,2.2,6.2,0.64,1.8,65.5,0.8,3.9,11.0,1.36,3.8,46.2,33.3,21.4
40,Nuno Borges,6,0.0,56.5,56.6,5.6,4.4,11.1,60.7,67.1,40.2,45.2,63.4,6.8,30.9,31.2,12.5,5.2,19.9,48.6,6.4,5.0,5.7,33.3,27,0.38,1.8,4.5,0.6,1.5,50.9,0.75,3.5,8.8,1.73,4.3,44.0,0.0,6.7
41,Jordan Thompson,8,50.0,61.6,59.3,7.8,1.4,3.1,55.8,70.0,51.1,52.7,76.1,6.5,34.4,34.7,6.6,3.0,28.9,42.6,6.2,7.0,6.4,38.3,47,0.42,2.0,5.9,0.78,2.3,57.8,0.57,2.8,8.0,1.17,3.4,48.4,66.7,47.8
42,Alejandro Tabilo,6,16.7,62.5,60.9,8.5,2.9,8.4,65.4,71.5,45.5,49.6,79.0,6.7,30.1,30.3,14.7,6.1,19.0,49.3,6.0,6.0,5.7,45.0,20,0.32,1.5,3.3,0.69,1.5,58.1,0.5,2.4,5.2,1.0,2.2,47.1,0.0,23.1
43,Gael Monfils,10,20.0,60.9,61.2,10.2,6.9,16.9,59.1,70.3,47.4,57.0,76.9,6.5,30.3,29.1,4.8,3.6,24.6,39.1,5.8,4.5,5.5,41.9,43,0.33,1.6,4.3,0.67,1.8,58.9,0.56,2.7,7.3,1.11,3.0,46.5,25.0,25.9
44,Lorenzo Sonego,7,0.0,62.8,60.6,8.4,1.8,5.5,67.0,67.2,53.7,56.8,82.2,6.8,24.3,24.6,7.8,2.2,21.9,29.2,5.8,4.0,5.1,16.7,18,0.19,1.0,2.6,0.17,0.4,67.3,0.54,2.7,7.0,0.89,2.3,44.8,33.3,16.7
45,Marcos Giron,8,12.5,59.2,59.2,4.0,2.7,6.5,58.2,68.3,46.6,49.8,71.3,6.5,31.5,32.7,12.8,4.5,23.5,43.5,6.0,7.0,6.9,38.5,39,0.36,1.9,4.9,0.71,1.9,51.6,0.59,3.0,8.0,1.48,3.9,45.9,50.0,23.8
46,Luciano Darderi,1,0.0,65.0,63.6,6.7,1.7,3.8,56.7,73.5,53.8,56.0,80.0,6.0,26.9,31.5,17.9,1.5,16.3,55.6,6.7,5.0,5.0,0.0,1,0.1,0.5,1.0,0.0,0.0,50.0,0.4,2.0,4.0,1.0,2.0,44.9,0.0,0.0
47,Miomir Kecmanovic,7,14.3,53.7,52.5,4.4,1.8,4.6,61.6,61.5,41.0,43.0,54.2,6.3,32.6,33.0,9.4,4.0,24.1,46.5,6.0,6.0,5.7,36.7,30,0.4,1.8,4.3,0.65,1.6,42.1,0.79,3.4,8.1,1.94,4.7,43.2,0.0,11.8
48,David Goffin,3,33.3,59.3,59.8,3.7,3.3,9.0,63.1,67.8,44.9,49.4,73.5,7.1,33.0,35.9,12.1,2.3,28.4,43.3,6.1,4.0,4.7,29.4,17,0.49,2.4,5.7,0.71,1.7,62.5,0.71,3.4,8.0,1.29,3.0,46.9,0.0,28.6
49,Pedro Martinez,4,25.0,57.9,59.6,1.5,3.9,12.9,69.4,61.6,49.5,56.8,72.3,7.0,30.5,33.2,15.6,3.7,19.7,48.2,6.1,7.0,7.0,38.5,13,0.27,1.3,3.3,0.5,1.3,66.7,0.83,3.9,9.8,1.3,3.3,45.0,-,20.0
50,Zizou Bergs,5,0.0,59.3,58.5,6.4,3.3,8.4,60.6,66.5,48.0,52.4,67.6,6.4,34.7,33.3,5.3,4.6,24.9,49.7,6.4,9.0,8.2,27.5,40,0.54,2.7,8.0,0.73,2.2,52.1,0.68,3.2,9.6,1.53,4.6,46.7,0.0,20.0
51,Tomas Martin Etcheverry,8,0.0,60.0,57.5,9.1,2.3,6.2,62.4,70.5,42.7,45.5,70.2,6.4,31.8,33.3,9.7,2.6,23.6,47.1,6.4,6.5,5.6,28.6,49,0.43,2.1,6.1,0.61,1.8,46.0,0.55,2.7,7.9,1.48,4.3,45.9,33.3,17.4
52,Quentin Halys,1,0.0,60.0,48.9,27.1,5.7,16.0,64.3,75.6,32.0,38.1,80.0,7.0,35.4,35.8,10.1,5.1,17.8,58.8,7.2,10.0,10.0,25.0,4,0.36,2.0,4.0,0.5,1.0,77.8,0.9,4.5,9.0,1.0,2.0,47.0,0.0,0.0
53,Nicolas Jarry,7,42.9,64.3,61.7,10.3,2.1,6.1,64.9,75.2,44.2,47.1,80.0,6.5,29.4,29.2,7.2,3.2,22.5,45.4,5.9,4.0,4.3,29.0,31,0.39,1.9,4.4,0.56,1.3,64.4,0.56,2.8,6.4,1.0,2.3,47.7,66.7,43.8
55,Zhizhen Zhang,9,11.1,61.8,59.9,9.5,3.2,8.6,63.2,73.4,41.8,45.8,75.0,6.3,25.6,28.3,15.8,2.4,17.7,42.0,5.7,5.0,5.4,18.8,16,0.16,0.8,1.8,0.14,0.3,39.0,0.41,2.0,4.6,1.19,2.8,44.4,66.7,14.3
56,Roberto Bautista Agut,2,50.0,68.8,68.0,5.0,1.3,4.2,70.0,72.3,60.4,63.0,88.5,6.2,34.3,38.5,15.7,3.0,19.2,59.7,6.6,8.0,8.0,37.5,8,0.32,1.6,4.0,0.6,1.5,66.7,0.35,1.8,4.5,0.6,1.5,51.2,0.0,40.0
57,Jacob Fearnley,1,0.0,66.4,65.4,10.7,4.1,11.9,65.6,73.8,52.4,59.5,81.0,5.8,27.6,29.2,11.4,2.4,19.5,43.9,5.6,2.0,2.0,33.3,6,0.27,1.5,6.0,0.5,2.0,42.9,0.33,1.8,7.0,1.0,4.0,46.9,-,25.0
58,Benjamin Bonzi,1,100.0,76.4,72.9,12.7,0.0,0.0,70.9,84.6,56.3,56.3,100.0,5.5,37.1,36.5,9.7,6.5,31.8,50.0,6.2,7.0,7.0,40.0,5,0.5,2.5,5.0,1.0,2.0,100.0,0.1,0.5,1.0,0.0,0.0,55.6,-,100.0
59,Roberto Carballes Baena,6,0.0,53.9,53.7,4.1,3.1,8.0,61.1,58.2,47.2,51.3,56.3,6.5,32.0,33.6,8.7,2.0,22.9,47.3,6.1,4.0,4.5,29.2,24,0.36,1.6,4.0,0.47,1.2,53.3,0.94,4.0,10.0,1.87,4.7,43.2,-,6.7
60,Camilo Ugo Carabelli,2,0.0,48.0,49.6,4.1,7.4,21.6,65.5,56.7,31.4,40.0,47.6,7.0,40.9,38.2,1.5,5.3,27.4,64.6,6.3,5.5,5.5,46.2,13,0.62,3.3,6.5,1.5,3.0,56.0,1.19,6.3,12.5,2.75,5.5,44.6,-,0.0
61,Fabian Marozsan,9,33.3,59.0,58.5,5.2,2.8,7.6,63.9,68.9,41.6,45.0,68.5,6.5,35.0,35.5,9.7,4.5,25.5,47.6,5.9,7.0,6.4,53.8,39,0.36,1.6,4.3,0.88,2.3,57.3,0.74,3.4,9.1,1.46,3.9,47.8,50.0,33.3
63,Francisco Comesana,1,100.0,67.6,62.8,15.4,1.5,4.9,69.9,73.7,53.7,56.4,90.0,6.8,35.1,34.7,4.6,3.1,22.2,50.8,6.0,6.0,6.0,80.0,5,0.23,1.3,5.0,1.0,4.0,80.0,0.5,2.5,10.0,0.5,2.0,51.7,100.0,75.0
64,Laslo Djere,1,0.0,53.4,45.9,15.1,1.4,3.3,58.9,65.1,36.7,37.9,63.6,6.6,37.1,32.1,3.4,9.0,21.4,51.1,8.1,2.0,2.0,12.5,8,0.73,2.7,8.0,0.33,1.0,60.0,0.91,3.3,10.0,1.33,4.0,44.4,-,0.0
66,Jaume Munar,2,0.0,48.1,50.0,3.9,7.8,17.6,55.8,58.1,35.3,42.9,45.5,7.0,31.5,36.0,12.6,0.0,25.0,41.2,5.8,6.5,6.5,42.9,7,0.32,1.4,3.5,0.6,1.5,53.8,1.18,5.2,13.0,2.4,6.0,40.6,-,0.0
67,Juncheng Shang,5,0.0,57.3,57.2,5.4,4.0,9.7,58.5,64.8,46.6,51.6,64.5,6.5,30.1,30.4,10.0,3.8,23.7,39.5,6.1,5.0,5.4,17.1,35,0.45,1.9,7.0,0.33,1.2,56.5,0.82,3.4,12.4,1.5,5.4,44.0,100.0,27.8
68,Mattia Bellucci,1,0.0,56.2,53.1,9.6,2.7,7.4,63.0,63.0,44.4,48.0,66.7,8.1,25.5,26.2,13.7,3.9,16.7,46.7,5.7,3.0,3.0,0.0,1,0.11,0.5,1.0,0.0,0.0,70.0,1.11,5.0,10.0,1.5,3.0,43.5,-,0.0
