Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
22,Ugo Humbert,9,55.6,67.6,65.1,10.0,1.6,4.3,63.3,74.7,55.4,57.8,85.4,6.2,37.0,37.4,8.0,4.3,30.4,48.6,6.8,57.0,73.1,33.7,86,0.61,3.0,9.6,1.0,3.2,68.2,0.46,2.3,7.3,0.72,2.3,51.8,55.6,55.2
23,Sebastian Korda,10,70.0,70.1,68.5,9.9,2.2,5.7,62.2,79.6,54.5,57.8,87.8,6.0,35.6,37.1,10.6,3.9,24.0,54.2,6.5,22.5,50.4,31.6,76,0.57,3.0,7.6,0.96,2.4,63.6,0.34,1.8,4.4,0.64,1.6,52.1,50.0,64.0
24,Karen Khachanov,4,25.0,69.7,69.5,8.6,3.5,10.4,66.4,78.9,51.4,57.4,90.0,6.1,30.0,32.4,12.0,2.3,19.0,48.2,6.3,93.0,107.3,28.0,25,0.36,1.8,6.3,0.5,1.8,74.1,0.39,1.9,6.8,0.5,1.8,49.6,25.0,42.9
25,Alexei Popyrin,6,50.0,69.4,66.9,13.5,3.0,11.2,73.0,77.0,48.8,55.0,89.3,6.1,30.2,31.4,9.8,2.7,23.8,42.0,5.9,55.5,56.8,48.3,29,0.28,1.4,4.8,0.67,2.3,73.2,0.4,2.0,6.8,0.52,1.8,49.9,0.0,52.4
26,Alejandro Davidovich Fokina,1,0.0,64.1,61.2,13.6,3.9,11.8,67.0,73.9,44.1,50.0,85.7,7.4,28.2,31.9,16.5,2.4,16.4,58.3,6.1,24.0,24.0,25.0,4,0.29,1.3,4.0,0.33,1.0,66.7,0.43,2.0,6.0,0.67,2.0,47.9,0.0,33.3
27,Felix Auger Aliassime,2,0.0,69.2,65.7,17.2,3.6,11.1,67.4,79.2,48.6,54.7,86.1,6.1,28.1,30.1,11.1,2.0,20.5,41.7,5.7,81.5,81.5,37.5,8,0.23,1.1,4.0,0.43,1.5,66.7,0.42,2.1,7.5,0.71,2.5,49.8,0.0,28.6
28,Denis Shapovalov,5,60.0,68.7,73.1,6.9,8.6,21.5,59.8,78.7,53.7,68.5,86.0,6.2,30.2,29.8,4.9,2.6,22.4,43.4,5.8,80.0,77.6,39.3,28,0.33,1.6,5.6,0.65,2.2,66.7,0.42,2.1,7.2,0.71,2.4,50.1,75.0,58.8
29,Brandon Nakashima,10,60.0,67.8,64.9,11.4,1.7,5.3,67.8,74.2,54.3,57.3,88.0,6.1,35.2,36.6,10.5,3.9,26.6,49.7,6.3,40.0,68.8,37.5,64,0.52,2.6,6.4,0.96,2.4,73.7,0.46,2.3,5.7,0.6,1.5,51.5,40.0,60.0
30,Matteo Berrettini,9,66.7,70.7,66.6,16.0,1.9,6.0,68.6,77.6,55.6,59.1,93.7,6.3,31.8,32.8,7.3,2.1,24.9,44.6,6.1,53.0,57.3,40.7,54,0.43,2.2,6.0,0.88,2.4,80.0,0.31,1.6,4.4,0.32,0.9,51.7,42.9,64.0
31,Hubert Hurkacz,7,71.4,72.0,67.1,18.2,1.6,5.0,67.8,80.1,55.0,57.9,92.9,6.3,31.8,30.8,6.0,4.1,21.4,48.0,6.4,49.0,53.3,31.8,44,0.45,2.6,6.3,0.82,2.0,74.1,0.27,1.6,3.9,0.41,1.0,51.8,57.1,70.6
32,Alex Michelsen,10,50.0,67.7,67.2,4.5,1.5,5.4,72.1,72.4,55.4,58.6,86.6,6.3,34.5,38.2,16.4,4.1,22.1,55.1,6.4,66.0,188.1,32.8,64,0.51,2.6,6.4,0.84,2.1,66.7,0.4,2.0,5.1,0.68,1.7,51.0,50.0,56.0
33,Sebastian Baez,3,0.0,55.3,56.3,1.4,2.8,10.0,72.4,55.4,55.0,61.1,64.5,7.0,31.0,34.8,12.9,1.0,25.9,41.8,6.4,53.0,43.7,14.3,14,0.42,2.0,4.7,0.29,0.7,60.7,0.9,4.0,9.3,1.57,3.7,43.3,-,0.0
34,Flavio Cobolli,7,42.9,67.4,67.3,8.5,3.9,8.2,52.5,76.2,57.7,62.8,87.5,6.2,30.7,31.7,10.9,3.6,21.5,46.8,6.1,68.0,100.9,36.4,44,0.39,2.1,6.3,0.76,2.3,63.2,0.34,1.8,5.4,0.67,2.0,49.2,16.7,47.6
