Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
31,Hubert Hurkacz[POL],2,2-0,100.0%,75.2%,68.8%,35,21.7%,1,0.6%,2.0%,68.9%,83.8%,56.0%,57.1%,96.4%,5.8,1.4,Hubert Hurkacz[POL],2,36.8%,36.4%,6.2%,4.1%,25.6%,57.4%,14.8%,7.1,2.6,67.5,67.5,Hubert Hurkacz[POL],2,30.8%,4,13,0.48,2.6,6.5,0.80,2.0,87.5%,7,8,0.29,1.6,4.0,0.20,0.5,Hubert Hurkacz[POL],2,1.48,354,54.2%,2,1-1,50.0%,40.0%,5,4-1,80.0%,55,31-24,56.4%,2:05,49.8,42.2
32,Alex Michelsen[USA],3,1-2,33.3%,62.8%,62.0%,18,8.3%,8,3.7%,9.8%,62.4%,74.3%,43.9%,48.6%,79.4%,6.4,2.4,Alex Michelsen[USA],3,31.1%,31.6%,5.8%,1.9%,20.7%,44.4%,11.4%,5.9,1.8,61.0,70.3,Alex Michelsen[USA],3,36.4%,4,11,0.31,1.6,3.7,0.57,1.3,72.0%,18,25,0.74,3.6,8.3,1.00,2.3,Alex Michelsen[USA],3,0.84,424,47.4%,1,1-0,100.0%,14.3%,7,3-4,42.9%,69,31-38,44.9%,1:37,41.7,41.3
33,Sebastian Baez[ARG],3,3-0,100.0%,59.2%,58.5%,6,2.8%,2,0.9%,3.2%,70.4%,62.7%,50.8%,52.5%,71.9%,6.7,2.7,Sebastian Baez[ARG],3,49.6%,48.4%,1.3%,3.5%,44.9%,56.7%,46.9%,7.1,3.5,90.0,93.0,Sebastian Baez[ARG],3,51.7%,15,29,0.91,4.1,9.7,2.14,5.0,55.0%,11,20,0.63,2.9,6.7,1.29,3.0,Sebastian Baez[ARG],3,1.21,439,54.2%,1,1-0,100.0%,14.3%,7,6-1,85.7%,64,38-26,59.4%,1:50,47.0,45.0
34,Flavio Cobolli[ITA],2,1-1,50.0%,58.2%,60.2%,5,4.5%,7,6.4%,13.0%,50.9%,62.5%,53.7%,61.7%,61.1%,6.1,2.6,Flavio Cobolli[ITA],2,36.6%,37.7%,9.2%,3.8%,30.6%,47.8%,21.1%,6.9,2.5,128.5,128.5,Flavio Cobolli[ITA],2,28.6%,4,14,0.74,3.5,7.0,1.00,2.0,22.2%,2,9,0.50,2.3,4.5,1.75,3.5,Flavio Cobolli[ITA],2,0.88,241,46.5%,1,1-0,100.0%,25.0%,4,2-2,50.0%,37,15-22,40.5%,1:24,41.8,41.6
35,Tallon Griekspoor[NED],5,2-3,40.0%,63.3%,62.6%,27,5.9%,11,2.4%,6.7%,64.0%,70.6%,50.3%,53.9%,82.1%,6.8,2.5,Tallon Griekspoor[NED],5,32.2%,32.7%,9.1%,3.7%,25.3%,46.8%,11.9%,6.5,2.1,13.0,44.8,Tallon Griekspoor[NED],5,30.8%,8,26,0.39,2.0,5.2,0.62,1.6,72.1%,31,43,0.64,3.3,8.6,0.92,2.4,Tallon Griekspoor[NED],5,0.88,896,48.1%,4,2-2,50.0%,30.8%,13,6-7,46.2%,134,63-71,47.0%,2:14,51.4,44.7
36,Giovanni Mpetshi Perricard[FRA],1,1-0,100.0%,76.4%,70.6%,19,26.4%,2,2.8%,8.0%,65.3%,78.7%,72.0%,78.3%,100.0%,6.0,1.4,Giovanni Mpetshi Perricard[FRA],1,30.8%,30.2%,12.8%,6.4%,20.8%,46.7%,8.3%,6.5,2.0,48.0,48.0,Giovanni Mpetshi Perricard[FRA],1,50.0%,1,2,0.17,1.0,2.0,0.50,1.0,-,0,0,0.00,0.0,0.0,0.00,0.0,Giovanni Mpetshi Perricard[FRA],1,1.30,150,52.7%,1,1-0,100.0%,50.0%,2,2-0,100.0%,24,13-11,54.2%,1:32,46.0,36.8
37,Matteo Arnaldi[ITA],3,1-2,33.3%,66.7%,65.8%,15,7.2%,5,2.4%,5.6%,57.0%,72.9%,58.4%,61.9%,81.8%,6.3,2.1,Matteo Arnaldi[ITA],3,30.0%,29.1%,6.5%,4.0%,26.3%,37.3%,6.1%,6.1,1.8,43.0,37.7,Matteo Arnaldi[ITA],3,28.6%,2,7,0.21,1.0,2.3,0.29,0.7,62.5%,10,16,0.48,2.3,5.3,0.86,2.0,Matteo Arnaldi[ITA],3,0.90,407,48.6%,1,1-0,100.0%,14.3%,7,3-4,42.9%,66,29-37,43.9%,1:45,45.0,46.4
38,Jiri Lehecka[CZE],2,2-0,100.0%,63.0%,60.0%,18,11.1%,4,2.5%,6.3%,61.1%,75.8%,42.9%,45.8%,87.5%,6.8,2.5,Jiri Lehecka[CZE],2,36.2%,38.1%,10.9%,3.6%,26.9%,55.6%,25.0%,5.8,2.1,19.0,19.0,Jiri Lehecka[CZE],2,46.2%,6,13,0.54,2.6,6.5,1.20,3.0,75.0%,9,12,0.50,2.4,6.0,0.60,1.5,Jiri Lehecka[CZE],2,0.98,300,50.7%,0,0-0,-,0.0%,5,4-1,80.0%,48,27-21,56.3%,1:49,43.6,43.6
39,Alexandre Muller[FRA],3,2-1,66.7%,60.5%,59.9%,11,4.7%,5,2.1%,6.5%,67.0%,69.2%,42.9%,45.8%,78.8%,7.1,2.8,Alexandre Muller[FRA],3,39.5%,37.1%,3.8%,5.9%,31.4%,50.0%,33.3%,5.6,2.2,26.0,56.0,Alexandre Muller[FRA],3,42.3%,11,26,0.79,3.7,8.7,1.57,3.7,72.0%,18,25,0.76,3.6,8.3,1.00,2.3,Alexandre Muller[FRA],3,1.00,418,51.2%,0,0-0,-,0.0%,7,4-3,57.1%,66,37-29,56.1%,1:34,40.4,40.6
40,Nuno Borges[POR],2,1-1,50.0%,62.5%,63.0%,8,5.0%,6,3.8%,10.2%,63.1%,72.3%,45.8%,50.9%,76.9%,6.2,2.3,Nuno Borges[POR],2,40.4%,40.4%,8.7%,5.8%,30.0%,57.7%,23.1%,8.0,3.2,50.0,50.0,Nuno Borges[POR],2,24.0%,6,25,0.96,5.0,12.5,1.20,3.0,40.0%,4,10,0.38,2.0,5.0,1.20,3.0,Nuno Borges[POR],2,1.08,368,50.0%,2,1-1,50.0%,40.0%,5,2-3,40.0%,52,26-26,50.0%,2:07,50.6,41.3
41,Jordan Thompson[AUS],1,0-1,0.0%,50.0%,50.0%,1,3.8%,1,3.8%,7.1%,46.2%,58.3%,42.9%,46.2%,40.0%,5.2,2.6,Jordan Thompson[AUS],1,22.6%,20.7%,3.2%,3.2%,9.5%,50.0%,0.0%,6.2,1.4,10.0,10.0,Jordan Thompson[AUS],1,-,0,0,0.00,0.0,0.0,0.00,0.0,25.0%,1,4,0.80,2.0,4.0,1.50,3.0,Jordan Thompson[AUS],1,0.45,57,35.1%,0,0-0,-,0.0%,2,0-2,0.0%,10,2-8,20.0%,0:43,21.5,45.3
