Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
31,Hubert Hurkacz[POL],5,3-2,60.0%,68.8%,65.5%,55,11.5%,5,1.0%,2.8%,63.1%,76.4%,55.7%,57.3%,89.2%,6.4,2.0,Hubert Hurkacz[POL],5,35.5%,35.6%,5.9%,3.1%,29.8%,45.3%,15.3%,6.8,2.4,61.0,53.8,Hubert Hurkacz[POL],5,39.3%,11,28,0.39,2.0,5.6,0.79,2.2,66.7%,16,24,0.32,1.7,4.8,0.57,1.6,Hubert Hurkacz[POL],5,1.13,965,51.9%,6,3-3,50.0%,42.9%,14,8-6,57.1%,146,77-69,52.7%,1:12,25.6,22.3
32,Alex Michelsen[USA],6,6-0,100.0%,70.1%,69.0%,44,8.7%,12,2.4%,8.6%,72.5%,73.0%,62.6%,68.5%,91.5%,6.2,1.8,Alex Michelsen[USA],6,37.3%,37.8%,7.1%,3.4%,30.7%,48.1%,21.3%,6.2,2.3,89.5,87.2,Alex Michelsen[USA],6,58.6%,17,29,0.36,1.8,4.8,1.06,2.8,63.2%,12,19,0.23,1.2,3.2,0.44,1.2,Alex Michelsen[USA],6,1.25,1001,53.8%,5,3-2,60.0%,31.3%,16,12-4,75.0%,162,92-70,56.8%,1:57,43.8,42.0
33,Sebastian Baez[ARG],3,2-1,66.7%,60.1%,60.3%,6,2.5%,5,2.1%,8.1%,74.5%,59.1%,62.9%,68.4%,63.9%,6.8,2.7,Sebastian Baez[ARG],3,40.1%,39.8%,3.7%,2.9%,35.5%,50.0%,32.4%,7.4,2.9,55.0,43.3,Sebastian Baez[ARG],3,30.8%,12,39,1.05,5.6,13.0,1.71,4.0,58.1%,18,31,0.86,4.4,10.3,1.86,4.3,Sebastian Baez[ARG],3,1.00,515,49.5%,2,2-0,100.0%,28.6%,7,4-3,57.1%,73,35-38,47.9%,1:37,41.6,33.9
34,Flavio Cobolli[ITA],4,2-2,50.0%,65.3%,64.7%,21,5.5%,8,2.1%,4.8%,56.9%,74.3%,53.3%,56.1%,87.3%,7.0,2.4,Flavio Cobolli[ITA],4,33.9%,35.4%,9.2%,2.7%,25.8%,46.5%,16.7%,6.8,2.3,62.0,93.0,Flavio Cobolli[ITA],4,33.3%,9,27,0.50,2.7,6.8,0.90,2.3,68.2%,15,22,0.40,2.2,5.5,0.70,1.8,Flavio Cobolli[ITA],4,0.98,752,49.9%,6,1-5,16.7%,60.0%,10,4-6,40.0%,109,57-52,52.3%,2:20,55.9,44.6
35,Tallon Griekspoor[NED],6,4-2,66.7%,68.2%,68.3%,51,10.1%,24,4.7%,11.3%,58.0%,78.6%,54.0%,60.8%,84.1%,6.2,2.0,Tallon Griekspoor[NED],6,31.6%,32.0%,10.1%,4.2%,23.4%,45.9%,13.4%,6.1,1.9,26.0,42.2,Tallon Griekspoor[NED],6,40.7%,11,27,0.33,1.6,4.5,0.65,1.8,63.9%,23,36,0.44,2.1,6.0,0.76,2.2,Tallon Griekspoor[NED],6,1.00,1010,50.0%,4,3-1,75.0%,23.5%,17,9-8,52.9%,164,80-84,48.8%,1:51,39.0,39.4
36,Giovanni Mpetshi Perricard[FRA],4,1-3,25.0%,69.3%,67.8%,68,16.5%,23,5.6%,16.4%,65.9%,77.1%,54.3%,65.0%,91.5%,7.0,2.1,Giovanni Mpetshi Perricard[FRA],4,24.1%,23.1%,7.5%,3.6%,18.9%,32.8%,3.4%,6.2,1.5,62.5,96.5,Giovanni Mpetshi Perricard[FRA],4,28.6%,2,7,0.12,0.6,1.8,0.18,0.5,84.4%,27,32,0.54,2.9,8.0,0.45,1.3,Giovanni Mpetshi Perricard[FRA],4,0.79,772,48.2%,6,1-5,16.7%,54.5%,11,3-8,27.3%,117,56-61,47.9%,1:60,43.5,37.2
37,Matteo Arnaldi[ITA],3,2-1,66.7%,63.2%,62.0%,20,7.2%,7,2.5%,6.3%,59.6%,68.5%,55.4%,59.0%,84.6%,7.1,2.6,Matteo Arnaldi[ITA],3,34.8%,34.9%,5.3%,2.6%,28.2%,47.4%,19.4%,6.3,2.2,67.0,67.3,Matteo Arnaldi[ITA],3,53.8%,7,13,0.36,1.6,4.3,0.88,2.3,76.9%,20,26,0.67,3.3,8.7,0.75,2.0,Matteo Arnaldi[ITA],3,0.95,504,50.4%,2,1-1,50.0%,25.0%,8,5-3,62.5%,75,40-35,53.3%,0:58,21.9,20.8
38,Jiri Lehecka[CZE],5,4-1,80.0%,66.8%,66.0%,32,10.3%,13,4.2%,10.6%,60.3%,79.1%,48.0%,53.6%,86.3%,6.1,2.0,Jiri Lehecka[CZE],5,36.3%,37.3%,8.6%,3.5%,27.1%,50.8%,23.1%,6.0,2.2,52.0,47.2,Jiri Lehecka[CZE],5,37.5%,12,32,0.62,2.9,6.4,1.09,2.4,76.7%,23,30,0.59,2.7,6.0,0.64,1.4,Jiri Lehecka[CZE],5,1.09,624,51.4%,0,0-0,-,0.0%,11,8-3,72.7%,103,56-47,54.4%,1:26,39.0,41.3
39,Alexandre Muller[FRA],3,1-2,33.3%,58.6%,57.7%,10,4.9%,4,2.0%,5.3%,63.1%,66.4%,45.3%,47.9%,71.0%,6.5,2.7,Alexandre Muller[FRA],3,34.3%,35.9%,10.5%,3.3%,26.0%,45.5%,16.7%,6.0,2.1,13.0,49.7,Alexandre Muller[FRA],3,31.3%,5,16,0.53,2.7,5.3,0.83,1.7,55.0%,11,20,0.65,3.3,6.7,1.50,3.0,Alexandre Muller[FRA],3,0.83,384,47.1%,0,0-0,-,0.0%,6,2-4,33.3%,61,27-34,44.3%,1:33,46.3,43.4
40,Nuno Borges[POR],4,3-1,75.0%,67.5%,66.3%,29,8.1%,8,2.2%,6.5%,65.8%,74.3%,54.5%,58.3%,89.1%,6.5,2.1,Nuno Borges[POR],4,30.1%,30.9%,7.8%,2.3%,21.2%,44.2%,16.4%,5.6,1.7,51.0,50.3,Nuno Borges[POR],4,50.0%,9,18,0.33,1.6,4.5,0.82,2.3,78.6%,22,28,0.51,2.5,7.0,0.55,1.5,Nuno Borges[POR],4,0.93,669,50.2%,3,2-1,66.7%,27.3%,11,7-4,63.6%,110,58-52,52.7%,1:59,43.1,42.5
