Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
31,Hubert Hurkacz[POL],7,5-2,71.4%,72.0%,67.1%,113,18.2%,10,1.6%,5.0%,67.8%,80.1%,55.0%,57.9%,92.9%,6.3,1.8,Hubert Hurkacz[POL],7,31.8%,30.8%,6.0%,4.1%,21.4%,48.0%,14.3%,6.4,2.1,49.0,53.3,Hubert Hurkacz[POL],7,31.8%,14,44,0.45,2.6,6.3,0.82,2.0,74.1%,20,27,0.27,1.6,3.9,0.41,1.0,Hubert Hurkacz[POL],7,1.14,1254,51.8%,7,4-3,57.1%,41.2%,17,12-5,70.6%,197,106-91,53.8%,2:03,50.5,41.1
32,Alex Michelsen[USA],10,5-5,50.0%,67.7%,67.2%,36,4.5%,12,1.5%,5.4%,72.1%,72.4%,55.4%,58.6%,86.6%,6.3,2.0,Alex Michelsen[USA],10,34.5%,38.2%,16.4%,4.1%,22.1%,55.1%,16.7%,6.4,2.2,66.0,188.1,Alex Michelsen[USA],10,32.8%,21,64,0.51,2.6,6.4,0.84,2.1,66.7%,34,51,0.40,2.0,5.1,0.68,1.7,Alex Michelsen[USA],10,1.07,1601,51.0%,6,3-3,50.0%,24.0%,25,14-11,56.0%,253,131-122,51.8%,1:49,43.8,41.0
33,Sebastian Baez[ARG],3,0-3,0.0%,55.3%,56.3%,3,1.4%,6,2.8%,10.0%,72.4%,55.4%,55.0%,61.1%,64.5%,7.0,3.1,Sebastian Baez[ARG],3,31.0%,34.8%,12.9%,1.0%,25.9%,41.8%,6.1%,6.4,2.0,53.0,43.7,Sebastian Baez[ARG],3,14.3%,2,14,0.42,2.0,4.7,0.29,0.7,60.7%,17,28,0.90,4.0,9.3,1.57,3.7,Sebastian Baez[ARG],3,0.69,427,43.3%,0,0-0,-,0.0%,7,0-7,0.0%,64,22-42,34.4%,1:33,40.0,39.3
34,Flavio Cobolli[ITA],7,3-4,42.9%,67.4%,67.3%,59,8.5%,27,3.9%,8.2%,52.5%,76.2%,57.7%,62.8%,87.5%,6.2,2.0,Flavio Cobolli[ITA],7,30.7%,31.7%,10.9%,3.6%,21.5%,46.8%,14.3%,6.1,1.9,68.0,100.9,Flavio Cobolli[ITA],7,36.4%,16,44,0.39,2.1,6.3,0.76,2.3,63.2%,24,38,0.34,1.8,5.4,0.67,2.0,Flavio Cobolli[ITA],7,0.94,1384,49.2%,6,1-5,16.7%,28.6%,21,10-11,47.6%,224,114-110,50.9%,2:10,43.3,39.5
35,Tallon Griekspoor[NED],7,4-3,57.1%,67.9%,67.5%,83,11.8%,36,5.1%,13.0%,60.6%,75.5%,56.2%,64.6%,87.9%,6.6,2.1,Tallon Griekspoor[NED],7,29.1%,30.7%,9.8%,2.1%,23.7%,39.1%,9.5%,6.3,1.8,53.0,56.6,Tallon Griekspoor[NED],7,25.0%,10,40,0.38,1.9,5.7,0.48,1.4,64.9%,24,37,0.35,1.8,5.3,0.62,1.9,Tallon Griekspoor[NED],7,0.91,1364,49.0%,8,6-2,75.0%,38.1%,21,12-9,57.1%,212,104-108,49.1%,2:06,42.0,38.8
36,Giovanni Mpetshi Perricard[FRA],7,4-3,57.1%,72.5%,68.8%,167,23.6%,38,5.4%,17.5%,69.4%,81.5%,52.1%,63.1%,93.0%,6.2,1.7,Giovanni Mpetshi Perricard[FRA],7,28.0%,29.0%,8.1%,2.0%,23.1%,38.8%,10.0%,6.0,1.7,30.0,61.3,Giovanni Mpetshi Perricard[FRA],7,44.0%,11,25,0.23,1.1,3.6,0.50,1.6,80.5%,33,41,0.36,1.9,5.9,0.36,1.1,Giovanni Mpetshi Perricard[FRA],7,1.02,1372,50.9%,8,4-4,50.0%,36.4%,22,12-10,54.5%,225,118-107,52.4%,1:53,35.9,34.5
37,Matteo Arnaldi[ITA],3,1-2,33.3%,62.1%,61.1%,32,10.1%,15,4.7%,12.0%,60.6%,67.2%,54.4%,61.8%,79.6%,6.5,2.4,Matteo Arnaldi[ITA],3,33.2%,34.5%,6.1%,1.3%,24.6%,47.5%,16.7%,6.5,2.2,29.0,47.7,Matteo Arnaldi[ITA],3,42.1%,8,19,0.40,1.9,6.3,0.80,2.7,60.0%,15,25,0.51,2.5,8.3,1.00,3.3,Matteo Arnaldi[ITA],3,0.88,630,47.8%,4,2-2,50.0%,40.0%,10,4-6,40.0%,97,47-50,48.5%,2:28,44.3,42.2
39,Alexandre Muller[FRA],2,1-1,50.0%,61.2%,60.7%,11,4.0%,5,1.8%,5.7%,68.1%,67.2%,48.3%,51.2%,77.5%,6.8,2.7,Alexandre Muller[FRA],2,36.6%,37.2%,6.2%,2.7%,29.9%,47.0%,20.0%,6.4,2.4,38.0,38.0,Alexandre Muller[FRA],2,47.1%,8,17,0.43,2.4,8.5,1.14,4.0,62.5%,15,24,0.60,3.4,12.0,1.29,4.5,Alexandre Muller[FRA],2,0.94,530,49.2%,4,3-1,75.0%,57.1%,7,4-3,57.1%,80,39-41,48.8%,2:54,49.6,39.3
40,Nuno Borges[POR],3,0-3,0.0%,67.1%,64.1%,38,15.4%,10,4.1%,12.8%,68.3%,77.4%,44.9%,51.5%,82.1%,6.3,2.1,Nuno Borges[POR],3,31.2%,31.7%,5.6%,1.9%,25.3%,42.9%,9.8%,6.6,2.0,62.0,52.3,Nuno Borges[POR],3,23.5%,4,17,0.41,2.1,5.7,0.50,1.3,68.2%,15,22,0.56,2.8,7.3,0.88,2.3,Nuno Borges[POR],3,0.95,515,48.3%,3,0-3,0.0%,37.5%,8,1-7,12.5%,80,36-44,45.0%,1:55,43.3,40.3
41,Jordan Thompson[AUS],7,4-3,57.1%,66.0%,64.8%,44,8.1%,14,2.6%,6.6%,61.0%,74.4%,52.8%,56.6%,84.1%,6.2,2.1,Jordan Thompson[AUS],7,31.9%,33.0%,9.8%,3.1%,25.5%,45.1%,13.0%,5.9,1.9,53.0,71.6,Jordan Thompson[AUS],7,29.3%,12,41,0.45,2.2,5.9,0.63,1.7,64.1%,25,39,0.44,2.1,5.6,0.74,2.0,Jordan Thompson[AUS],7,0.94,1084,49.0%,1,1-0,100.0%,5.3%,19,9-10,47.4%,180,86-94,47.8%,1:54,41.8,44.0
