Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
33,Sebastian Baez[ARG],2,2-0,100.0%,65.9%,65.0%,7,5.6%,2,1.6%,5.3%,69.8%,69.3%,57.9%,61.1%,80.0%,6.3,2.2,Sebastian Baez[ARG],2,51.6%,52.0%,2.6%,1.9%,47.7%,60.9%,55.0%,7.8,4.0,82.0,82.0,Sebastian Baez[ARG],2,36.7%,11,30,1.50,6.0,15.0,2.20,5.5,69.2%,9,13,0.65,2.6,6.5,0.80,2.0,Sebastian Baez[ARG],2,1.51,281,58.0%,0,0-0,-,0.0%,5,4-1,80.0%,40,27-13,67.5%,1:48,43.2,46.1
34,Flavio Cobolli[ITA],1,0-1,0.0%,53.9%,53.0%,6,7.9%,4,5.3%,11.8%,55.3%,66.7%,38.2%,43.3%,58.3%,6.3,2.9,Flavio Cobolli[ITA],1,23.8%,26.8%,11.1%,0.0%,17.1%,36.4%,8.3%,5.3,1.3,22.0,22.0,Flavio Cobolli[ITA],1,33.3%,1,3,0.25,1.0,3.0,0.33,1.0,58.3%,7,12,1.00,4.0,12.0,1.67,5.0,Flavio Cobolli[ITA],1,0.52,139,40.3%,0,0-0,-,0.0%,3,1-2,33.3%,24,8-16,33.3%,1:34,31.3,40.6
36,Giovanni Mpetshi Perricard[FRA],2,2-0,100.0%,68.0%,62.1%,33,19.5%,4,2.4%,7.3%,67.5%,73.7%,56.4%,60.8%,80.8%,6.5,2.1,Giovanni Mpetshi Perricard[FRA],2,33.9%,35.5%,8.8%,2.3%,30.8%,40.7%,16.0%,6.8,2.3,26.0,26.0,Giovanni Mpetshi Perricard[FRA],2,44.4%,4,9,0.36,1.8,4.5,0.80,2.0,64.3%,9,14,0.54,2.8,7.0,1.00,2.5,Giovanni Mpetshi Perricard[FRA],2,1.06,340,50.9%,2,2-0,100.0%,40.0%,5,4-1,80.0%,51,25-26,49.0%,1:57,46.8,41.3
38,Jiri Lehecka[CZE],2,1-1,50.0%,62.4%,57.9%,20,13.4%,3,2.0%,6.3%,67.8%,69.3%,47.9%,51.1%,79.2%,6.2,2.3,Jiri Lehecka[CZE],2,28.5%,28.6%,6.2%,2.3%,24.4%,36.4%,12.5%,5.4,1.5,61.0,61.0,Jiri Lehecka[CZE],2,42.9%,3,7,0.29,1.4,3.5,0.60,1.5,66.7%,10,15,0.63,3.0,7.5,1.00,2.5,Jiri Lehecka[CZE],2,0.76,279,46.6%,0,0-0,-,0.0%,5,2-3,40.0%,48,22-26,45.8%,1:42,40.6,43.7
40,Nuno Borges[POR],1,1-0,100.0%,64.2%,64.0%,2,3.8%,1,1.9%,5.0%,62.3%,66.7%,60.0%,63.2%,77.8%,5.9,2.1,Nuno Borges[POR],1,55.4%,52.8%,0.0%,5.4%,47.4%,72.2%,62.5%,7.0,3.9,261.0,261.0,Nuno Borges[POR],1,41.7%,5,12,1.50,6.0,12.0,2.50,5.0,60.0%,3,5,0.56,2.5,5.0,1.00,2.0,Nuno Borges[POR],1,1.54,109,59.6%,0,0-0,-,0.0%,2,2-0,100.0%,17,12-5,70.6%,1:27,43.5,47.9
41,Jordan Thompson[AUS],2,1-1,50.0%,68.7%,64.1%,23,13.9%,1,0.6%,1.7%,64.5%,78.5%,50.8%,51.7%,84.6%,6.4,2.0,Jordan Thompson[AUS],2,35.4%,34.1%,0.6%,2.3%,29.2%,46.8%,16.0%,7.0,2.5,49.0,49.0,Jordan Thompson[AUS],2,28.6%,4,14,0.56,2.8,7.0,0.80,2.0,78.9%,15,19,0.73,3.8,9.5,0.80,2.0,Jordan Thompson[AUS],2,1.13,341,51.6%,2,1-1,50.0%,40.0%,5,3-2,60.0%,51,26-25,51.0%,2:21,56.4,49.6
42,Alejandro Tabilo[CHI],3,2-1,66.7%,61.5%,59.4%,19,8.2%,5,2.2%,6.0%,63.6%,69.4%,47.6%,50.6%,84.8%,7.0,2.7,Alejandro Tabilo[CHI],3,37.5%,37.3%,4.7%,3.1%,25.7%,54.4%,22.6%,6.2,2.3,54.0,49.7,Alejandro Tabilo[CHI],3,35.0%,7,20,0.65,2.9,6.7,1.00,2.3,77.3%,17,22,0.67,3.1,7.3,0.71,1.7,Alejandro Tabilo[CHI],3,0.97,423,50.6%,0,0-0,-,0.0%,7,5-2,71.4%,64,35-29,54.7%,1:41,43.4,43.1
44,Lorenzo Sonego[ITA],1,1-0,100.0%,78.0%,80.0%,4,9.8%,2,4.9%,20.0%,75.6%,87.1%,50.0%,62.5%,100.0%,5.1,1.1,Lorenzo Sonego[ITA],1,51.2%,51.2%,2.3%,2.3%,55.6%,43.8%,57.1%,6.1,3.1,52.0,52.0,Lorenzo Sonego[ITA],1,50.0%,4,8,1.14,4.0,8.0,2.00,4.0,-,0,0,0.00,0.0,0.0,0.00,0.0,Lorenzo Sonego[ITA],1,2.33,84,64.3%,0,0-0,-,0.0%,2,2-0,100.0%,15,12-3,80.0%,1:03,31.5,45.0
45,Marcos Giron[USA],2,1-1,50.0%,68.0%,67.4%,14,6.9%,5,2.5%,7.1%,65.5%,75.2%,54.3%,58.5%,90.9%,6.2,2.0,Marcos Giron[USA],2,35.3%,35.9%,3.0%,0.9%,30.7%,46.4%,15.2%,7.0,2.5,38.0,38.0,Marcos Giron[USA],2,26.3%,5,19,0.58,3.2,9.5,0.83,2.5,72.7%,8,11,0.33,1.8,5.5,0.50,1.5,Marcos Giron[USA],2,1.10,435,50.6%,2,0-2,0.0%,33.3%,6,3-3,50.0%,66,35-31,53.0%,2:35,51.5,42.6
46,Luciano Darderi[ITA],1,1-0,100.0%,70.0%,64.3%,8,16.0%,0,0.0%,0.0%,54.0%,77.8%,60.9%,60.9%,88.9%,5.6,1.7,Luciano Darderi[ITA],1,51.7%,51.7%,1.7%,1.7%,48.6%,56.5%,50.0%,7.5,3.9,207.0,207.0,Luciano Darderi[ITA],1,40.0%,4,10,1.25,5.0,10.0,2.00,4.0,50.0%,1,2,0.22,1.0,2.0,0.50,1.0,Luciano Darderi[ITA],1,1.72,110,60.0%,0,0-0,-,0.0%,2,2-0,100.0%,17,12-5,70.6%,1:24,42.0,45.8
