Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2023 Wimbledon R128,W vsCerundolo,44.8%,63.8%,71.9%,55.5%,40.0%,65.0%,70.8%,55.5%,42.1%,42.9%,-,55.6%,61.1%,75.0%,-79
2023 Halle QF,L vsBublik,16.2%,35.1%,48.3%,23.0%,27.3%,50.0%,50.0%,38.6%,55.6%,46.2%,0.0%,0.0%,15.4%,46.2%,-118
2023 Halle R16,W vsSonego,34.9%,50.0%,57.6%,41.7%,44.6%,63.1%,66.7%,55.7%,61.8%,45.2%,66.7%,21.1%,31.6%,46.7%,32
2023 Halle R32,W vsGasquet,34.4%,46.2%,50.8%,37.7%,46.9%,57.1%,57.7%,53.3%,50.0%,64.0%,50.0%,21.4%,35.7%,45.5%,-10
2023 s Hertogenbosch QF,L vsRuusuvuori,33.3%,38.6%,41.7%,38.1%,42.1%,50.0%,36.4%,49.2%,64.7%,47.6%,0.0%,17.6%,17.6%,50.0%,56
2023 s Hertogenbosch R16,W vsBublik,44.9%,55.1%,55.6%,50.2%,59.4%,71.9%,61.5%,67.5%,64.3%,44.4%,100.0%,17.6%,23.5%,50.0%,-79
2023 Roland Garros R64,L vsAltmaier,25.7%,35.3%,52.2%,31.7%,33.9%,46.8%,54.2%,44.2%,34.8%,49.2%,50.0%,14.7%,20.0%,50.0%,-21
2023 Roland Garros R128,W vsMuller,38.6%,48.6%,58.5%,45.4%,45.0%,60.0%,68.2%,57.0%,66.7%,63.6%,0.0%,32.1%,35.7%,47.4%,22
2023 Rome R16,L vsCerundolo,14.9%,23.0%,45.9%,21.1%,18.3%,28.3%,51.0%,27.3%,50.0%,70.0%,50.0%,7.4%,11.1%,36.0%,-79
2023 Rome R32,W vsShevchenko,11.1%,22.2%,63.4%,19.6%,16.3%,34.7%,63.4%,30.4%,43.5%,65.4%,100.0%,3.2%,3.2%,63.3%,-84
2023 Rome R64,W vsKokkinakis,27.5%,37.5%,86.2%,40.3%,25.9%,37.0%,90.0%,44.8%,35.7%,84.6%,-,30.8%,38.5%,77.8%,-79
2023 Monte Carlo SF,L vsRune,24.1%,26.7%,51.8%,27.6%,30.8%,33.8%,48.9%,36.9%,46.4%,54.1%,80.0%,17.4%,19.6%,55.3%,54
2023 Monte Carlo QF,W vsMusetti,29.1%,43.6%,56.4%,38.7%,29.0%,51.6%,68.2%,46.1%,36.4%,50.0%,60.0%,29.2%,33.3%,41.2%,-79
2023 Monte Carlo R16,W vsHurkacz,22.5%,31.5%,60.6%,28.5%,28.8%,40.4%,64.9%,39.2%,38.1%,35.5%,25.0%,14.7%,20.6%,55.2%,31
2023 Monte Carlo R32,W vsSchwartzman,32.0%,32.0%,80.0%,32.0%,41.7%,41.7%,71.4%,41.7%,50.0%,50.0%,-,27.3%,27.3%,87.5%,136
2023 Miami F,L vsMedvedev,27.0%,39.7%,34.8%,33.3%,40.0%,62.9%,47.6%,51.4%,37.5%,42.1%,0.0%,10.7%,10.7%,24.0%,-79
2023 Miami SF,W vsAlcaraz,35.6%,44.2%,46.0%,40.0%,42.4%,54.5%,44.7%,49.4%,42.4%,54.5%,66.7%,26.5%,29.4%,48.0%,80
2023 Miami QF,W vsRuusuvuori,31.0%,50.0%,74.1%,39.8%,50.0%,72.7%,90.9%,66.8%,44.4%,69.2%,0.0%,11.1%,27.8%,62.5%,-8
2023 Miami R16,W vsRublev,41.3%,54.3%,63.0%,44.6%,57.1%,67.9%,66.7%,62.5%,37.5%,55.0%,-,16.7%,33.3%,60.0%,-79
2023 Miami R32,W vsDimitrov,28.3%,37.7%,45.9%,32.3%,40.6%,50.0%,47.4%,47.2%,57.1%,50.0%,0.0%,10.0%,20.0%,44.4%,-13
2023 Miami R64,W vsDjere,40.0%,44.0%,46.2%,42.0%,55.2%,62.1%,53.8%,58.6%,33.3%,41.2%,100.0%,23.5%,23.5%,38.5%,91
2023 Indian Wells SF,L vsAlcaraz,26.4%,31.9%,53.1%,31.1%,33.3%,38.9%,66.7%,42.8%,47.1%,57.9%,75.0%,21.9%,28.1%,40.0%,89
2023 Indian Wells R32,W vsMannarino,34.4%,44.3%,77.8%,38.9%,48.5%,57.6%,64.7%,56.7%,60.0%,61.1%,-,20.8%,33.3%,89.5%,78
2023 Indian Wells R64,W vsGasquet,31.8%,43.9%,61.4%,37.4%,48.6%,62.9%,77.8%,59.1%,42.9%,71.4%,100.0%,13.3%,23.3%,50.0%,-30
2023 Rotterdam F,L vsMedvedev,14.6%,25.0%,48.1%,22.9%,21.8%,40.0%,51.2%,36.4%,43.3%,52.0%,40.0%,5.0%,5.0%,44.7%,-64
2023 Rotterdam SF,W vsGriekspoor,33.3%,41.3%,61.2%,38.9%,43.6%,59.0%,68.2%,54.4%,31.6%,55.0%,-,22.9%,22.9%,55.6%,-37
2023 Rotterdam QF,W vsWawrinka,17.3%,28.8%,60.5%,24.4%,20.0%,36.7%,66.7%,32.3%,42.9%,37.5%,0.0%,13.6%,18.2%,52.6%,-79
2023 Rotterdam R16,W vsTsitsipas,38.6%,40.9%,76.9%,41.1%,51.9%,55.6%,76.9%,55.9%,18.2%,68.8%,-,18.8%,18.8%,76.9%,10
2023 Montpellier F,W vsCressy,31.1%,44.3%,73.2%,40.0%,34.2%,50.0%,80.0%,48.4%,47.4%,47.4%,50.0%,27.3%,36.4%,62.5%,-13
2023 Montpellier SF,W vsFils,34.5%,43.6%,65.7%,39.1%,38.2%,52.9%,71.4%,45.6%,46.2%,57.1%,100.0%,30.0%,30.0%,57.1%,-7
2023 Australian Open R16,L vsTsitsipas,27.2%,34.6%,54.2%,31.8%,35.9%,45.7%,55.9%,42.7%,29.3%,62.7%,66.7%,9.8%,12.2%,51.4%,-18
