Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2022 Paris R32,L vsRune,43.3%,48.3%,33.3%,48.0%,56.7%,63.3%,38.5%,66.0%,33.3%,38.9%,0.0%,34.6%,38.5%,29.4%,123
2022 Paris R64,W vsMannarino,47.5%,53.8%,48.7%,50.8%,64.4%,73.3%,50.0%,70.2%,47.4%,42.3%,66.7%,28.1%,31.3%,47.8%,51
2022 Vienna QF,L vsCoric,45.8%,60.4%,56.9%,51.8%,56.5%,71.0%,55.6%,65.6%,70.8%,60.5%,0.0%,27.3%,42.4%,58.3%,-35
2022 Vienna R16,W vsRuusuvuori,46.7%,53.3%,52.1%,50.9%,62.1%,69.0%,45.5%,68.6%,44.4%,41.9%,33.3%,21.2%,27.3%,57.7%,-35
2022 Vienna R32,W vsTiafoe,52.0%,60.2%,40.9%,55.6%,65.1%,76.2%,54.5%,70.6%,53.3%,48.5%,50.0%,31.3%,34.4%,27.3%,51
2022 Antwerp QF,L vsThiem,35.4%,51.3%,57.1%,42.9%,51.5%,68.2%,59.4%,64.4%,37.9%,54.1%,0.0%,13.6%,29.5%,55.3%,-13
2022 Antwerp R16,W vsDraper,37.4%,51.5%,59.0%,47.1%,50.0%,67.1%,65.7%,63.7%,59.4%,34.2%,-,7.1%,14.3%,50.0%,-42
2022 Astana QF,L vsTsitsipas,34.1%,45.9%,43.6%,40.6%,53.8%,63.5%,54.2%,64.4%,52.4%,54.8%,60.0%,3.1%,18.8%,35.5%,-85
2022 Astana R16,W vsBublik,33.9%,52.5%,51.3%,43.6%,40.0%,62.5%,62.5%,54.3%,47.1%,52.2%,0.0%,21.1%,31.6%,33.3%,-79
2022 Astana R32,W vsCerundolo,41.4%,50.0%,61.8%,47.1%,46.7%,53.3%,62.5%,54.0%,50.0%,40.7%,0.0%,23.1%,38.5%,60.0%,-79
