Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
65,Joao Fonseca,1,100.0,84.2,81.3,15.8,0.0,0.0,71.1,85.2,81.8,81.8,100.0,49.0,54.8,13.7,3.9,45.7,56.3,44.4,28.6,14,1.56,4.7,14.0,1.33,4.0,-,0.0,0.0,0.0,0.0,0.0,64.0,-,100.0,70.6
67,Juncheng Shang,3,33.3,64.6,65.1,5.2,3.5,8.4,58.5,69.4,57.9,63.2,83.8,32.4,37.1,14.8,1.2,26.6,44.4,10.5,17.4,23,0.61,2.9,7.7,0.5,1.3,70.0,0.54,2.5,6.7,0.75,2.0,47.8,-,50.0,46.7
70,Learner Tien,1,100.0,70.1,71.2,7.5,4.5,11.5,61.2,75.6,61.5,69.6,84.6,38.4,42.4,9.6,0.0,30.9,61.1,30.8,44.4,9,0.69,1.8,9.0,0.8,4.0,50.0,0.31,0.8,4.0,0.4,2.0,53.6,-,60.0,57.7
72,Hamad Medjedovic,1,100.0,68.3,66.7,8.9,2.0,6.7,70.3,71.8,60.0,64.3,92.9,36.5,40.2,13.5,2.9,32.9,45.2,13.3,28.6,7,0.47,2.3,7.0,0.67,2.0,90.0,0.71,3.3,10.0,0.33,1.0,52.2,100.0,66.7,51.7
73,Bu Yunchaokete,2,0.0,65.7,64.8,7.9,2.9,6.2,53.6,70.7,60.0,63.9,90.5,28.4,32.8,13.5,0.0,26.1,34.1,0.0,0.0,7,0.32,1.8,3.5,0.0,0.0,81.8,0.52,2.8,5.5,0.5,1.0,46.1,0.0,0.0,44.2
74,Yoshihito Nishioka,1,100.0,64.4,63.6,2.2,0.0,0.0,66.7,68.3,56.7,56.7,85.7,37.1,38.9,13.5,5.6,25.5,52.6,26.7,50.0,8,0.53,2.7,8.0,1.33,4.0,66.7,0.43,2.0,6.0,0.67,2.0,50.8,-,66.7,55.2
75,Arthur Rinderknech,1,0.0,62.9,61.1,13.5,5.6,13.2,57.3,74.5,47.4,54.5,73.3,35.6,36.4,2.2,0.0,31.7,43.3,14.3,33.3,6,0.43,2.0,6.0,0.67,2.0,50.0,0.53,2.7,8.0,1.33,4.0,49.2,-,33.3,44.8
76,Alexander Bublik,4,50.0,61.5,60.7,13.3,7.2,19.4,63.1,71.4,44.6,55.4,80.0,30.7,31.4,9.2,3.2,24.2,43.1,16.7,50.0,18,0.33,1.8,4.5,0.9,2.3,65.6,0.58,3.2,8.0,1.1,2.8,47.5,33.3,40.0,48.6
77,Roman Safiullin,1,0.0,62.1,64.3,7.6,7.6,16.1,53.0,88.6,32.3,38.5,81.8,30.6,29.5,9.7,5.6,18.8,54.2,9.1,50.0,2,0.18,1.0,2.0,0.5,1.0,71.4,0.64,3.5,7.0,1.0,2.0,45.7,0.0,0.0,45.5
78,Hugo Gaston,2,50.0,66.7,65.8,6.9,2.3,6.1,62.1,72.2,57.6,61.3,84.6,38.0,37.3,2.5,2.5,37.5,38.7,26.7,80.0,5,0.33,1.3,2.5,1.0,2.0,75.0,0.62,2.0,4.0,0.5,1.0,53.0,-,50.0,53.6
79,Aleksandar Vukic,2,0.0,63.3,61.3,10.1,3.0,8.6,64.8,75.2,41.4,45.3,85.2,26.5,31.3,18.1,1.2,14.0,49.2,7.1,33.3,6,0.21,1.2,3.0,0.4,1.0,71.4,0.52,2.8,7.0,0.8,2.0,46.6,33.3,20.0,45.5
83,Corentin Moutet,2,0.0,58.9,58.2,2.6,0.7,2.4,72.8,66.4,39.0,40.0,69.2,32.7,32.4,3.4,2.0,32.0,34.0,19.2,55.6,9,0.35,1.8,4.5,1.0,2.5,52.9,0.65,3.4,8.5,1.6,4.0,46.0,0.0,20.0,44.2
84,Borna Coric,1,100.0,77.1,77.1,0.0,0.0,0.0,82.9,79.3,66.7,66.7,85.7,52.3,51.3,4.5,6.8,50.0,55.0,57.1,40.0,10,1.43,5.0,10.0,2.0,4.0,50.0,0.29,1.0,2.0,0.5,1.0,63.3,-,100.0,71.4
87,Jan Lennard Struff,2,50.0,69.2,71.3,9.6,6.7,13.7,51.0,88.7,49.0,56.8,94.1,38.9,41.9,14.8,5.6,28.6,53.3,27.8,45.5,11,0.61,2.8,5.5,1.25,2.5,75.0,0.24,1.0,2.0,0.25,0.5,53.8,0.0,50.0,60.0
91,Cameron Norrie,2,50.0,55.7,56.4,2.7,3.4,9.3,63.8,56.8,53.7,59.2,63.2,41.1,41.7,2.7,0.9,38.5,47.1,31.6,66.7,9,0.47,2.3,4.5,1.5,3.0,68.2,1.16,5.5,11.0,1.75,3.5,49.4,100.0,50.0,47.4
94,Reilly Opelka,1,0.0,43.8,33.3,16.7,2.1,4.5,54.2,50.0,36.4,38.1,28.6,26.8,27.5,2.4,0.0,14.8,50.0,0.0,0.0,3,0.43,1.5,3.0,0.0,0.0,44.4,1.29,4.5,9.0,2.5,5.0,36.0,-,0.0,14.3
98,Pablo Carreno Busta,1,0.0,55.0,60.0,0.0,8.3,22.7,63.3,63.2,40.9,52.9,62.5,39.1,40.9,4.3,0.0,29.0,60.0,28.6,100.0,2,0.29,1.0,2.0,1.0,2.0,57.1,0.88,3.5,7.0,1.5,3.0,48.1,0.0,0.0,46.7
99,Mariano Navone,3,66.7,60.5,60.3,1.8,0.9,3.5,74.1,65.6,45.6,47.3,72.7,43.3,42.8,3.3,3.3,38.0,52.9,33.3,32.4,34,1.03,4.9,11.3,1.57,3.7,57.1,0.64,3.0,7.0,1.29,3.0,51.4,100.0,71.4,53.0
