Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
62,Kei Nishikori,2,50.0,70.7,70.6,2.4,0.8,2.2,62.6,80.5,54.3,55.6,90.5,30.2,34.3,17.8,3.1,19.5,48.9,14.3,42.9,7,0.33,1.8,3.5,0.75,1.5,77.8,0.43,2.3,4.5,0.5,1.0,50.0,0.0,50.0,52.4
63,Francisco Comesana,1,0.0,63.2,63.3,3.2,1.9,5.3,63.2,68.4,54.4,57.4,85.0,28.4,28.7,2.8,0.7,28.1,28.9,0.0,0.0,4,0.19,1.0,4.0,0.0,0.0,81.3,0.8,4.0,16.0,0.75,3.0,46.6,50.0,25.0,41.5
64,Laslo Djere,5,20.0,61.1,60.5,5.0,2.3,6.3,63.9,69.0,47.2,50.3,74.6,34.2,34.9,6.5,2.3,26.8,48.6,16.4,31.4,35,0.52,2.7,7.0,0.85,2.2,50.0,0.51,2.6,6.8,1.31,3.4,47.8,50.0,30.8,45.5
67,Juncheng Shang,3,33.3,64.6,63.6,9.4,3.8,10.4,63.2,72.5,50.9,56.8,79.5,29.1,29.5,12.6,4.7,19.1,45.4,11.4,55.6,9,0.2,1.0,3.0,0.56,1.7,57.1,0.48,2.3,7.0,1.0,3.0,48.0,100.0,44.4,45.5
68,Mattia Bellucci,2,50.0,68.0,65.6,15.4,4.4,13.3,67.1,77.1,49.3,56.9,85.3,31.6,32.7,12.6,4.4,18.3,45.1,14.7,55.6,9,0.26,1.3,4.5,0.71,2.5,76.2,0.62,3.0,10.5,0.71,2.5,50.7,100.0,57.1,50.0
71,Daniel Altmaier,5,20.0,62.4,61.0,6.5,2.0,5.1,61.3,70.9,48.9,51.5,76.1,30.2,28.4,6.0,4.9,23.8,40.1,6.8,29.4,17,0.23,1.1,3.4,0.33,1.0,48.5,0.46,2.2,6.6,1.13,3.4,46.5,80.0,33.3,41.0
72,Hamad Medjedovic,4,50.0,71.1,69.1,14.4,3.5,12.2,71.1,75.7,59.8,68.1,91.5,30.5,33.3,15.2,3.3,22.5,44.1,6.3,16.7,18,0.38,2.0,4.5,0.33,0.8,69.2,0.28,1.4,3.3,0.44,1.0,50.2,50.0,44.4,48.4
73,Bu Yunchaokete,1,100.0,65.5,63.3,9.1,1.8,3.8,52.7,79.3,50.0,52.0,77.8,53.6,50.9,0.0,5.4,53.3,53.8,55.6,62.5,8,0.89,4.0,8.0,2.5,5.0,60.0,0.56,2.5,5.0,1.0,2.0,59.5,-,100.0,66.7
74,Yoshihito Nishioka,3,0.0,59.8,59.1,4.3,1.7,5.1,66.7,62.2,55.1,58.1,70.3,25.7,29.9,25.7,5.0,14.6,41.3,5.3,20.0,10,0.26,1.3,3.3,0.25,0.7,47.6,0.57,2.6,7.0,1.38,3.7,43.2,-,12.5,37.3
75,Arthur Rinderknech,7,42.9,68.4,64.3,16.1,2.6,7.4,64.4,75.4,55.6,60.0,85.9,30.3,31.3,10.6,3.4,20.8,44.9,12.7,39.4,33,0.32,1.7,4.7,0.65,1.9,63.2,0.38,1.9,5.4,0.7,2.0,49.1,50.0,45.0,48.8
76,Alexander Bublik,6,50.0,64.1,64.2,17.6,9.9,23.1,57.2,79.0,44.3,57.6,80.0,36.9,37.2,7.2,3.8,30.2,48.2,19.5,30.6,49,0.64,2.9,8.2,0.88,2.5,61.0,0.51,2.4,6.8,0.94,2.7,50.3,33.3,47.1,50.3
77,Roman Safiullin,7,28.6,61.1,60.8,7.1,4.2,10.5,60.4,69.6,48.0,53.7,72.8,37.5,37.3,6.4,4.1,30.3,48.5,22.8,34.4,61,0.66,3.2,8.7,1.11,3.0,45.7,0.5,2.4,6.6,1.32,3.6,49.0,50.0,36.8,47.8
78,Hugo Gaston,5,40.0,60.2,61.4,2.1,3.3,8.2,59.4,64.5,53.8,58.6,71.7,34.5,35.6,14.6,6.3,25.1,49.3,17.7,32.4,34,0.55,2.6,6.8,0.85,2.2,54.1,0.62,2.8,7.4,1.31,3.4,47.4,0.0,38.5,44.3
79,Aleksandar Vukic,3,33.3,64.2,61.4,12.7,3.4,8.6,60.3,78.0,43.2,47.3,73.5,35.1,35.1,10.0,5.4,25.0,49.5,16.7,23.1,26,0.72,3.3,8.7,0.75,2.0,57.1,0.62,2.6,7.0,1.13,3.0,48.5,0.0,37.5,44.3
80,Aleksandar Kovacevic,2,0.0,60.4,60.0,8.3,4.9,11.1,56.3,72.8,44.4,50.0,70.8,28.0,28.2,9.8,3.5,15.3,46.6,11.5,37.5,8,0.31,1.6,4.0,0.6,1.5,46.2,0.54,2.6,6.5,1.4,3.5,44.3,0.0,0.0,40.0
81,Christopher Oconnell,3,33.3,64.7,63.5,4.7,0.9,2.7,66.0,71.8,50.7,52.1,75.8,35.8,38.7,11.2,2.3,24.8,60.6,21.2,43.8,16,0.48,2.3,5.3,1.0,2.3,52.9,0.52,2.4,5.7,1.14,2.7,50.2,50.0,42.9,48.5
82,Rinky Hijikata,6,16.7,55.2,55.9,5.0,5.2,13.4,61.3,64.3,40.7,47.0,62.9,29.0,31.1,15.2,3.7,19.2,46.3,10.6,43.8,16,0.24,1.1,2.7,0.5,1.2,58.9,0.9,4.0,9.3,1.64,3.8,43.2,66.7,21.4,35.9
