Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2022 Paris R32,W vsCressy,27% (3/11),33% (1/3),0/0,0% (0/11),- (0/0),1/1,1/1,0/0,1/1,0/0
2022 Astana F,W vsTsitsipas,33% (3/9),67% (2/3),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2022 Astana R16,W vsVan De Zandschulp,50% (4/8),100% (4/4),0/0,25% (2/8),100% (2/2),3/3,1/1,0/0,0/0,0/0
2022 Tel Aviv F,W vsCilic,44% (4/9),50% (2/4),0/0,10% (1/10),100% (1/1),2/2,2/2,0/0,1/1,0/0
2022 Tel Aviv SF,W vsSafiullin,33% (3/9),100% (3/3),0/1,20% (2/10),50% (1/2),2/3,1/2,1/1,0/1,0/0
2022 Laver Cup RR,L vsAuger Aliassime,27% (3/11),67% (2/3),0/3,40% (4/10),25% (1/4),2/2,0/0,0/0,0/0,0/0
2022 Wimbledon F,W vsKyrgios,15% (3/20),67% (2/3),0/1,10% (2/21),50% (1/2),2/2,2/2,3/3,0/0,0/0
2022 Wimbledon SF,W vsNorrie,47% (8/17),63% (5/8),1/3,17% (3/18),0% (0/3),5/5,3/3,0/0,1/1,0/0
2022 Wimbledon QF,W vsSinner,41% (9/22),67% (6/9),0/4,26% (6/23),33% (2/6),6/6,3/3,0/0,1/1,0/0
2022 Wimbledon R16,W vsVan Rijthoven,63% (10/16),60% (6/10),0/1,18% (3/17),67% (2/3),5/5,2/2,1/1,1/1,0/0
2022 Wimbledon R32,W vsKecmanovic,75% (9/12),67% (6/9),0/1,15% (2/13),50% (1/2),4/5,2/3,0/0,1/2,0/0
2022 Wimbledon R64,W vsKokkinakis,50% (6/12),83% (5/6),0/0,8% (1/13),100% (1/1),5/5,3/3,0/0,1/1,0/0
2022 Wimbledon R128,W vsKwon,33% (6/18),67% (4/6),0/2,21% (4/19),50% (2/4),4/4,3/3,1/1,1/1,0/0
2022 Roland Garros QF,L vsNadal,32% (6/19),67% (4/6),1/7,42% (8/19),13% (1/8),3/3,0/1,2/2,0/0,0/0
2022 Rome F,W vsTsitsipas,44% (4/9),100% (4/4),0/1,22% (2/9),50% (1/2),4/4,1/1,3/3,0/0,0/0
2022 Rome SF,W vsRuud,40% (4/10),100% (4/4),0/1,11% (1/9),0% (0/1),3/3,1/2,0/0,0/0,0/0
2022 Rome QF,W vsAuger Aliassime,33% (4/12),75% (3/4),0/2,33% (4/12),50% (2/4),1/2,0/2,0/0,0/1,0/0
2022 Rome R16,W vsWawrinka,63% (5/8),100% (5/5),1/1,38% (3/8),67% (2/3),4/5,2/2,0/0,1/1,0/0
2022 Rome R32,W vsKaratsev,63% (5/8),80% (4/5),0/1,22% (2/9),50% (1/2),3/4,2/2,0/0,1/1,0/0
2022 Madrid SF,L vsAlcaraz,33% (6/18),17% (1/6),0/1,33% (6/18),67% (4/6),1/1,0/0,3/4,0/0,2/2
2022 Madrid QF,W vsHurkacz,44% (4/9),50% (2/4),0/0,0% (0/10),- (0/0),2/2,2/2,0/0,1/1,0/0
2022 Madrid R32,W vsMonfils,38% (3/8),100% (3/3),0/0,33% (3/9),100% (3/3),3/3,2/2,0/0,1/1,0/0
2022 Belgrade  F,L vsRublev,38% (5/13),20% (1/5),0/5,54% (7/13),14% (1/7),0/1,0/0,0/1,0/0,0/1
2022 Monte Carlo R32,L vsDavidovich Fokina,54% (7/13),57% (4/7),2/7,73% (11/15),18% (2/11),2/4,0/1,1/3,0/0,1/2
2021 Tour Finals SF,L vsZverev,19% (3/16),33% (1/3),0/1,13% (2/15),50% (1/2),1/1,1/1,1/1,0/0,1/1
2021 Tour Finals RR,W vsRublev,63% (5/8),80% (4/5),1/1,11% (1/9),0% (0/1),4/4,2/2,0/0,1/1,0/0
2021 Tour Finals RR,W vsRuud,40% (4/10),75% (3/4),0/1,10% (1/10),0% (0/1),3/3,1/1,0/0,1/1,0/0
2021 Paris F,W vsMedvedev,43% (6/14),83% (5/6),1/3,29% (4/14),25% (1/4),3/4,1/2,1/1,0/1,0/0
