Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2024 Tokyo R32,W vsGiron,25% (4/16),75% (3/4),0/1,13% (2/16),50% (1/2),1/2,1/1,0/0,1/1,0/0
2024 US Open R64,L vsThompson,25% (4/16),50% (2/4),1/5,40% (6/15),17% (1/6),1/2,0/1,0/0,0/0,0/0
2024 US Open R128,W vsSkatov,31% (5/16),60% (3/5),1/2,24% (4/17),50% (2/4),2/3,1/2,1/1,0/0,0/0
2024 Cincinnati R16,W vsCobolli,33% (4/12),75% (3/4),0/1,15% (2/13),50% (1/2),3/3,2/2,1/1,1/1,0/0
2024 Cincinnati R32,W vsNishioka,31% (4/13),50% (2/4),0/1,40% (6/15),67% (4/6),2/2,1/1,2/3,1/1,2/2
2024 Canada QF,L vsPopyrin,38% (6/16),50% (3/6),0/3,59% (10/17),70% (7/10),3/3,1/1,2/2,0/0,0/0
2024 Canada R16,W vsRinderknech,29% (4/14),75% (3/4),0/2,27% (4/15),50% (2/4),2/3,2/2,1/1,1/1,0/0
2024 Canada R32,W vsKokkinakis,13% (2/15),50% (1/2),0/1,31% (5/16),80% (4/5),1/1,1/1,2/2,0/0,2/2
2024 Wimbledon R128,W vsAlbot,20% (4/20),100% (4/4),0/2,14% (3/21),33% (1/3),2/3,2/2,0/0,1/1,0/0
2024 Halle F,L vsSinner,8% (1/12),0% (0/1),0/0,17% (2/12),100% (2/2),0/0,0/0,2/2,0/0,2/2
2024 Halle SF,W vsZverev,9% (1/11),100% (1/1),0/0,9% (1/11),100% (1/1),1/1,1/1,0/0,1/1,0/0
2024 Halle QF,W vsGiron,27% (3/11),67% (2/3),0/1,18% (2/11),50% (1/2),2/2,1/1,0/0,1/1,0/0
2024 Halle R16,W vsDuckworth,27% (3/11),33% (1/3),0/0,9% (1/11),100% (1/1),1/1,1/1,0/0,1/1,0/0
