Match,Result,BP Games,BP Conv/BPG,BreakBack%,BPF Games,Hold/BPFG,Consol%,SvForSet,SvStaySet,SvForMatch,SvStayMatch
2023 Wimbledon R128,W vsBrouwer,6% (1/17),100% (1/1),0/0,12% (2/17),100% (2/2),1/1,1/1,2/2,0/0,0/0
2023 Halle SF,L vsBublik,9% (1/11),0% (0/1),0/2,40% (4/10),50% (2/4),0/0,0/0,1/1,0/0,0/0
2023 Roland Garros SF,L vsRuud,23% (3/13),33% (1/3),1/6,58% (7/12),14% (1/7),0/1,0/0,2/2,0/0,0/0
2023 Roland Garros QF,W vsEtcheverry,42% (8/19),63% (5/8),1/3,32% (6/19),50% (3/6),4/5,3/3,0/0,1/1,0/0
2023 Roland Garros R16,W vsDimitrov,62% (8/13),88% (7/8),0/2,46% (6/13),67% (4/6),5/5,1/1,0/0,1/1,0/0
2023 Roland Garros R32,W vsTiafoe,42% (8/19),63% (5/8),2/4,24% (5/21),0% (0/5),5/5,1/1,4/5,0/0,0/0
2023 Geneva SF,L vsJarry,9% (1/11),0% (0/1),0/1,20% (2/10),50% (1/2),0/0,0/0,1/1,0/0,1/1
2023 Rome R16,L vsMedvedev,30% (3/10),33% (1/3),1/3,50% (5/10),40% (2/5),1/1,0/0,0/0,0/0,0/0
2023 Monte Carlo R16,L vsMedvedev,44% (7/16),86% (6/7),3/5,47% (8/17),25% (2/8),3/6,1/3,1/2,0/2,1/1
2023 Monte Carlo R32,W vsBautista Agut,40% (4/10),75% (3/4),1/1,10% (1/10),0% (0/1),2/3,2/2,0/0,1/1,0/0
2023 Indian Wells R16,L vsMedvedev,33% (6/18),33% (2/6),0/3,22% (4/18),25% (1/4),0/2,0/0,3/3,0/0,1/1
2023 Indian Wells R32,W vsRuusuvuori,38% (6/16),67% (4/6),1/4,33% (5/15),20% (1/5),3/3,1/1,2/2,0/0,0/0
2023 Dubai SF,L vsRublev,10% (1/10),100% (1/1),0/2,36% (4/11),25% (1/4),0/1,0/0,2/3,0/0,2/2
