Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2024 Canada Masters R16,W vsRune,37,24,1.5,28.0%,18.2%,29,22,1.3,25.2%,19.1%,9.6%,2.6%,1.0,22.0%,21.2%
2024 Canada Masters R32,W vsThompson,26,13,2.0,33.8%,16.9%,20,11,1.8,29.9%,16.4%,17.9%,4.5%,0.6,14.3%,24.7%
2024 Paris Olympics QF,L vsMusetti,15,27,0.6,10.9%,19.7%,12,23,0.5,9.5%,18.3%,4.0%,5.6%,2.3,18.2%,8.0%
2024 Paris Olympics R16,W vsPopyrin,16,8,2.0,12.8%,6.4%,8,7,1.1,7.6%,6.7%,1.9%,5.7%,0.7,11.2%,16.8%
2024 Hamburg F,L vsFils,53,44,1.2,20.5%,17.1%,45,42,1.1,18.4%,17.1%,4.1%,2.9%,1.0,25.2%,24.8%
2024 Hamburg SF,W vsMartinez,34,21,1.6,29.3%,18.1%,21,18,1.2,21.6%,18.6%,11.3%,8.2%,0.7,8.6%,12.1%
2024 Hamburg QF,W vsZhang,39,11,3.5,39.4%,11.1%,29,9,3.2,34.5%,10.7%,11.9%,6.0%,2.7,30.3%,11.1%
2024 Wimbledon R16,L vsFritz,55,33,1.7,18.5%,11.1%,36,30,1.2,13.8%,11.5%,6.5%,5.0%,3.0,23.2%,7.7%
2024 Wimbledon R32,W vsNorrie,52,28,1.9,24.4%,13.1%,37,26,1.4,20.0%,14.1%,14.6%,4.3%,1.2,13.6%,11.3%
2024 Wimbledon R64,W vsGiron,34,26,1.3,25.4%,19.4%,22,24,0.9,18.6%,20.3%,8.5%,10.2%,0.6,8.2%,12.7%
2024 Wimbledon R128,W vsCarballes Baena,46,27,1.7,28.0%,16.5%,28,25,1.1,20.9%,18.7%,11.2%,9.0%,0.8,10.4%,12.8%
2024 Halle SF,L vsHurkacz,19,11,1.7,14.3%,8.3%,14,11,1.3,12.8%,10.1%,8.3%,4.6%,1.6,21.8%,13.5%
2024 Halle QF,W vsFils,58,21,2.8,31.2%,11.3%,50,20,2.5,30.1%,12.0%,5.4%,2.4%,1.7,26.9%,16.1%
2024 Halle R16,W vsSonego,39,13,3.0,29.3%,9.8%,32,12,2.7,27.8%,10.4%,8.7%,8.7%,1.9,26.3%,13.5%
2024 Roland Garros F,L vsAlcaraz,53,50,1.1,18.2%,17.1%,45,44,1.0,16.7%,16.4%,5.2%,4.8%,1.2,24.3%,20.9%
2024 Roland Garros SF,W vsRuud,53,27,2.0,28.2%,14.4%,34,23,1.5,21.1%,14.3%,9.3%,11.8%,1.2,17.6%,14.9%
2024 Roland Garros R16,W vsRune,58,44,1.3,19.1%,14.5%,42,41,1.0,15.4%,15.1%,10.3%,5.1%,1.2,19.7%,16.4%
