Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2021 Miami Masters R128,L vsRuusuvuori,16,27,0.6,9.0%,15.3%,14,23,0.6,8.4%,13.9%,6.6%,1.2%,0.4,10.7%,24.3%
2021 Australian Open R64,L vsYmer,36,55,0.7,13.6%,20.8%,36,55,0.7,14.8%,22.6%,,,0.5,8.7%,15.8%
2021 Australian Open R128,W vsVan De Zandschulp,24,22,1.1,13.8%,12.6%,24,22,1.1,14.9%,13.7%,,,0.5,11.5%,21.8%
2020 Alicante CH F,W vsMartinez,25,30,0.8,18.7%,22.4%,25,27,0.9,19.4%,20.9%,10.1%,9.3%,0.3,6.0%,20.9%
2020 Barcelona CH F,W vsDzumhur,28,31,0.9,17.1%,18.9%,27,28,1.0,17.2%,17.8%,10.2%,7.0%,0.4,7.9%,22.0%
2020 Roland Garros Q1,L vsVukic,30,42,0.7,14.9%,20.8%,24,38,0.6,13.0%,20.5%,6.5%,6.5%,0.7,11.4%,15.3%
2020 Cordenons CH F,L vsZapata Miralles,27,35,0.8,16.9%,21.9%,26,33,0.8,16.8%,21.3%,14.8%,1.9%,0.6,8.8%,15.6%
2020 Trieste CH F,W vsBonadio,22,13,1.7,20.2%,11.9%,21,12,1.8,20.0%,11.4%,12.4%,6.7%,0.5,9.2%,19.3%
2020 Trieste CH SF,W vsMusetti,31,34,0.9,16.1%,17.7%,31,30,1.0,16.8%,16.2%,10.8%,5.9%,0.5,7.8%,16.7%
2020 ATP Rio de Janeiro R16,L vsCoria,36,32,1.1,18.8%,16.7%,32,28,1.1,17.6%,15.4%,12.1%,5.5%,1.6,7.3%,4.7%
2020 ATP Rio de Janeiro R32,W vsRamos,56,70,0.8,19.2%,24.1%,54,65,0.8,19.7%,23.7%,12.0%,7.7%,0.6,9.3%,15.8%
2019 Murcia CH R32,W vsMartinez,37,34,1.1,24.3%,22.4%,36,33,1.1,24.2%,22.1%,17.4%,6.7%,0.6,9.2%,15.1%
2019 Villena CH R64,W vsSinner,18,36,0.5,11.1%,22.2%,18,34,0.5,11.8%,22.2%,8.5%,3.3%,0.3,8.0%,29.6%
