Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
42,Alejandro Tabilo[CHI],5,80.0,65.7,10.6,2.2,6.0,63.5,75.1,49.3,52.4,88.1,37.2,7.2,3.9,29.3,50.4,24.1,42.4,33,0.57,2.8,6.6,1.17,2.8,66.7,0.36,1.8,4.2,0.58,1.4,51.6,100.0,75.0,56.4
43,Gael Monfils[FRA],2,100.0,64.4,15.1,6.8,16.9,59.6,79.3,42.4,51.0,79.2,44.9,2.2,2.9,40.5,51.9,39.1,64.3,14,0.61,2.8,7.0,1.8,4.5,58.3,0.5,2.4,6.0,1.0,2.5,54.9,-,80.0,59.6
44,Lorenzo Sonego[ITA],3,33.3,70.6,6.1,1.9,6.8,72.4,74.2,61.0,65.5,91.7,32.9,3.8,2.9,25.9,51.5,13.9,23.8,21,0.58,3.0,7.0,0.71,1.7,72.7,0.31,1.6,3.7,0.43,1.0,50.7,0.0,42.9,52.8
45,Marcos Giron[USA],6,66.7,69.3,7.4,0.6,1.8,66.1,78.4,51.8,52.7,88.9,39.2,9.4,2.8,28.4,56.9,25.9,38.9,36,0.67,3.0,6.0,1.17,2.3,76.0,0.46,2.1,4.2,0.5,1.0,53.7,0.0,66.7,57.4
46,Luciano Darderi[ITA],4,50.0,61.0,7.9,3.0,7.8,61.4,70.1,46.6,50.5,72.5,42.6,8.2,2.5,32.0,60.6,34.1,36.8,38,0.93,4.2,9.5,1.56,3.5,60.7,0.7,3.1,7.0,1.22,2.8,51.5,100.0,55.6,53.1
47,Miomir Kecmanovic[SRB],3,0.0,58.7,0.5,2.6,7.4,64.0,66.9,44.1,47.6,64.3,30.2,10.4,3.1,19.8,44.4,10.3,37.5,8,0.28,1.3,2.7,0.5,1.0,50.0,0.71,3.3,6.7,1.67,3.3,44.4,0.0,0.0,36.8
48,David Goffin[BEL],3,33.3,59.9,8.4,3.0,7.8,61.7,68.9,45.3,49.2,73.1,36.6,10.4,3.7,30.1,45.1,22.2,42.9,14,0.52,2.3,4.7,1.0,2.0,63.2,0.73,3.2,6.3,1.17,2.3,48.3,-,33.3,47.2
49,Pedro Martinez[ESP],6,50.0,60.1,1.9,3.5,11.9,70.2,64.2,50.6,57.4,75.6,40.1,6.1,3.8,32.8,51.0,23.4,43.9,41,0.53,2.6,6.8,1.13,3.0,63.5,0.67,3.3,8.7,1.19,3.2,50.4,50.0,50.0,49.7
50,Zizou Bergs[BEL],2,0.0,57.6,5.6,2.8,9.1,69.4,64.0,43.2,47.5,61.9,27.4,4.4,0.7,18.9,47.5,4.3,16.7,6,0.26,1.2,3.0,0.2,0.5,57.9,0.9,3.8,9.5,1.6,4.0,43.0,100.0,20.0,31.8
51,Tomas Martin Etcheverry[ARG],6,50.0,64.1,5.4,1.7,4.5,63.1,73.4,48.1,50.3,85.2,35.4,5.2,4.1,25.8,49.4,16.4,34.5,29,0.48,2.2,4.8,0.77,1.7,78.6,0.69,3.2,7.0,0.69,1.5,50.4,100.0,53.8,50.8
52,Quentin Halys[FRA],2,50.0,67.7,14.5,4.0,8.1,50.0,82.3,53.2,57.9,85.7,32.1,2.7,3.6,25.8,41.3,21.1,33.3,12,0.63,3.0,6.0,1.0,2.0,62.5,0.38,2.0,4.0,0.75,1.5,50.8,0.0,50.0,55.0
53,Nicolas Jarry[CHI],6,33.3,62.0,10.5,2.4,6.4,62.2,70.0,48.8,52.2,79.4,31.5,6.5,3.0,23.5,45.8,12.9,45.0,20,0.29,1.5,3.3,0.69,1.5,67.4,0.63,3.3,7.2,1.08,2.3,47.1,0.0,23.1,45.7
54,Gabriel Diallo[CAN],1,100.0,70.7,7.3,0.0,0.0,75.6,71.0,70.0,70.0,92.9,35.2,10.2,2.3,27.8,47.1,14.3,33.3,6,0.43,2.0,6.0,0.67,2.0,75.0,0.29,1.3,4.0,0.33,1.0,52.4,-,66.7,53.6
55,Zhizhen Zhang[CHN],6,33.3,66.8,9.8,2.3,6.1,61.8,74.8,53.8,57.3,80.3,29.7,15.5,2.3,21.7,49.5,9.5,46.2,13,0.21,1.0,2.2,0.46,1.0,40.0,0.33,1.5,3.3,0.92,2.0,48.0,-,30.8,44.4
56,Roberto Bautista Agut[ESP],3,33.3,60.8,1.9,3.4,9.7,64.6,67.1,49.5,54.8,78.9,35.1,21.2,4.2,25.3,52.7,15.0,30.0,20,0.5,2.5,6.7,0.75,2.0,60.0,0.53,2.5,6.7,1.0,2.7,48.1,100.0,37.5,46.2
58,Benjamin Bonzi[FRA],1,100.0,81.8,0.0,1.8,5.0,63.6,85.7,75.0,78.9,100.0,33.8,20.0,0.0,17.1,53.3,18.2,33.3,6,0.55,3.0,6.0,1.0,2.0,100.0,0.2,1.0,2.0,0.0,0.0,55.8,100.0,100.0,57.1
59,Roberto Carballes Baena[ESP],4,25.0,63.6,2.2,2.6,9.1,71.7,67.2,54.5,60.0,76.6,34.5,9.8,2.6,28.8,46.5,14.3,29.2,24,0.49,2.4,6.0,0.7,1.8,56.0,0.53,2.5,6.3,1.1,2.8,48.2,-,30.0,44.8
61,Fabian Marozsan[HUN],3,0.0,59.0,6.1,2.2,6.0,63.3,69.7,40.5,43.0,65.7,30.7,14.1,0.5,21.9,46.5,9.1,33.3,9,0.27,1.3,3.0,0.43,1.0,58.6,0.83,4.1,9.7,1.71,4.0,45.8,-,14.3,38.2
62,Kei Nishikori[JPN],2,0.0,60.5,0.6,0.6,2.0,69.5,63.8,52.9,54.0,69.2,36.6,6.7,3.0,27.6,50.0,16.0,28.6,14,0.56,2.8,7.0,0.8,2.0,55.6,0.69,3.6,9.0,1.6,4.0,48.6,-,20.0,43.1
64,Laslo Djere[SRB],1,100.0,73.6,22.6,1.9,5.9,67.9,80.6,58.8,62.5,100.0,39.7,3.4,0.0,32.6,66.7,33.3,42.9,7,0.78,3.5,7.0,1.5,3.0,100.0,0.11,0.5,1.0,0.0,0.0,55.9,-,100.0,66.7
65,Joao Fonseca[BRA],2,0.0,57.7,2.2,3.8,9.1,57.7,63.8,49.4,54.3,62.1,43.2,4.4,1.1,36.1,62.0,34.5,55.6,18,0.62,3.0,9.0,1.67,5.0,54.2,0.83,4.0,12.0,1.83,5.5,50.4,0.0,33.3,48.3
66,Jaume Munar[ESP],2,0.0,55.8,2.3,6.2,21.1,70.5,57.1,52.6,66.7,61.9,40.7,0.6,1.2,36.8,49.1,19.0,21.1,19,0.9,4.8,9.5,1.0,2.0,52.9,0.81,4.3,8.5,2.0,4.0,47.3,-,0.0,40.5
67,Juncheng Shang[CHN],4,75.0,72.6,7.4,2.0,5.6,63.5,75.5,67.6,71.6,97.7,29.4,21.2,3.4,13.3,54.9,11.4,20.0,25,0.57,3.1,6.3,0.63,1.3,92.9,0.32,1.8,3.5,0.13,0.3,51.1,50.0,75.0,54.5
68,Mattia Bellucci[ITA],1,0.0,64.7,7.1,2.4,5.3,55.3,66.0,63.2,66.7,78.6,33.7,21.4,1.0,26.6,47.1,14.3,22.2,9,0.64,3.0,9.0,0.67,2.0,57.1,0.5,2.3,7.0,1.0,3.0,48.1,0.0,33.3,46.4
70,Learner Tien[USA],1,0.0,53.7,7.4,0.0,0.0,72.2,53.8,53.3,53.3,55.6,35.8,3.0,0.0,36.2,35.0,11.1,20.0,5,0.56,2.5,5.0,0.5,1.0,55.6,1.0,4.5,9.0,2.0,4.0,43.8,-,0.0,33.3
71,Daniel Altmaier[GER],1,0.0,67.4,4.3,2.2,4.5,52.2,66.7,68.2,71.4,85.7,22.0,0.0,0.0,22.2,21.4,0.0,-,0,0.0,0.0,0.0,0.0,0.0,50.0,0.29,1.0,2.0,0.5,1.0,46.0,0.0,0.0,46.2
72,Hamad Medjedovic[SRB],1,100.0,77.3,11.4,2.3,6.7,65.9,79.3,73.3,78.6,88.9,46.6,1.7,6.9,38.2,58.3,44.4,40.0,10,1.11,5.0,10.0,2.0,4.0,75.0,0.44,2.0,4.0,0.5,1.0,59.8,-,100.0,66.7
73,Bu Yunchaokete[CHN],3,66.7,65.2,9.4,2.1,5.6,61.8,72.9,52.8,56.0,82.9,36.4,8.3,2.9,30.3,50.0,22.9,42.1,19,0.54,2.7,6.3,1.14,2.7,72.7,0.63,3.1,7.3,0.86,2.0,51.7,100.0,71.4,52.9
74,Yoshihito Nishioka[JPN],2,50.0,74.7,8.0,2.0,5.8,65.3,79.6,65.4,69.4,96.0,32.3,14.8,1.3,23.0,49.1,12.0,42.9,7,0.28,1.4,3.5,0.6,1.5,87.5,0.32,1.6,4.0,0.2,0.5,53.1,50.0,60.0,54.0
75,Arthur Rinderknech[FRA],2,50.0,68.6,21.8,0.6,1.9,66.0,76.7,52.8,53.8,87.5,26.8,11.3,2.8,21.4,34.5,12.0,42.9,7,0.28,1.4,3.5,0.6,1.5,76.9,0.54,2.6,6.5,0.6,1.5,48.7,50.0,40.0,49.0
76,Alexander Bublik[KAZ],7,57.1,62.9,14.9,7.5,19.6,61.6,77.0,40.2,50.0,79.1,38.5,4.2,2.1,34.7,44.5,23.8,39.2,51,0.61,2.8,7.3,1.11,2.9,61.7,0.55,2.6,6.7,1.0,2.6,50.7,25.0,50.0,51.8
77,Roman Safiullin[RUS],1,100.0,68.5,12.3,4.1,10.0,58.9,83.7,46.7,51.9,90.0,37.7,4.3,2.9,27.0,50.0,30.0,37.5,8,0.8,4.0,8.0,1.5,3.0,66.7,0.3,1.5,3.0,0.5,1.0,53.5,100.0,100.0,60.0
78,Hugo Gaston[FRA],3,66.7,60.6,3.6,1.5,3.6,58.2,66.7,52.1,54.1,78.7,36.9,7.4,5.1,29.4,50.9,20.8,40.0,25,0.52,2.8,8.3,1.11,3.3,67.7,0.66,3.4,10.3,1.11,3.3,49.1,100.0,55.6,49.5
