Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
67,Juncheng Shang[CHN],10,40.0,59.4,3.3,2.5,6.6,62.0,65.5,49.5,53.0,71.4,37.3,6.5,2.3,29.9,48.6,19.1,28.2,78,0.68,3.4,7.8,0.96,2.2,50.0,0.57,2.8,6.4,1.39,3.2,48.0,57.1,39.1,44.9
68,Mattia Bellucci[ITA],2,50.0,61.5,7.7,2.3,6.1,62.3,67.9,51.0,54.3,78.9,33.3,10.8,2.0,27.5,45.5,16.7,33.3,9,0.5,2.3,4.5,0.75,1.5,66.7,0.63,3.0,6.0,1.0,2.0,49.1,-,50.0,48.6
69,Damir Dzumhur[BIH],1,0.0,56.5,0.0,3.2,8.0,59.7,64.9,44.0,47.8,60.0,34.9,6.3,3.2,32.6,41.2,11.1,12.5,8,0.89,4.0,8.0,0.5,1.0,42.9,0.7,3.5,7.0,2.0,4.0,45.6,-,0.0,36.8
71,Daniel Altmaier[GER],8,37.5,57.7,6.2,3.1,10.7,70.8,63.6,43.3,48.5,71.8,38.6,4.2,4.4,29.2,52.8,27.3,38.9,54,0.7,3.4,6.8,1.31,2.6,52.2,0.59,2.9,5.8,1.38,2.8,48.3,0.0,37.5,49.7
72,Hamad Medjedovic[SRB],5,60.0,67.3,12.1,3.8,10.3,63.2,73.3,56.8,63.4,85.7,36.4,7.2,4.0,28.6,47.9,21.0,38.2,34,0.55,2.8,6.8,1.08,2.6,70.0,0.48,2.5,6.0,0.75,1.8,51.7,50.0,58.3,53.6
73,Bu Yunchaokete[CHN],1,0.0,64.0,4.0,6.0,11.5,48.0,75.0,53.8,60.9,77.8,22.6,11.3,3.8,17.6,31.6,0.0,0.0,2,0.2,1.0,2.0,0.0,0.0,60.0,0.56,2.5,5.0,1.0,2.0,42.7,-,0.0,36.8
74,Yoshihito Nishioka[JPN],7,28.6,63.3,3.4,0.8,2.2,63.7,64.4,61.3,62.7,81.8,31.1,13.0,2.3,22.0,43.7,14.8,32.4,37,0.46,2.2,5.3,0.71,1.7,58.8,0.44,2.0,4.9,0.82,2.0,47.5,50.0,47.1,47.5
75,Arthur Rinderknech[FRA],10,50.0,67.5,9.1,2.9,7.5,61.0,75.7,54.8,59.2,84.1,32.2,6.7,2.3,24.8,42.3,14.1,29.5,61,0.48,2.4,6.1,0.72,1.8,56.5,0.37,1.8,4.6,0.8,2.0,49.6,57.1,52.0,48.8
76,Alexander Bublik[KAZ],12,33.3,58.4,9.7,9.5,23.5,59.6,72.5,37.6,49.2,67.8,34.8,5.9,3.3,30.3,42.0,18.2,44.0,50,0.41,1.9,4.2,0.85,1.8,58.5,0.78,3.6,7.8,1.5,3.3,47.4,33.3,30.8,43.0
77,Roman Safiullin[RUS],13,46.2,61.2,7.5,4.7,11.9,60.6,71.3,45.6,51.8,73.6,37.0,6.8,3.5,28.6,51.6,21.7,41.7,72,0.52,2.5,5.5,1.03,2.3,61.9,0.69,3.3,7.5,1.28,2.8,49.2,66.7,44.8,47.8
78,Hugo Gaston[FRA],1,0.0,51.7,0.0,6.7,15.4,56.7,61.8,38.5,45.5,44.4,41.3,1.3,5.0,36.2,54.5,22.2,16.7,12,1.33,6.0,12.0,1.0,2.0,54.5,1.22,5.5,11.0,2.5,5.0,45.7,-,0.0,33.3
79,Aleksandar Vukic[AUS],10,40.0,60.9,8.2,2.6,6.3,59.0,70.4,47.3,50.5,75.0,34.0,8.2,3.0,27.7,45.9,14.8,34.7,49,0.43,2.0,4.9,0.71,1.7,59.7,0.62,3.0,7.2,1.21,2.9,48.1,80.0,45.8,45.0
80,Aleksandar Kovacevic[USA],5,0.0,61.8,9.4,6.1,13.9,55.9,72.2,48.5,56.3,72.9,31.8,11.3,4.5,26.6,39.0,8.2,22.7,22,0.36,1.8,4.4,0.42,1.0,62.8,0.73,3.6,8.6,1.33,3.2,46.6,50.0,16.7,40.0
81,Christopher Oconnell[AUS],11,36.4,63.9,11.3,2.5,6.3,59.9,72.6,50.9,54.3,79.5,33.7,9.4,3.5,25.9,45.6,15.0,31.6,57,0.48,2.4,5.2,0.75,1.6,67.1,0.62,3.0,6.6,1.0,2.2,49.0,57.1,41.7,46.8
82,Rinky Hijikata[AUS],5,20.0,55.6,2.9,6.0,13.4,54.9,64.2,45.1,52.0,60.9,36.2,6.9,3.1,30.4,47.9,20.8,43.5,23,0.48,2.3,4.6,1.0,2.0,56.1,0.89,4.1,8.2,1.8,3.6,46.3,0.0,20.0,40.4
83,Corentin Moutet[FRA],7,14.3,59.8,1.2,2.0,5.5,64.4,65.7,48.9,51.8,72.2,34.0,4.0,3.4,29.8,42.9,16.8,32.0,50,0.53,2.6,7.1,0.84,2.3,63.2,0.76,3.6,9.7,1.32,3.6,47.3,60.0,31.6,43.8
84,Borna Coric[CRO],9,44.4,61.3,7.5,3.2,7.9,59.5,72.0,45.7,49.6,76.3,36.5,7.1,5.3,24.3,52.2,22.4,50.0,44,0.45,2.1,4.9,1.05,2.4,64.6,0.67,3.1,7.2,1.1,2.6,49.2,25.0,42.9,49.2
85,Botic Van De Zandschulp[NED],9,44.4,62.7,6.8,4.1,11.1,62.8,71.6,47.6,53.6,79.2,35.7,5.2,3.9,28.9,47.1,17.5,36.7,49,0.48,2.5,5.4,0.9,2.0,63.8,0.57,2.9,6.4,1.05,2.3,49.0,50.0,45.0,48.0
