Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
82,Rinky Hijikata[AUS],6,16.7,56.1,2.2,3.5,9.0,61.1,62.5,46.1,50.6,63.6,30.3,8.8,3.0,22.3,43.6,14.5,50.0,20,0.29,1.4,3.3,0.71,1.7,60.0,0.91,4.3,10.0,1.71,4.0,44.1,66.7,21.4,38.5
83,Corentin Moutet[FRA],19,52.6,61.0,2.0,1.5,4.7,68.4,66.0,50.2,52.6,73.4,39.9,3.3,2.8,36.3,47.9,28.1,41.5,176,0.68,3.1,9.3,1.3,3.8,60.1,0.67,3.1,9.1,1.23,3.6,50.3,50.0,51.8,50.7
84,Borna Coric[CRO],7,28.6,60.4,5.3,3.2,8.2,60.4,70.3,45.2,49.2,75.6,34.1,6.5,4.6,23.9,49.5,16.7,40.6,32,0.41,2.0,4.6,0.81,1.9,65.5,0.71,3.4,7.9,1.19,2.7,47.5,0.0,25.0,46.2
85,Botic Van De Zandschulp[NED],11,45.5,57.9,4.3,4.7,11.8,60.2,66.7,44.5,50.5,68.8,40.5,4.1,3.5,33.5,51.0,24.6,36.0,86,0.68,3.2,7.8,1.15,2.8,58.9,0.76,3.5,8.6,1.44,3.5,49.1,25.0,40.7,46.6
87,Jan Lennard Struff[GER],20,75.0,66.3,8.9,5.1,11.6,56.3,76.5,53.0,60.0,84.3,41.1,5.5,3.8,34.8,51.5,26.4,34.8,178,0.76,3.7,8.9,1.29,3.1,61.1,0.4,2.0,4.8,0.77,1.9,53.1,81.8,72.9,55.3
88,Adam Walton[AUS],1,0.0,56.5,0.9,0.9,2.3,60.2,63.1,46.5,47.6,66.7,31.9,10.6,3.2,19.7,54.5,6.7,25.0,4,0.27,1.3,4.0,0.33,1.0,72.2,1.2,6.0,18.0,1.67,5.0,45.0,-,0.0,36.7
90,James Duckworth[AUS],2,50.0,64.4,10.7,2.8,7.0,59.9,74.5,49.3,53.0,84.0,32.9,13.2,3.3,24.5,46.6,16.0,36.4,11,0.44,2.2,5.5,0.8,2.0,76.5,0.68,3.4,8.5,0.8,2.0,49.8,100.0,60.0,50.0
91,Cameron Norrie[GBR],16,50.0,61.5,3.9,3.2,8.2,61.0,71.1,46.3,50.5,76.2,38.7,6.1,1.9,32.1,50.9,26.1,44.3,106,0.59,2.8,6.6,1.24,2.9,64.8,0.67,3.2,7.6,1.13,2.7,50.2,25.0,47.4,51.2
92,Vit Kopriva[CZE],3,0.0,55.3,3.0,5.1,13.5,62.4,65.0,39.2,45.3,59.4,35.3,5.8,2.4,23.9,56.2,20.0,50.0,14,0.4,2.0,4.7,1.0,2.3,38.1,0.66,3.0,7.0,1.86,4.3,45.0,0.0,14.3,38.8
93,Jesper De Jong[NED],3,33.3,56.6,4.2,4.2,8.8,52.1,65.3,47.2,51.7,62.7,38.2,4.2,3.9,31.7,48.0,27.5,63.6,22,0.43,2.0,7.3,1.27,4.7,44.1,0.67,3.1,11.3,1.73,6.3,47.7,0.0,36.4,45.1
95,Luca Nardi[ITA],5,20.0,59.1,2.0,4.6,11.9,61.2,66.4,47.8,54.2,70.2,33.6,4.3,3.8,25.9,48.1,13.6,32.0,25,0.42,2.1,5.0,0.67,1.6,45.2,0.54,2.6,6.2,1.42,3.4,45.9,50.0,25.0,41.4
