Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
44,Lorenzo Sonego,10,40.0,64.7,64.1,6.8,2.9,8.4,65.2,73.2,48.6,53.1,80.9,6.2,35.5,34.4,3.2,3.2,27.9,48.3,6.2,44.0,111.5,43.5,46,0.4,1.9,4.6,0.83,2.0,63.3,0.52,2.5,6.0,0.92,2.2,50.1,33.3,45.8
45,Marcos Giron,11,54.5,65.6,64.3,7.8,2.2,5.5,59.9,71.9,56.2,59.5,83.0,6.1,37.0,38.1,9.3,3.9,28.0,51.3,6.4,51.0,111.1,37.2,78,0.54,2.5,7.1,0.94,2.6,60.0,0.43,1.9,5.5,0.77,2.2,50.8,75.0,58.1
46,Luciano Darderi,9,66.7,62.4,60.8,8.4,2.9,7.0,59.0,70.1,51.2,55.0,79.8,7.1,36.9,37.6,9.7,4.8,27.7,51.6,6.7,126.0,97.8,37.0,54,0.5,2.5,6.0,0.91,2.2,66.7,0.61,3.1,7.7,1.05,2.6,50.3,75.0,59.1
47,Miomir Kecmanovic,9,33.3,63.6,63.9,5.9,3.7,10.0,62.6,69.9,53.2,59.1,77.9,6.1,36.8,37.6,7.0,2.9,28.7,49.5,6.5,62.0,80.4,40.9,66,0.5,2.4,7.3,1.0,3.0,51.6,0.46,2.3,6.9,1.11,3.3,49.9,16.7,44.4
48,David Goffin,5,80.0,62.4,62.8,6.9,4.8,12.0,60.2,72.1,47.6,54.0,78.6,6.7,40.2,40.7,6.8,3.9,31.5,50.4,6.9,21.0,47.8,32.9,73,0.88,4.3,14.6,1.41,4.8,68.4,0.68,3.4,11.4,1.06,3.6,51.2,75.0,64.7
49,Pedro Martinez,2,50.0,61.1,63.5,1.8,4.9,14.9,67.3,68.4,45.9,54.0,78.1,7.1,40.3,40.6,5.3,3.1,33.1,52.4,7.5,64.5,64.5,28.6,21,0.7,3.5,10.5,1.0,3.0,70.8,0.75,4.0,12.0,1.17,3.5,50.7,66.7,50.0
50,Zizou Bergs,9,44.4,66.0,65.9,8.3,4.2,11.7,63.9,71.5,56.2,63.6,81.1,6.2,37.1,37.1,4.2,2.5,29.2,51.0,6.2,67.0,87.2,42.6,68,0.51,2.5,7.6,1.07,3.2,65.2,0.54,2.6,7.7,0.89,2.7,51.2,66.7,55.6
51,Tomas Martin Etcheverry,7,28.6,65.7,64.4,8.7,2.8,8.5,66.9,73.9,49.3,53.8,85.4,6.8,31.9,31.6,8.9,4.6,24.2,47.8,6.3,31.0,55.3,38.5,26,0.29,1.5,3.7,0.59,1.4,72.9,0.54,2.8,6.9,0.76,1.9,49.3,57.1,41.2
53,Nicolas Jarry,5,20.0,60.7,59.1,8.2,3.0,8.5,65.2,67.9,47.1,51.4,71.6,6.6,30.6,31.2,8.9,3.1,23.9,43.5,6.5,87.0,93.8,23.1,26,0.38,1.9,5.2,0.43,1.2,57.8,0.67,3.2,9.0,1.36,3.8,45.5,50.0,21.4
54,Gabriel Diallo,1,100.0,70.7,68.4,7.3,0.0,0.0,75.6,71.0,70.0,70.0,92.9,5.9,35.2,37.7,10.2,2.3,27.8,47.1,6.3,23.0,23.0,33.3,6,0.43,2.0,6.0,0.67,2.0,75.0,0.29,1.3,4.0,0.33,1.0,52.4,-,66.7
