Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
41,Jordan Thompson,5,60.0,63.4,61.0,9.8,2.3,5.9,60.7,71.0,51.7,54.9,78.0,6.4,37.0,36.9,5.7,3.5,32.2,44.4,6.5,101.0,93.6,30.9,55,0.65,3.1,11.0,0.94,3.4,68.4,0.7,3.2,11.4,1.0,3.6,49.9,100.0,50.0
42,Alejandro Tabilo,7,42.9,62.9,61.0,10.9,3.8,10.3,62.8,75.0,42.6,47.4,76.3,6.4,37.4,38.6,11.6,5.2,29.7,50.4,6.4,78.0,80.9,39.7,63,0.54,2.6,9.0,1.04,3.6,59.4,0.58,2.9,9.9,1.17,4.0,50.3,25.0,45.8
43,Gael Monfils,9,77.8,67.4,65.7,12.1,3.7,9.0,58.4,75.8,55.7,61.2,87.4,6.1,39.5,38.9,2.8,2.8,34.8,47.7,6.6,60.0,84.8,39.7,78,0.66,3.1,8.7,1.24,3.4,61.5,0.33,1.6,4.3,0.6,1.7,53.0,50.0,72.0
44,Lorenzo Sonego,9,55.6,68.9,67.3,10.5,2.7,8.1,66.7,77.3,52.0,56.6,86.7,6.1,35.4,34.5,3.2,3.1,29.2,45.8,6.5,43.0,52.4,32.3,65,0.48,2.4,7.2,0.78,2.3,65.4,0.39,1.9,5.8,0.67,2.0,51.6,71.4,59.3
45,Marcos Giron,9,33.3,61.3,60.2,5.5,1.9,4.6,59.4,69.3,49.6,52.0,76.2,6.4,37.7,38.4,8.4,4.1,29.4,48.7,6.5,80.0,137.8,34.8,89,0.6,3.0,9.9,1.03,3.4,55.8,0.54,2.6,8.6,1.13,3.8,49.2,25.0,43.3
46,Luciano Darderi,7,57.1,63.0,62.9,7.4,4.2,10.0,57.5,71.4,51.7,57.4,78.6,6.7,39.1,38.2,5.1,4.7,31.1,52.7,7.0,81.0,92.6,32.9,76,0.66,3.3,10.9,1.09,3.6,63.2,0.58,3.0,9.7,1.09,3.6,50.9,71.4,56.5
47,Miomir Kecmanovic,9,77.8,66.5,66.6,5.7,3.0,8.3,63.1,71.2,58.4,63.7,83.9,6.0,39.9,40.8,7.0,3.2,30.9,55.0,6.3,73.0,76.9,46.9,81,0.61,2.9,9.0,1.36,4.2,63.9,0.45,2.2,6.8,0.79,2.4,53.1,25.0,67.9
48,David Goffin,6,50.0,61.9,61.6,8.1,4.4,10.4,57.7,71.0,49.6,55.4,76.0,6.6,39.4,41.2,8.2,2.7,32.1,50.8,6.4,50.0,47.0,41.8,67,0.64,3.2,11.2,1.33,4.7,60.7,0.61,2.9,10.2,1.14,4.0,50.6,33.3,52.4
49,Pedro Martinez,5,40.0,62.2,64.7,3.4,5.7,18.5,69.1,67.8,49.7,61.0,77.3,6.3,36.1,37.2,7.5,2.8,29.8,46.2,6.2,65.0,86.8,42.9,42,0.43,2.1,8.4,0.9,3.6,50.0,0.45,2.2,8.8,1.1,4.4,49.1,50.0,45.0
50,Zizou Bergs,7,42.9,62.3,61.3,8.3,3.5,9.2,62.5,69.8,50.0,55.1,75.0,6.5,38.5,38.6,6.5,3.9,30.0,51.6,6.9,60.0,90.6,35.7,70,0.56,2.7,10.0,0.96,3.6,61.7,0.65,3.1,11.6,1.19,4.4,50.0,83.3,50.0
