Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
40,Nuno Borges,17,64.7,61.5,61.9,3.9,2.9,8.2,64.5,67.4,50.9,55.5,74.1,6.7,40.0,39.7,4.1,3.3,32.9,52.3,6.9,92.0,114.8,43.8,112,0.56,2.7,6.6,1.2,2.9,59.1,0.63,3.1,7.5,1.27,3.1,50.6,70.0,56.1
41,Jordan Thompson,8,37.5,58.9,58.0,4.4,1.7,4.4,61.1,64.3,50.4,52.7,71.9,7.3,33.5,33.0,3.7,2.6,28.6,43.5,6.3,85.5,96.9,26.5,49,0.5,2.5,6.1,0.65,1.6,71.3,0.98,4.7,11.8,1.35,3.4,47.0,66.7,35.0
42,Alejandro Tabilo,21,52.4,63.9,62.8,7.1,2.4,6.8,64.9,72.3,48.4,51.9,81.5,6.4,37.0,38.4,9.4,3.7,29.3,51.9,6.5,62.0,70.5,39.4,137,0.56,2.7,6.5,1.06,2.6,62.9,0.5,2.4,5.9,0.9,2.2,50.5,50.0,54.9
43,Gael Monfils,9,33.3,58.7,58.0,6.4,3.6,9.5,62.2,65.2,47.8,52.8,69.7,6.1,34.9,34.5,4.0,2.7,29.5,43.0,6.0,60.0,69.0,45.3,53,0.47,2.3,5.9,1.04,2.7,49.2,0.6,2.8,7.2,1.43,3.7,46.8,0.0,34.8
44,Lorenzo Sonego,14,42.9,66.1,66.2,5.3,2.8,8.2,65.9,72.3,54.2,59.0,83.1,6.3,32.9,33.0,5.0,2.3,26.1,45.2,6.3,79.5,109.6,34.6,81,0.44,2.2,5.8,0.76,2.0,62.0,0.45,2.1,5.6,0.81,2.1,49.2,33.3,45.9
45,Marcos Giron,10,30.0,60.3,58.9,5.7,1.5,3.7,58.7,68.3,49.0,50.9,74.8,6.7,36.2,35.6,5.9,4.2,29.4,45.7,6.4,71.5,72.5,35.1,77,0.61,3.0,7.7,1.04,2.7,60.5,0.64,3.1,8.1,1.23,3.2,48.5,0.0,38.5
46,Luciano Darderi,31,64.5,63.1,62.2,6.2,2.3,5.7,58.9,69.6,53.8,57.0,78.6,6.5,40.1,40.7,6.6,3.5,32.0,53.3,6.6,51.5,70.2,44.5,211,0.62,2.9,6.8,1.27,3.0,61.9,0.56,2.7,6.4,1.01,2.4,51.7,60.0,56.8
47,Miomir Kecmanovic,13,46.2,61.7,60.7,5.6,2.0,5.7,64.3,68.9,48.6,51.5,74.5,6.1,37.2,37.9,6.8,3.0,30.1,50.8,6.2,72.0,62.8,39.1,87,0.6,2.7,6.7,1.06,2.6,55.4,0.57,2.6,6.4,1.16,2.8,49.4,0.0,46.9
48,David Goffin,6,33.3,63.1,63.6,5.3,3.9,8.4,54.2,74.5,49.6,54.1,76.9,6.3,35.4,37.3,9.1,2.4,28.6,47.3,6.2,73.5,84.7,34.2,38,0.46,2.2,6.3,0.76,2.2,47.1,0.44,2.0,5.7,1.06,3.0,49.0,0.0,35.3
49,Pedro Martinez,23,60.9,60.8,62.8,1.7,4.1,14.0,70.8,66.2,47.8,55.6,75.2,6.6,39.7,40.8,7.6,3.4,32.2,52.0,6.6,58.0,86.7,38.7,194,0.66,3.2,8.4,1.23,3.3,60.8,0.63,3.1,8.2,1.21,3.2,50.3,66.7,54.1
