Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
31,Hubert Hurkacz[POL],11,8-3,72.7%,69.7%,65.8%,142,15.6%,20,2.2%,6.0%,63.6%,79.8%,52.0%,55.3%,88.7%,6.1,1.8,Hubert Hurkacz[POL],11,37.4%,38.6%,5.7%,1.8%,33.4%,44.7%,19.3%,6.7,2.5,39.0,91.0,Hubert Hurkacz[POL],11,37.5%,27,72,0.51,2.4,6.5,0.90,2.5,73.8%,48,65,0.43,2.2,5.9,0.57,1.5,Hubert Hurkacz[POL],11,1.23,1850,53.3%,6,5-1,83.3%,20.0%,30,20-10,66.7%,290,160-130,55.2%,1:45,38.5,37.5
32,Alex Michelsen[USA],5,3-2,60.0%,65.2%,63.8%,26,8.4%,8,2.6%,8.1%,68.1%,70.1%,54.5%,59.3%,81.6%,6.3,2.2,Alex Michelsen[USA],5,33.7%,35.3%,11.0%,3.5%,28.0%,43.0%,17.0%,6.0,2.0,50.0,67.8,Alex Michelsen[USA],5,38.1%,8,21,0.45,1.8,4.2,0.67,1.6,69.0%,20,29,0.59,2.4,5.8,0.75,1.8,Alex Michelsen[USA],5,0.97,592,50.2%,2,2-0,100.0%,16.7%,12,7-5,58.3%,96,48-48,50.0%,1:23,34.7,42.2
33,Sebastian Baez[ARG],10,7-3,70.0%,64.1%,64.7%,29,4.3%,22,3.2%,10.3%,68.5%,70.2%,50.9%,56.8%,80.0%,6.5,2.3,Sebastian Baez[ARG],10,41.3%,41.4%,5.0%,3.4%,35.0%,50.9%,29.2%,6.4,2.6,69.5,81.1,Sebastian Baez[ARG],10,41.9%,31,74,0.70,3.2,7.4,1.35,3.1,61.1%,33,54,0.51,2.3,5.4,0.91,2.1,Sebastian Baez[ARG],10,1.15,1356,52.7%,2,1-1,50.0%,8.7%,23,15-8,65.2%,211,115-96,54.5%,1:34,40.7,41.4
34,Flavio Cobolli[ITA],11,7-4,63.6%,65.0%,65.0%,77,8.5%,41,4.5%,10.4%,56.7%,76.3%,50.4%,56.3%,80.0%,6.0,2.1,Flavio Cobolli[ITA],11,35.7%,35.6%,6.4%,3.8%,26.0%,52.9%,20.4%,6.1,2.2,71.0,145.7,Flavio Cobolli[ITA],11,44.8%,30,67,0.46,2.2,6.1,0.97,2.7,60.0%,45,75,0.50,2.4,6.8,0.97,2.7,Flavio Cobolli[ITA],11,1.02,1809,50.4%,4,2-2,50.0%,12.9%,31,17-14,54.8%,297,150-147,50.5%,1:55,40.6,41.8
35,Tallon Griekspoor[NED],7,6-1,85.7%,71.1%,70.9%,52,9.8%,20,3.8%,11.8%,68.1%,79.6%,52.9%,60.0%,88.6%,6.1,1.8,Tallon Griekspoor[NED],7,33.6%,35.2%,10.6%,3.4%,27.5%,43.6%,17.4%,6.2,2.1,123.0,142.4,Tallon Griekspoor[NED],7,50.0%,15,30,0.35,1.8,4.3,0.88,2.1,61.5%,16,26,0.30,1.5,3.7,0.59,1.4,Tallon Griekspoor[NED],7,1.16,1062,52.4%,7,5-2,71.4%,41.2%,17,12-5,70.6%,174,93-81,53.4%,1:46,43.8,42.0
36,Giovanni Mpetshi Perricard[FRA],5,5-0,100.0%,75.0%,71.6%,105,26.8%,23,5.9%,17.0%,65.6%,82.5%,60.7%,73.2%,95.5%,5.9,1.5,Giovanni Mpetshi Perricard[FRA],5,34.8%,35.0%,7.2%,3.5%,28.0%,47.8%,19.0%,6.3,2.2,81.0,66.3,Giovanni Mpetshi Perricard[FRA],5,46.2%,12,26,0.41,2.0,5.2,0.92,2.4,80.0%,12,15,0.22,1.2,3.0,0.23,0.6,Giovanni Mpetshi Perricard[FRA],5,1.39,792,54.7%,4,3-1,75.0%,30.8%,13,11-2,84.6%,130,76-54,58.5%,1:34,36.3,35.8
37,Matteo Arnaldi[ITA],6,4-2,66.7%,63.3%,62.0%,55,9.3%,21,3.5%,8.4%,57.9%,71.1%,52.6%,57.5%,84.7%,7.0,2.6,Matteo Arnaldi[ITA],6,31.3%,32.3%,5.8%,1.4%,26.0%,42.8%,16.9%,6.0,1.9,73.0,63.7,Matteo Arnaldi[ITA],6,41.2%,14,34,0.41,2.0,5.7,0.82,2.3,69.8%,30,43,0.51,2.5,7.2,0.76,2.2,Matteo Arnaldi[ITA],6,0.85,1090,48.7%,5,3-2,60.0%,29.4%,17,10-7,58.8%,168,86-82,51.2%,2:03,43.5,40.7
38,Jiri Lehecka[CZE],5,3-2,60.0%,65.6%,64.1%,33,10.0%,11,3.3%,9.1%,63.4%,77.1%,45.5%,50.0%,83.3%,6.1,2.1,Jiri Lehecka[CZE],5,30.4%,29.3%,7.0%,4.4%,23.0%,42.5%,11.1%,5.9,1.8,78.0,157.0,Jiri Lehecka[CZE],5,42.9%,6,14,0.26,1.3,2.8,0.55,1.2,70.0%,21,30,0.56,2.7,6.0,0.82,1.8,Jiri Lehecka[CZE],5,0.88,647,48.4%,1,1-0,100.0%,9.1%,11,6-5,54.5%,108,51-57,47.2%,1:39,44.9,45.8
39,Alexandre Muller[FRA],2,2-0,100.0%,63.2%,62.6%,6,3.5%,2,1.2%,3.6%,67.3%,66.1%,57.1%,59.3%,76.9%,6.6,2.4,Alexandre Muller[FRA],2,46.4%,46.6%,2.2%,1.6%,40.9%,54.8%,38.5%,7.0,3.3,89.5,89.5,Alexandre Muller[FRA],2,52.6%,10,19,0.73,3.8,9.5,2.00,5.0,57.1%,8,14,0.54,2.8,7.0,1.20,3.0,Alexandre Muller[FRA],2,1.26,354,54.5%,3,3-0,100.0%,60.0%,5,5-0,100.0%,52,30-22,57.7%,2:01,48.4,41.0
40,Nuno Borges[POR],10,5-5,50.0%,63.3%,62.1%,81,9.3%,32,3.7%,10.3%,64.5%,71.6%,48.4%,54.0%,76.7%,6.6,2.4,Nuno Borges[POR],10,39.5%,39.0%,5.0%,4.0%,30.9%,53.2%,23.0%,6.9,2.7,80.0,82.6,Nuno Borges[POR],10,34.4%,31,90,0.67,3.2,9.0,1.11,3.1,61.7%,50,81,0.61,2.9,8.1,1.11,3.1,Nuno Borges[POR],10,1.08,1800,51.1%,7,5-2,71.4%,25.0%,28,15-13,53.6%,268,133-135,49.6%,2:06,44.9,41.9
41,Jordan Thompson[AUS],12,6-6,50.0%,64.1%,61.3%,84,9.5%,13,1.5%,3.8%,61.6%,72.4%,50.7%,52.7%,78.5%,6.2,2.2,Jordan Thompson[AUS],12,35.0%,34.6%,6.0%,3.8%,28.4%,46.7%,15.9%,6.7,2.3,86.0,111.0,Jordan Thompson[AUS],12,30.7%,23,75,0.52,2.5,6.3,0.77,1.9,64.4%,56,87,0.60,2.9,7.3,1.03,2.6,Jordan Thompson[AUS],12,0.97,1857,48.9%,6,4-2,66.7%,20.0%,30,14-16,46.7%,289,136-153,47.1%,1:57,46.9,45.4
