Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
31,Hubert Hurkacz[POL],18,14-4,77.8%,67.2%,63.2%,201,13.0%,19,1.2%,3.4%,63.3%,75.3%,53.4%,55.2%,86.9%,6.3,2.1,Hubert Hurkacz[POL],18,37.9%,37.6%,4.2%,3.0%,33.1%,46.1%,21.1%,6.8,2.6,69.0,84.8,Hubert Hurkacz[POL],18,40.0%,50,125,0.53,2.6,6.9,1.04,2.8,70.1%,75,107,0.44,2.2,5.9,0.67,1.8,Hubert Hurkacz[POL],18,1.16,3153,52.3%,13,9-4,69.2%,27.1%,48,32-16,66.7%,481,262-219,54.5%,1:27,32.5,29.6
32,Alex Michelsen[USA],9,3-6,33.3%,57.0%,57.2%,25,3.3%,22,2.9%,10.3%,71.6%,59.9%,49.5%,55.2%,63.1%,6.8,2.9,Alex Michelsen[USA],9,36.0%,36.0%,5.8%,3.3%,30.9%,43.3%,18.0%,6.2,2.2,79.0,124.2,Alex Michelsen[USA],9,41.7%,20,48,0.43,2.0,5.3,0.83,2.2,52.3%,45,86,0.77,3.6,9.6,1.71,4.6,Alex Michelsen[USA],9,0.84,1441,47.0%,4,3-1,75.0%,16.7%,24,9-15,37.5%,222,90-132,40.5%,1:49,40.9,40.9
33,Sebastian Baez[ARG],37,26-11,70.3%,62.1%,62.3%,94,3.1%,69,2.3%,8.1%,72.0%,65.6%,52.9%,57.6%,77.5%,6.7,2.5,Sebastian Baez[ARG],37,41.6%,41.8%,4.4%,2.8%,36.0%,51.3%,31.6%,6.6,2.7,76.0,81.5,Sebastian Baez[ARG],37,43.0%,144,335,0.73,3.5,9.1,1.50,3.9,63.8%,180,282,0.62,2.9,7.6,1.06,2.8,Sebastian Baez[ARG],37,1.10,6042,51.9%,12,6-6,50.0%,12.5%,96,61-35,63.5%,909,495-414,54.5%,1:40,38.7,36.9
34,Flavio Cobolli[ITA],18,10-8,55.6%,64.4%,64.0%,104,7.0%,51,3.4%,8.2%,57.9%,73.9%,51.3%,55.9%,82.6%,6.4,2.3,Flavio Cobolli[ITA],18,38.5%,37.9%,3.8%,3.4%,30.3%,51.8%,24.2%,6.6,2.5,45.5,91.8,Flavio Cobolli[ITA],18,38.7%,55,142,0.63,3.0,7.9,1.17,3.1,65.2%,75,115,0.50,2.4,6.4,0.85,2.2,Flavio Cobolli[ITA],18,1.08,2969,51.4%,10,1-9,10.0%,21.3%,47,25-22,53.2%,457,245-212,53.6%,1:36,36.6,34.7
35,Tallon Griekspoor[NED],16,8-8,50.0%,65.0%,65.1%,102,7.7%,56,4.2%,11.1%,61.9%,72.0%,53.8%,60.4%,80.0%,6.2,2.2,Tallon Griekspoor[NED],16,36.0%,36.0%,6.2%,3.5%,29.9%,48.1%,18.7%,6.3,2.3,43.0,66.9,Tallon Griekspoor[NED],16,40.2%,39,97,0.46,2.1,6.1,0.85,2.4,60.9%,67,110,0.51,2.4,6.9,0.93,2.7,Tallon Griekspoor[NED],16,1.03,2644,50.6%,7,3-4,42.9%,15.2%,46,23-23,50.0%,424,211-213,49.8%,1:20,27.7,28.9
36,Giovanni Mpetshi Perricard[FRA],5,4-1,80.0%,65.4%,62.8%,57,12.3%,15,3.2%,9.9%,67.3%,72.2%,51.3%,56.9%,79.2%,6.0,2.1,Giovanni Mpetshi Perricard[FRA],5,36.0%,34.9%,5.5%,4.7%,29.0%,47.7%,20.8%,6.5,2.3,61.0,64.8,Giovanni Mpetshi Perricard[FRA],5,44.1%,15,34,0.47,2.3,6.8,1.00,3.0,62.8%,27,43,0.56,2.9,8.6,1.07,3.2,Giovanni Mpetshi Perricard[FRA],5,1.04,934,50.6%,2,2-0,100.0%,13.3%,15,10-5,66.7%,149,76-73,51.0%,1:24,28.1,27.1
37,Matteo Arnaldi[ITA],17,9-8,52.9%,60.1%,59.2%,114,8.0%,56,3.9%,9.0%,56.5%,69.7%,47.7%,52.5%,73.9%,6.8,2.7,Matteo Arnaldi[ITA],17,40.3%,40.2%,3.6%,2.5%,35.4%,49.1%,28.8%,6.7,2.7,49.0,58.9,Matteo Arnaldi[ITA],17,42.0%,60,143,0.69,3.3,8.4,1.40,3.5,63.8%,97,152,0.72,3.5,8.9,1.28,3.2,Matteo Arnaldi[ITA],17,1.01,2815,50.3%,7,3-4,42.9%,16.3%,43,23-20,53.5%,419,216-203,51.6%,1:15,29.7,27.3
38,Jiri Lehecka[CZE],5,4-1,80.0%,76.1%,75.0%,25,10.7%,5,2.1%,6.8%,68.4%,86.3%,54.1%,58.0%,97.6%,5.7,1.4,Jiri Lehecka[CZE],5,35.9%,37.0%,6.7%,2.2%,29.8%,47.8%,17.1%,6.6,2.4,118.0,159.8,Jiri Lehecka[CZE],5,33.3%,7,21,0.51,3.0,4.2,1.00,1.4,83.3%,5,6,0.15,0.9,1.2,0.14,0.2,Jiri Lehecka[CZE],5,1.50,504,54.6%,1,1-0,100.0%,14.3%,7,7-0,100.0%,82,47-35,57.3%,1:21,57.9,48.2
39,Alexandre Muller[FRA],14,7-7,50.0%,60.5%,60.9%,30,3.1%,26,2.7%,7.0%,62.2%,66.6%,50.5%,54.4%,73.5%,6.3,2.5,Alexandre Muller[FRA],14,39.4%,40.3%,8.2%,4.1%,27.7%,55.2%,24.8%,6.9,2.7,52.0,59.8,Alexandre Muller[FRA],14,33.3%,39,117,0.75,3.7,8.4,1.22,2.8,54.9%,50,91,0.59,2.8,6.5,1.28,2.9,Alexandre Muller[FRA],14,1.00,2058,49.5%,5,3-2,60.0%,15.6%,32,15-17,46.9%,312,153-159,49.0%,1:29,39.1,36.4
40,Nuno Borges[POR],17,11-6,64.7%,61.5%,61.9%,52,3.9%,39,2.9%,8.2%,64.5%,67.4%,50.9%,55.5%,74.1%,6.7,2.6,Nuno Borges[POR],17,40.0%,39.7%,4.1%,3.3%,32.9%,52.3%,24.6%,6.9,2.8,92.0,114.8,Nuno Borges[POR],17,43.8%,49,112,0.56,2.7,6.6,1.20,2.9,59.1%,75,127,0.63,3.1,7.5,1.27,3.1,Nuno Borges[POR],17,1.04,2715,50.6%,10,7-3,70.0%,24.4%,41,23-18,56.1%,400,198-202,49.5%,1:46,44.0,39.9
