Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
31,Hubert Hurkacz[POL],34,21-13,61.8%,69.8%,66.2%,462,15.3%,72,2.4%,6.3%,62.1%,78.8%,55.0%,58.7%,88.8%,6.2,1.9,Hubert Hurkacz[POL],34,33.9%,35.3%,8.9%,2.7%,25.5%,48.7%,15.6%,6.6,2.2,45.5,76.6,Hubert Hurkacz[POL],34,35.6%,74,208,0.44,2.2,6.1,0.77,2.2,69.8%,127,182,0.37,1.9,5.4,0.57,1.6,Hubert Hurkacz[POL],34,1.12,6153,51.6%,31,16-15,51.6%,32.3%,96,56-40,58.3%,965,510-455,52.8%,2:07,45.1,42.3
32,Alex Michelsen[USA],45,26-19,57.8%,63.8%,63.5%,227,6.5%,115,3.3%,9.8%,66.2%,70.7%,50.4%,55.8%,80.6%,6.5,2.4,Alex Michelsen[USA],45,37.9%,38.5%,7.9%,4.0%,29.9%,50.5%,25.1%,6.4,2.4,69.0,95.9,Alex Michelsen[USA],45,43.1%,132,306,0.58,2.6,6.8,1.14,2.9,62.2%,171,275,0.51,2.4,6.1,0.90,2.3,Alex Michelsen[USA],45,1.05,6829,51.1%,29,14-15,48.3%,25.0%,116,65-51,56.0%,1062,565-497,53.2%,1:49,42.2,43.0
33,Sebastian Baez[ARG],19,5-14,26.3%,57.3%,57.7%,37,2.5%,37,2.5%,8.8%,71.3%,61.0%,48.2%,52.9%,66.7%,6.7,2.8,Sebastian Baez[ARG],19,36.3%,37.7%,10.2%,3.9%,26.7%,49.3%,18.8%,6.3,2.3,46.0,52.7,Sebastian Baez[ARG],19,35.0%,42,120,0.54,2.4,6.3,0.86,2.2,57.6%,99,172,0.79,3.5,9.1,1.49,3.8,Sebastian Baez[ARG],19,0.85,2868,47.0%,4,3-1,75.0%,8.2%,49,16-33,32.7%,442,188-254,42.5%,1:49,42.4,43.5
34,Flavio Cobolli[ITA],37,22-15,59.5%,61.6%,61.7%,215,6.9%,135,4.3%,9.5%,54.5%,72.1%,49.1%,54.2%,76.8%,6.7,2.6,Flavio Cobolli[ITA],37,35.8%,35.7%,7.6%,4.3%,26.1%,50.4%,20.8%,6.2,2.2,39.0,50.6,Flavio Cobolli[ITA],37,41.4%,99,239,0.50,2.4,6.5,0.98,2.7,65.2%,204,313,0.67,3.1,8.5,1.08,2.9,Flavio Cobolli[ITA],37,0.93,6081,49.1%,17,12-5,70.6%,16.8%,101,52-49,51.5%,945,460-485,48.7%,2:00,44.1,43.9
35,Tallon Griekspoor[NED],40,21-19,52.5%,68.0%,66.3%,392,12.5%,118,3.7%,11.0%,65.8%,76.6%,51.4%,57.8%,86.0%,6.2,2.0,Tallon Griekspoor[NED],40,31.0%,32.5%,11.5%,3.2%,23.6%,44.3%,13.5%,6.1,1.9,36.5,54.3,Tallon Griekspoor[NED],40,38.1%,69,181,0.35,1.8,4.5,0.68,1.7,63.4%,123,194,0.38,1.9,4.9,0.70,1.8,Tallon Griekspoor[NED],40,0.97,6244,49.6%,32,16-16,50.0%,31.7%,101,52-49,51.5%,1016,504-512,49.6%,1:51,44.1,42.8
36,Giovanni Mpetshi Perricard[FRA],16,8-8,50.0%,70.8%,68.5%,308,24.4%,100,7.9%,20.4%,61.1%,81.7%,53.6%,67.3%,90.1%,6.2,1.8,Giovanni Mpetshi Perricard[FRA],16,24.9%,25.3%,10.4%,2.9%,20.1%,32.7%,6.6%,5.9,1.5,38.5,75.8,Giovanni Mpetshi Perricard[FRA],16,35.1%,13,37,0.19,1.0,2.3,0.34,0.8,64.9%,37,57,0.28,1.5,3.6,0.53,1.3,Giovanni Mpetshi Perricard[FRA],16,0.85,2432,48.7%,16,9-7,56.3%,42.1%,38,18-20,47.4%,400,195-205,48.8%,1:41,42.6,40.0
37,Matteo Arnaldi[ITA],33,18-15,54.5%,62.3%,61.3%,241,8.5%,105,3.7%,8.4%,56.4%,72.0%,49.8%,54.4%,78.0%,6.6,2.5,Matteo Arnaldi[ITA],33,36.5%,36.6%,5.2%,2.9%,29.8%,47.5%,21.1%,6.5,2.4,51.0,72.0,Matteo Arnaldi[ITA],33,38.6%,90,233,0.55,2.7,7.1,1.03,2.7,58.5%,134,229,0.53,2.6,6.9,1.09,2.9,Matteo Arnaldi[ITA],33,0.97,5639,49.6%,18,11-7,61.1%,20.7%,87,47-40,54.0%,857,426-431,49.7%,2:12,49.9,46.2
38,Jiri Lehecka[CZE],44,26-18,59.1%,65.7%,64.0%,371,10.9%,120,3.5%,9.1%,61.2%,74.7%,51.4%,56.5%,82.9%,6.3,2.2,Jiri Lehecka[CZE],44,34.8%,35.7%,8.1%,3.1%,27.8%,46.2%,18.5%,6.3,2.2,49.5,65.7,Jiri Lehecka[CZE],44,36.0%,100,278,0.51,2.5,6.3,0.90,2.3,66.9%,186,278,0.52,2.5,6.3,0.83,2.1,Jiri Lehecka[CZE],44,1.01,6778,50.3%,19,12-7,63.2%,17.1%,111,61-50,55.0%,1080,547-533,50.6%,1:49,43.3,42.6
39,Alexandre Muller[FRA],21,9-12,42.9%,62.2%,61.6%,89,5.4%,39,2.4%,6.9%,65.2%,68.7%,50.1%,53.8%,75.8%,6.5,2.5,Alexandre Muller[FRA],21,37.1%,39.0%,11.4%,4.1%,26.7%,53.0%,23.6%,6.2,2.3,95.0,148.7,Alexandre Muller[FRA],21,44.0%,59,134,0.54,2.6,6.4,1.16,2.8,57.6%,83,144,0.57,2.8,6.9,1.20,2.9,Alexandre Muller[FRA],21,0.98,3194,50.0%,11,5-6,45.5%,21.6%,51,23-28,45.1%,502,250-252,49.8%,1:52,46.0,44.1
40,Nuno Borges[POR],29,13-16,44.8%,62.7%,62.1%,189,8.0%,93,4.0%,10.1%,60.9%,71.4%,49.1%,54.6%,75.7%,6.5,2.4,Nuno Borges[POR],29,37.2%,37.3%,7.8%,4.4%,26.4%,53.9%,19.9%,6.7,2.5,51.0,71.1,Nuno Borges[POR],29,36.0%,73,203,0.55,2.7,7.0,0.96,2.5,56.7%,115,203,0.56,2.7,7.0,1.16,3.0,Nuno Borges[POR],29,1.00,4805,49.7%,17,9-8,52.9%,22.4%,76,35-41,46.1%,729,347-382,47.6%,1:54,43.6,41.4
